Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
0,"-0,475","0,126","-0,061","0,002","-0,020","0,006","-0,232","-0,142","-0,071","-0,243","-0,379","-0,295","-0,156","-0,161","-0,014","-0,260","-0,372","0,300","-0,165","0,138","0,074"
1,"-0,274","-0,147","0,123","-0,053","0,064","0,038","-0,235","-0,225","-0,094","0,178","-0,267","-0,066","-0,033","0,028","0,099","-0,175","-0,427","0,209","0,012","0,570","-0,172"
2,"-0,333","-0,154","0,137","-0,332","0,047","0,290","0,005","-0,259","-0,163","0,300","-0,101","-0,144","-0,080","-0,001","0,032","-0,141","-0,392","0,137","-0,070","0,358","-0,149"
3,"-0,201","-0,187","0,145","-0,199","0,155","0,355","0,004","-0,206","-0,193","-0,066","-0,105","-0,152","-0,147","0,047","0,059","-0,044","-0,399","0,232","-0,091","0,319","-0,263"
4,"-0,197","0,011","-0,010","-0,127","0,264","0,428","0,071","-0,093","-0,121","-0,130","-0,162","0,010","-0,207","0,152","0,279","-0,098","-0,453","-0,029","0,120","0,096","-0,094"
5,"-0,249","-0,081","-0,009","-0,027","-0,014","0,283","-0,052","-0,039","-0,144","-0,012","-0,190","0,230","-0,193","0,018","-0,008","0,089","-0,439","0,014","0,155","-0,331","-0,018"
6,"-0,186","0,124","-0,177","0,075","0,089","0,078","0,016","0,021","-0,042","0,042","0,082","0,370","-0,193","0,018","-0,008","-0,079","-0,398","-0,045","0,254","-0,652","0,140"
7,"0,336","0,517","-0,165","0,119","-0,105","-0,034","-0,040","0,188","0,007","-0,016","0,028","0,259","-0,317","0,076","-0,002","0,033","-0,425","-0,006","0,349","-1,134","0,419"
8,"0,180","0,485","-0,041","0,226","-0,164","-0,155","0,333","0,244","0,089","-0,009","-0,079","0,040","-0,173","0,065","-0,042","-0,130","-0,307","-0,025","0,363","-1,363","0,300"
9,"0,302","-0,028","-0,047","0,058","-0,103","-0,027","0,095","0,224","0,188","-0,189","-0,189","-0,046","-0,163","0,027","-0,088","-0,103","-0,280","0,106","0,618","-1,755","0,520"
10,"0,426","0,145","0,034","0,371","0,054","-0,011","-0,098","0,272","0,034","0,056","-0,268","-0,069","0,037","0,130","-0,048","-0,109","-0,071","-0,107","0,674","-1,679","0,287"
11,"0,381","0,090","0,083","0,015","-0,154","0,144","-0,100","0,000","0,049","0,240","-0,348","-0,093","0,083","0,158","0,018","-0,107","0,110","-0,173","0,552","-1,387","0,274"
12,"0,350","-0,135","0,106","0,095","0,174","0,239","0,205","0,132","0,022","0,181","-0,266","-0,203","-0,050","0,131","0,012","-0,061","0,193","-0,058","0,308","-0,974","0,110"
13,"-0,104","-0,163","0,035","0,040","0,013","0,330","0,204","0,185","-0,009","0,185","-0,182","-0,447","0,083","0,158","0,018","0,216","0,229","-0,066","0,082","-0,695","-0,076"
14,"0,028","-0,074","0,103","-0,011","-0,012","0,419","0,143","-0,003","0,033","0,368","-0,234","-0,416","0,130","0,064","0,026","0,155","0,166","-0,126","0,058","-0,486","-0,013"
15,"-0,222","-0,055","0,122","0,148","-0,046","0,209","0,261","-0,035","-0,028","0,364","-0,044","-0,306","0,130","0,064","0,026","0,370","0,208","0,049","0,155","-0,331","-0,018"
16,"-0,253","-0,279","0,146","0,121","-0,159","-0,006","0,142","-0,139","0,041","0,234","-0,022","0,019","0,074","-0,049","-0,054","0,216","0,229","-0,066","0,130","-0,294","-0,092"
17,"-0,118","0,007","0,060","0,166","-0,162","-0,148","0,270","-0,027","0,108","-0,075","0,001","0,203","0,217","0,063","-0,034","0,176","0,403","-0,208","0,132","-0,360","0,127"
18,"0,201","0,230","-0,079","0,204","-0,194","-0,344","0,266","-0,057","0,055","0,106","0,084","0,235","0,111","-0,105","0,000","0,064","0,431","-0,247","0,181","-0,196","0,192"
19,"0,243","-0,035","-0,034","0,111","-0,388","-0,577","0,208","0,026","0,082","0,045","0,138","0,207","0,094","-0,125","-0,147","0,102","0,542","-0,278","0,173","-0,281","0,354"
20,"0,396","-0,202","-0,003","-0,097","-0,241","-0,281","0,133","-0,147","-0,095","-0,081","0,217","0,369","0,194","-0,133","0,120","0,107","0,619","-0,238","0,171","-0,271","0,612"
21,"0,427","0,023","-0,027","-0,073","-0,265","-0,064","-0,054","-0,175","-0,136","0,038","0,217","0,508","0,234","-0,162","-0,007","0,251","0,445","-0,204","0,370","-0,275","0,643"
22,"0,552","-0,048","-0,066","-0,011","-0,076","-0,102","-0,048","-0,197","-0,053","0,160","0,164","0,537","0,187","-0,068","-0,014","0,211","0,153","-0,106","0,274","-0,020","0,704"
23,"0,247","-0,319","0,108","-0,043","-0,016","0,148","-0,042","-0,273","0,060","0,163","0,056","0,455","0,111","-0,105","0,000","0,275","-0,139","-0,115","0,258","-0,135","0,550"
24,"0,122","-0,370","0,087","0,144","0,062","0,153","-0,018","0,044","0,370","0,170","0,031","0,127","0,204","-0,171","0,074","0,219","-0,343","0,280","0,280","0,131","0,324"
