Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
0,"67,455","9,582","-2,522","-15,780","2,582","0,466","-17,972","-7,183","-0,088","21,461","1,766","-0,335","69,867","21,225","-13,580","-8,708","2,481","0,527","-3,991","3,497","0,854"
1,"67,614","9,888","-2,702","-15,975","2,584","0,469","-18,001","-7,180","-0,098","21,567","1,567","-0,299","70,198","21,322","-13,680","-8,806","2,670","0,598","-4,089","3,297","0,809"
2,"67,766","9,917","-2,728","-15,975","2,584","0,469","-17,907","-7,180","-0,107","21,690","1,312","-0,251","70,291","21,319","-13,680","-8,687","2,914","0,686","-3,962","3,047","0,741"
3,"67,650","9,682","-2,638","-15,693","2,822","0,442","-17,896","-7,232","-0,097","21,598","1,312","-0,250","69,914","21,291","-13,587","-8,657","2,968","0,698","-3,744","2,744","0,661"
4,"67,708","9,883","-2,755","-15,692","2,697","0,448","-17,896","-7,232","-0,097","21,598","1,215","-0,232","69,914","21,291","-13,587","-8,658","3,061","0,731","-3,743","2,771","0,664"
5,"67,687","9,866","-2,871","-15,552","2,565","0,426","-17,815","-7,232","-0,100","21,557","1,212","-0,231","69,901","21,289","-13,582","-8,618","3,064","0,730","-3,583","2,715","0,645"
6,"67,684","9,899","-2,771","-15,544","2,693","0,445","-17,815","-7,178","-0,103","21,557","1,088","-0,207","69,901","21,289","-13,582","-8,620","3,131","0,758","-3,581","2,646","0,625"
7,"67,583","9,896","-2,774","-15,635","2,692","0,443","-17,716","-7,173","-0,102","21,491","1,209","-0,229","69,808","21,289","-13,577","-8,505","3,010","0,712","-3,637","2,765","0,656"
8,"67,663","9,926","-2,743","-15,538","2,578","0,459","-17,717","-7,050","-0,108","21,542","1,208","-0,230","69,808","21,289","-13,577","-8,455","2,892","0,681","-3,587","2,942","0,695"
9,"67,566","9,883","-2,767","-15,630","2,509","0,453","-17,766","-7,052","-0,100","21,542","1,305","-0,248","69,709","21,267","-13,562","-8,409","2,800","0,648","-3,583","3,037","0,719"
