Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
0,"0,334","-0,406","0,125","-0,086","0,187","0,829","0,037","0,552","1,973","-0,197","0,032","2,008","0,266","-0,456","0,082","0,229","0,531","2,292","0,310","0,451","2,192"
1,"0,348","-0,162","0,040","-0,044","0,025","0,605","0,289","0,460","2,104","-0,125","-0,237","1,657","-0,085","-0,237","0,069","0,337","0,761","2,449","-0,296","0,423","2,296"
2,"0,382","0,064","0,036","-0,102","0,216","0,639","0,218","0,421","1,929","0,315","-0,468","1,237","-0,138","0,048","-0,003","0,178","0,785","2,001","0,200","0,718","2,475"
3,"0,153","0,245","-0,049","-0,132","0,274","0,259","0,255","0,390","1,496","0,747","-0,531","1,077","0,068","-0,162","0,048","-0,313","0,527","1,058","-0,130","0,543","1,829"
4,"0,149","0,740","-0,074","-0,159","0,403","-0,071","0,278","0,367","0,812","0,994","-0,459","0,925","0,001","-0,116","0,075","-0,382","0,310","0,191","-0,088","0,390","1,360"
5,"-0,082","0,627","-0,044","-0,205","0,120","-0,639","0,198","0,480","0,479","1,119","-0,446","0,793","-0,085","-0,013","-0,178","-0,488","0,396","-0,148","-0,539","0,023","0,741"
6,"-0,048","0,674","0,140","-0,192","0,271","-0,480","0,263","0,374","0,561","0,571","-0,224","0,690","0,059","-0,246","0,031","-0,483","0,525","-0,292","-0,623","-0,263","0,137"
7,"-0,003","0,616","0,026","-0,194","0,709","0,996","0,149","0,340","0,700","0,024","-0,082","0,552","0,068","-0,162","0,048","-0,422","0,632","-0,350","-0,629","-0,204","-0,026"
8,"-0,118","-0,010","0,005","-0,317","1,027","2,503","0,077","0,421","0,499","-0,403","0,254","0,407","-0,112","-0,095","0,033","-0,322","0,764","0,004","-0,130","0,142","0,264"
9,"0,159","0,162","-0,069","-0,400","0,795","2,240","-0,235","0,454","0,384","-0,701","0,389","0,083","-0,118","0,096","-0,034","0,171","0,558","0,016","0,311","0,707","0,587"
10,"-0,011","0,351","-0,168","-0,327","0,378","0,878","-0,437","0,568","0,058","-0,329","0,530","-0,224","-0,052","0,170","0,003","0,417","0,375","0,068","-0,007","0,687","0,272"
11,"-0,063","0,376","-0,104","-0,325","0,371","-0,611","-0,495","0,640","0,108","0,169","0,515","-0,596","0,070","0,233","0,061","0,652","0,283","0,279","-0,345","0,272","-0,599"
12,"-0,023","0,634","-0,056","-0,088","0,597","-1,476","-0,725","0,632","0,373","0,298","0,427","-0,820","0,048","0,305","0,157","0,371","0,422","0,884","-0,498","-0,037","-1,392"
13,"-0,076","0,543","-0,064","-0,190","0,638","-1,226","-0,697","0,676","0,862","0,059","0,187","-0,929","0,033","0,412","0,073","0,216","0,746","1,321","-0,823","-0,352","-1,905"
14,"-0,081","0,743","0,027","0,083","0,579","-0,866","-0,689","0,834","1,015","-0,314","0,103","-0,645","0,150","0,321","0,246","0,335","0,938","1,290","-1,015","-0,728","-2,125"
15,"0,097","0,765","-0,011","0,054","0,461","-0,471","-0,516","0,544","0,818","-0,503","0,020","-0,356","-0,266","0,915","-0,297","0,365","0,800","0,807","-1,198","-0,591","-2,115"
16,"0,017","0,598","0,107","0,024","0,403","-0,086","-0,528","0,451","-0,474","-0,447","0,144","-0,206","0,620","-0,109","0,368","0,228","0,590","0,073","-0,819","-0,491","-1,772"
17,"0,003","0,416","-0,066","0,196","0,442","-0,231","-0,563","0,441","-1,094","-0,388","0,167","-0,148","-0,501","0,647","-0,150","0,380","0,402","-0,373","-0,440","-0,008","-1,475"
18,"-0,116","0,401","-0,040","0,247","0,361","-0,345","-0,306","0,493","-0,870","-0,134","0,319","-0,594","0,097","0,315","-0,150","0,228","0,313","-0,896","-0,053","0,252","-0,938"
19,"-0,131","0,041","-0,026","0,039","0,490","-0,661","-0,252","0,216","-1,000","0,120","0,358","-0,995","0,217","-0,241","0,142","-0,176","0,067","-1,206","0,156","0,508","-0,257"
20,"-0,150","0,176","-0,037","-0,090","0,289","-0,740","0,009","0,281","-0,716","0,128","0,360","-1,323","-0,572","0,644","-0,319","-0,352","0,002","-1,321","0,179","0,849","0,323"
21,"-0,118","-0,010","0,005","-0,178","0,418","-1,065","0,144","0,333","-0,485","0,067","0,473","-1,369","0,149","0,150","-0,014","-0,407","0,287","-1,560","-0,008","0,798","0,220"
22,"-0,104","0,056","0,107","-0,229","0,439","-0,941","-0,090","0,371","-0,293","0,064","0,291","-1,166","0,200","0,210","-0,125","-0,732","0,620","-1,352","-0,379","0,474","0,117"
23,"-0,124","0,074","0,025","-0,260","0,501","-0,576","0,051","0,509","0,044","-0,001","0,108","-0,965","0,097","0,315","-0,150","-0,444","0,591","-1,033","-0,382","0,175","0,056"
24,"-0,118","-0,010","0,005","-0,282","0,583","-0,092","0,003","0,560","0,285","0,303","-0,037","-0,834","0,354","0,061","0,101","-0,194","0,378","-1,033","-0,440","0,201","0,113"
25,"-0,097","0,088","0,158","-0,350","0,637","0,587","-0,123","0,666","0,207","0,360","-0,162","-0,652","0,266","0,284","-0,088","-0,247","0,315","-1,142","-0,501","0,337","0,119"
26,"0,020","-0,130","-0,010","-0,395","0,548","0,792","-0,241","0,620","0,286","0,174","-0,290","-0,476","0,249","0,286","0,140","-0,272","0,181","-0,643","-0,316","0,691","0,147"
27,"-0,073","-0,246","0,078","-0,509","0,495","0,128","-0,420","0,632","0,356","0,049","-0,246","-0,366","0,357","0,336","0,050","0,013","0,076","-0,211","-0,209","0,645","-0,240"
28,"-0,059","-0,119","-0,079","-0,525","0,209","-0,815","-0,590","0,743","0,591","0,049","-0,246","-0,366","0,404","0,241","0,054","-0,404","0,492","0,507","-0,879","0,646","-0,215"
29,"0,052","-0,137","-0,155","-0,467","0,135","-1,614","-0,524","0,829","0,694","-0,027","-0,046","0,143","0,454","0,196","0,254","-0,388","0,753","1,204","-0,404","0,570","-0,535"
30,"-0,067","-0,268","-0,201","-0,442","0,183","-2,059","-0,462","0,769","0,703","-0,090","-0,081","0,221","0,305","0,276","0,160","-0,547","1,001","1,756","-0,540","0,525","-0,913"
31,"-0,020","-0,272","0,014","-0,573","0,163","-2,169","-0,470","0,611","0,551","0,207","-0,080","0,557","0,136","0,307","0,098","-0,546","1,159","1,664","-0,536","0,304","-0,809"
32,"0,156","-0,482","-0,166","-0,566","-0,007","-2,078","-0,551","0,534","0,197","0,324","0,045","0,708","0,396","0,037","-0,027","-0,441","0,902","0,974","-0,037","0,323","-0,500"
33,"0,109","-0,657","-0,194","-0,647","-0,044","-1,568","-0,245","0,666","0,214","0,383","0,238","0,699","0,423","0,409","0,087","-0,023","0,538","0,225","0,477","0,635","0,143"
34,"0,179","-0,933","-0,318","-0,655","0,069","-0,905","-0,149","0,503","-0,256","0,141","0,270","0,614","-0,022","0,302","-0,012","-0,104","0,307","-0,422","0,454","1,103","1,137"
35,"0,306","-0,653","-0,150","-1,001","0,171","-0,646","-0,159","0,465","-0,435","-0,096","0,292","0,336","0,297","0,071","0,080","-0,193","-0,023","-0,873","1,152","1,440","1,828"
36,"-0,001","-0,228","-0,163","-0,929","0,502","-0,522","-0,026","0,384","-0,237","-0,329","0,247","-0,112","0,022","0,672","-0,126","-0,199","0,249","-0,889","1,085","1,225","1,662"
37,"-0,052","-0,086","-0,028","-0,850","0,663","-0,308","-0,019","0,410","-0,118","-0,508","0,030","-0,163","0,102","0,245","-0,018","-0,031","0,270","-0,608","0,261","0,781","0,891"
38,"-0,043","0,474","0,049","-0,622","0,946","0,245","0,139","0,188","-0,579","-1,118","-0,090","-0,134","0,045","0,255","-0,039","0,116","0,060","-0,970","-0,464","-0,085","-0,493"
39,"-0,172","0,859","0,257","-0,425","1,291","1,163","-0,078","0,118","-1,176","-1,306","0,032","0,009","-0,036","0,288","-0,160","0,170","0,176","-0,892","-0,997","-0,903","-1,638"
40,"-0,336","0,903","0,397","-0,332","1,427","2,312","-0,074","0,322","-1,096","-1,068","0,181","0,220","0,003","0,504","-0,159","0,315","0,378","-0,293","-1,569","-1,188","-2,224"
41,"-0,177","1,059","0,348","-0,069","1,351","3,296","-0,369","0,169","-0,921","-0,894","0,521","0,419","-0,028","0,492","-0,080","0,152","0,551","0,371","-1,667","-0,957","-1,587"
42,"-0,249","1,103","0,330","-0,099","1,349","2,927","-0,107","0,366","-0,604","-0,471","0,854","0,432","0,025","0,207","-0,008","0,022","0,556","0,501","-1,074","-0,493","-0,479"
43,"-0,088","0,532","0,164","0,007","1,124","1,964","-0,406","0,451","-0,480","-0,653","0,965","0,382","0,234","0,617","-0,191","0,076","0,618","0,609","-0,920","0,170","0,349"
44,"-0,036","0,507","0,100","-0,122","0,980","1,130","-0,524","0,404","-0,401","-1,146","1,254","0,451","-0,002","0,350","-0,044","-0,183","0,681","0,837","-0,575","0,854","1,362"
45,"0,029","0,430","0,067","-0,242","0,662","-0,357","-0,473","0,366","-0,583","-1,691","1,091","0,368","-0,074","0,467","-0,148","-0,111","0,538","0,713","-0,257","1,010","1,681"
46,"0,133","0,085","0,056","-0,360","0,419","-1,051","-0,416","0,412","-0,659","-1,693","0,943","0,492","0,100","0,365","0,046","-0,008","0,470","-0,016","0,051","0,789","1,773"
47,"0,172","-0,068","0,149","-0,367","0,589","-1,141","-0,484","0,446","-0,787","-0,958","0,508","0,553","-0,055","0,635","-0,115","0,090","0,220","-0,570","0,033","0,636","1,306"
48,"0,087","0,205","-0,088","-0,564","0,816","0,201","-0,664","0,518","-0,730","0,090","0,079","0,294","0,530","0,579","0,061","0,176","-0,044","-0,906","0,192","0,213","0,690"
49,"-0,070","0,522","-0,342","-0,574","0,739","0,836","-0,609","0,433","-0,840","0,335","-0,168","0,333","0,128","0,618","0,095","0,184","0,001","-1,072","0,362","0,193","0,355"
50,"-0,208","1,718","0,003","-0,789","0,603","-0,303","-0,538","0,412","-0,652","0,398","-0,133","0,255","-0,127","0,527","0,027","0,303","0,088","-1,043","-0,042","-0,410","-0,626"
51,"-0,375","1,179","-0,213","-1,012","0,758","-1,553","-0,700","0,489","-0,285","0,090","0,022","0,316","-0,076","0,362","0,163","0,440","0,245","-0,278","-0,788","-0,855","-2,546"
52,"-0,184","1,267","-0,149","-1,031","0,834","-2,557","-0,812","0,528","-0,099","-0,461","0,152","0,314","-0,142","0,633","-0,057","0,315","0,549","0,736","-0,773","-0,827","-3,774"
53,"-0,245","0,848","-0,091","-1,111","0,792","-2,792","-0,980","0,460","0,175","-0,828","0,398","0,273","0,460","0,006","0,322","0,298","0,406","1,100","-0,905","-0,411","-4,032"
