Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
0,"-0,029","-0,003","0,936","-0,006","-0,007","1,010","-0,013","0,005","1,012","-0,003","0,005","1,003","-0,031","-0,005","0,965","0,012","0,016","1,053","-0,003","-0,002","1,028"
1,"-0,028","0,012","0,936","-0,005","0,006","1,009","-0,016","-0,004","1,016","-0,005","0,004","1,010","-0,005","-0,007","0,955","0,004","0,021","1,049","0,002","-0,002","1,012"
2,"0,018","-0,004","0,970","-0,010","0,002","0,997","-0,015","0,001","1,011","-0,008","0,000","1,018","0,010","-0,002","0,959","-0,009","0,011","1,047","0,010","0,011","1,015"
3,"0,015","-0,021","0,967","-0,007","0,009","0,986","-0,009","0,010","1,009","-0,009","0,003","1,021","-0,004","0,003","0,963","-0,007","-0,005","1,051","0,001","0,021","1,013"
4,"-0,024","0,005","0,940","0,006","0,020","1,001","-0,009","0,003","1,004","-0,014","0,004","1,020","-0,001","-0,010","0,959","-0,007","0,004","1,043","-0,001","0,012","1,016"
5,"-0,024","0,013","0,933","-0,002","0,013","1,006","-0,014","-0,002","1,008","-0,021","-0,002","1,022","-0,013","-0,003","0,968","-0,008","0,004","1,038","-0,005","0,021","1,021"
6,"-0,017","-0,003","0,936","-0,012","0,018","1,004","-0,029","-0,013","1,014","-0,025","-0,001","1,016","-0,002","-0,007","0,958","0,000","0,015","1,043","-0,007","0,025","1,020"
7,"-0,019","0,012","0,965","-0,005","0,050","0,998","-0,021","-0,009","1,009","-0,028","0,000","1,013","-0,004","-0,005","0,962","-0,002","0,016","1,041","-0,016","0,020","1,021"
8,"0,040","-0,004","0,965","-0,008","0,017","0,995","-0,007","-0,001","1,009","-0,032","-0,002","1,009","-0,006","0,003","0,961","0,003","0,011","1,052","-0,021","0,022","1,023"
9,"0,006","-0,015","0,949","-0,004","0,010","0,991","0,008","0,013","1,007","-0,019","-0,007","1,004","0,005","-0,004","0,960","0,016","0,007","1,051","-0,015","0,026","1,024"
10,"-0,014","0,018","0,942","0,008","0,010","1,002","0,018","0,015","1,004","-0,018","-0,003","1,004","0,006","-0,008","0,966","0,021","0,016","1,051","-0,013","0,019","1,013"
11,"-0,005","0,003","0,945","0,000","0,017","1,002","0,010","0,036","0,996","-0,011","-0,005","1,000","0,013","-0,002","0,968","0,018","0,026","1,044","-0,014","0,019","1,018"
12,"-0,003","0,001","0,956","0,000","0,019","1,003","-0,002","0,012","1,002","-0,003","-0,003","1,003","-0,011","0,004","0,965","0,011","0,027","1,050","-0,016","0,022","1,018"
13,"-0,012","-0,007","0,948","-0,013","0,020","0,993","-0,021","0,011","1,005","-0,005","-0,003","1,006","0,004","-0,005","0,948","-0,004","0,032","1,047","-0,004","0,022","1,011"
14,"-0,015","0,004","0,941","-0,005","0,019","0,994","-0,020","0,007","1,008","-0,002","0,003","1,004","0,004","-0,004","0,961","-0,008","0,016","1,052","-0,011","0,018","1,022"
15,"-0,014","0,009","0,935","-0,005","0,019","1,000","-0,005","0,007","1,014","0,002","0,002","1,008","0,001","-0,006","0,969","-0,002","0,018","1,051","-0,009","0,013","1,023"
16,"-0,002","0,000","0,938","0,001","0,007","1,008","-0,002","0,010","1,011","0,002","0,005","1,006","0,005","-0,006","0,955","0,003","0,019","1,043","0,001","0,020","1,019"
17,"0,002","0,001","0,946","0,009","0,006","1,010","-0,003","0,004","1,004","0,003","-0,001","1,013","0,000","0,005","0,960","0,006","0,007","1,040","0,006","0,008","1,019"
18,"0,002","0,005","0,939","0,010","0,006","1,006","-0,007","-0,003","1,010","-0,002","0,005","1,013","-0,005","0,003","0,954","0,001","0,003","1,043","0,025","0,019","1,014"
19,"0,009","0,009","0,954","0,011","0,003","1,003","-0,009","-0,012","1,009","-0,001","0,005","1,021","-0,002","-0,010","0,959","0,007","0,001","1,050","0,022","0,016","1,011"
20,"0,014","0,001","0,951","0,003","0,011","0,989","-0,008","-0,013","1,010","-0,003","0,001","1,015","0,006","-0,013","0,963","0,010","-0,004","1,050","0,011","0,010","1,014"
21,"0,010","0,005","0,947","0,000","0,004","0,993","0,006","-0,003","1,010","-0,009","0,005","1,015","0,012","-0,003","0,964","0,021","-0,002","1,047","-0,004","0,007","1,013"
22,"0,006","0,006","0,941","-0,004","0,004","0,999","0,023","0,002","1,009","-0,012","0,002","1,015","0,014","-0,002","0,955","0,023","0,006","1,053","-0,027","0,011","1,015"
23,"-0,009","0,012","0,939","-0,004","0,008","0,998","0,018","0,010","1,007","-0,012","0,003","1,008","0,009","-0,002","0,966","0,021","0,003","1,045","-0,033","0,001","1,029"
24,"-0,003","0,016","0,944","-0,007","-0,001","1,005","0,011","0,010","1,007","-0,008","-0,002","1,011","0,017","-0,013","0,958","0,009","0,002","1,044","-0,025","0,001","1,019"
25,"0,024","0,006","0,942","0,001","-0,003","1,004","0,006","0,002","1,003","-0,009","0,002","1,012","0,004","-0,003","0,965","0,015","0,012","1,048","-0,001","-0,002","1,011"
26,"0,005","0,000","0,945","0,010","0,004","1,000","-0,003","0,006","1,009","-0,005","-0,002","1,008","-0,002","-0,003","0,958","0,011","0,010","1,048","0,011","0,004","1,007"
27,"0,000","0,003","0,955","0,004","-0,002","0,993","-0,013","0,007","1,010","-0,002","-0,004","1,006","-0,005","0,002","0,956","0,007","0,012","1,046","-0,003","-0,004","1,012"
28,"0,009","0,006","0,943","-0,004","-0,004","0,994","-0,008","0,002","1,010","0,002","0,000","1,005","-0,001","0,002","0,961","-0,004","0,000","1,048","-0,010","0,003","1,017"
29,"0,008","0,003","0,940","-0,002","0,000","1,002","-0,006","0,001","1,006","0,000","0,001","1,008","0,005","-0,009","0,955","-0,005","0,005","1,040","-0,004","-0,001","1,020"
30,"0,012","0,016","0,952","-0,006","0,000","1,006","-0,008","-0,003","1,006","-0,001","-0,003","1,011","0,001","-0,001","0,960","0,001","-0,002","1,049","-0,006","-0,010","1,022"
31,"0,011","0,008","0,946","-0,002","0,008","1,001","-0,011","-0,007","1,007","-0,002","0,001","1,017","-0,014","0,002","0,964","0,004","0,004","1,047","-0,002","0,002","1,011"
32,"0,032","-0,004","0,967","0,003","-0,010","0,996","-0,005","0,015","1,002","-0,003","-0,001","1,016","-0,016","0,004","0,966","0,006","-0,002","1,046","-0,002","-0,007","1,015"
33,"0,023","-0,015","0,964","0,001","-0,014","0,991","-0,007","-0,006","1,014","-0,006","-0,003","1,012","-0,044","0,009","0,970","0,002","-0,004","1,052","0,004","-0,008","1,025"
34,"0,038","0,012","0,972","0,014","-0,008","0,999","-0,006","-0,001","1,013","-0,007","0,003","1,013","-0,014","-0,006","0,961","0,001","-0,012","1,055","-0,004","-0,005","1,015"
35,"0,065","0,001","0,939","0,012","-0,013","0,998","-0,002","-0,008","1,006","-0,002","-0,008","1,019","0,009","-0,002","0,963","0,009","-0,002","1,048","0,005","0,010","1,019"
36,"-0,035","-0,011","0,941","0,025","0,000","1,002","0,013","0,001","1,012","-0,002","-0,003","1,019","0,003","-0,002","0,960","0,015","-0,003","1,051","0,018","0,009","1,016"
37,"-0,023","0,027","0,944","0,006","0,006","1,004","0,011","-0,004","1,008","0,000","0,002","1,025","0,006","0,002","0,958","0,020","0,002","1,051","0,014","0,006","1,020"
38,"0,006","0,008","0,936","0,001","0,003","1,003","0,012","0,007","1,004","-0,002","0,006","1,020","-0,010","-0,003","0,966","0,015","0,000","1,051","0,006","0,013","1,014"
39,"0,001","-0,002","0,948","-0,008","-0,002","0,994","0,008","-0,001","1,009","0,003","0,000","1,019","-0,013","0,007","0,964","0,009","0,002","1,057","-0,006","0,013","1,015"
40,"-0,037","0,009","0,949","-0,007","0,006","0,994","0,014","-0,003","1,015","0,000","-0,005","1,012","0,008","-0,004","0,952","0,006","0,001","1,057","-0,015","0,004","1,014"
41,"0,007","-0,002","0,946","-0,012","0,002","1,000","0,006","0,005","1,010","0,003","-0,003","1,007","0,014","-0,001","0,965","0,001","0,007","1,049","-0,022","0,017","1,021"
42,"-0,003","-0,011","0,940","-0,007","-0,008","0,996","0,008","-0,006","1,008","0,002","-0,002","1,008","0,006","0,004","0,962","0,005","-0,004","1,049","-0,019","-0,002","1,024"
43,"-0,046","0,014","0,935","0,007","0,002","1,003","-0,004","-0,008","1,008","0,004","-0,003","1,005","-0,002","0,000","0,955","0,009","-0,004","1,050","-0,015","-0,001","1,020"
44,"-0,039","0,018","0,917","-0,007","0,000","1,008","-0,005","-0,004","1,008","0,002","-0,003","1,006","-0,001","-0,001","0,958","0,007","-0,007","1,048","-0,011","0,000","1,020"
45,"-0,022","0,003","0,923","-0,005","-0,002","1,001","-0,001","-0,007","1,009","-0,001","-0,005","1,016","0,001","0,002","0,962","0,001","-0,008","1,048","0,000","0,000","1,011"
46,"0,001","0,005","0,950","0,001","-0,008","0,997","0,005","0,000","1,012","-0,001","-0,006","1,014","0,005","-0,003","0,959","-0,002","-0,015","1,047","0,011","0,000","1,013"
47,"-0,009","-0,001","0,941","0,020","-0,019","1,000","0,012","0,011","1,004","0,003","-0,002","1,013","0,005","0,003","0,966","-0,002","-0,009","1,047","0,003","-0,012","1,011"
48,"0,001","0,008","0,942","0,008","-0,035","1,006","0,004","-0,011","1,015","0,004","-0,003","1,016","-0,042","0,011","0,974","0,001","-0,012","1,056","0,004","-0,018","1,010"
49,"0,005","-0,007","0,941","0,007","-0,047","1,009","-0,021","-0,025","1,018","0,009","0,005","1,016","-0,035","0,008","0,954","-0,001","-0,018","1,061","0,003","-0,025","1,008"
50,"-0,004","-0,006","0,949","0,010","-0,040","1,006","-0,032","-0,023","1,012","0,009","0,004","1,016","0,006","-0,001","0,954","-0,012","-0,026","1,046","-0,003","-0,038","1,008"
51,"-0,011","0,007","0,941","-0,001","-0,035","1,009","-0,027","-0,023","1,008","0,003","-0,004","1,022","0,005","0,004","0,971","-0,010","-0,022","1,043","-0,007","-0,037","1,014"
52,"-0,027","0,003","0,931","-0,012","-0,043","1,008","-0,008","-0,015","1,006","0,006","-0,001","1,019","-0,003","0,007","0,953","-0,008","-0,028","1,043","-0,014","-0,036","1,015"
53,"0,000","0,005","0,942","-0,013","-0,038","1,008","0,002","-0,011","1,013","0,002","-0,010","1,017","-0,010","-0,002","0,951","-0,001","-0,015","1,043","-0,027","-0,037","1,013"
54,"-0,001","0,007","0,931","-0,007","-0,032","1,005","0,006","-0,013","1,010","0,000","-0,018","1,020","-0,005","0,004","0,961","0,003","-0,012","1,048","-0,015","-0,028","1,012"
55,"0,023","0,024","0,969","0,003","0,002","0,998","0,011","0,000","1,011","-0,001","-0,015","1,014","0,004","0,002","0,969","0,013","-0,003","1,049","-0,015","-0,027","1,018"
56,"0,075","-0,016","0,962","0,005","-0,030","0,997","0,011","-0,003","1,008","-0,004","-0,011","1,013","0,005","0,002","0,955","0,015","-0,004","1,048","-0,008","-0,019","1,025"
57,"0,008","-0,012","0,970","0,018","-0,006","0,997","0,002","0,001","1,011","-0,008","-0,015","1,007","-0,007","0,004","0,958","0,011","-0,008","1,053","0,007","-0,020","1,023"
58,"0,048","0,000","0,951","0,028","-0,023","1,002","-0,005","-0,009","1,013","-0,014","-0,014","1,001","-0,010","0,002","0,966","0,004","-0,012","1,054","0,012","-0,007","1,017"
59,"0,010","-0,014","0,939","0,015","-0,017","0,996","-0,011","-0,012","1,010","-0,017","-0,011","1,008","-0,006","0,001","0,957","-0,007","-0,017","1,051","0,014","-0,003","1,020"
60,"-0,015","0,013","0,942","0,022","-0,003","1,004","-0,016","-0,008","1,005","-0,011","-0,006","1,014","-0,003","0,008","0,959","-0,016","-0,020","1,050","0,015","0,001","1,018"
61,"0,005","0,000","0,940","-0,004","0,008","1,003","-0,011","-0,010","1,011","-0,017","-0,012","1,011","-0,002","0,004","0,958","-0,008","-0,015","1,048","0,013","0,011","1,018"
62,"0,009","0,002","0,936","0,001","-0,001","1,000","-0,003","-0,017","1,013","-0,007","-0,013","1,013","-0,011","0,004","0,954","0,007","-0,009","1,050","0,004","0,008","1,015"
63,"0,001","-0,002","0,952","-0,009","0,013","0,996","0,003","-0,008","1,016","-0,009","-0,016","1,017","-0,004","0,001","0,956","0,011","-0,014","1,043","0,002","0,015","1,021"
64,"-0,001","-0,003","0,951","0,001","0,009","0,998","0,013","-0,007","1,009","-0,006","-0,015","1,014","0,001","0,000","0,956","0,007","-0,013","1,046","-0,006","0,001","1,021"
