Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
0,"0,003","0,006","0,950","-0,003","-0,003","1,005","-0,002","0,001","1,014","-0,003","0,004","1,020","-0,006","0,005","0,958","-0,004","0,004","1,061","-0,003","0,000","1,025"
1,"-0,002","-0,001","0,948","-0,004","-0,009","1,001","0,001","-0,002","1,016","-0,009","0,009","1,018","0,001","0,000","0,963","-0,007","-0,007","1,065","-0,007","-0,003","1,022"
2,"0,001","-0,004","0,946","-0,008","-0,004","0,999","-0,001","-0,007","1,015","-0,007","0,007","1,023","-0,005","0,000","0,958","-0,002","0,002","1,060","-0,006","-0,008","1,024"
3,"0,000","-0,001","0,947","-0,004","0,002","1,000","-0,001","-0,006","1,014","-0,005","0,004","1,019","-0,005","-0,001","0,962","-0,003","-0,002","1,067","-0,003","0,008","1,024"
4,"-0,005","-0,002","0,940","-0,004","-0,001","0,999","0,001","0,005","1,019","-0,007","0,000","1,012","-0,004","0,005","0,964","0,001","-0,005","1,069","-0,007","0,008","1,025"
5,"-0,001","-0,001","0,947","-0,003","0,003","1,000","-0,003","0,002","1,014","-0,010","-0,002","1,015","-0,009","0,003","0,959","-0,003","0,001","1,069","-0,004","0,010","1,022"
6,"-0,003","-0,003","0,945","0,002","0,000","0,999","-0,005","0,001","1,014","-0,008","0,004","1,014","-0,004","0,005","0,962","-0,007","0,005","1,069","0,006","0,003","1,031"
7,"0,002","0,004","0,945","0,003","0,004","1,000","-0,002","-0,001","1,013","-0,007","0,002","1,013","-0,005","-0,003","0,958","-0,011","0,003","1,062","-0,002","0,003","1,026"
8,"0,000","0,002","0,943","-0,001","-0,001","1,001","-0,009","-0,001","1,011","-0,006","0,002","1,013","-0,004","0,000","0,959","-0,011","0,001","1,065","0,003","0,006","1,018"
9,"0,002","0,003","0,945","0,007","0,007","1,004","-0,005","0,002","1,014","-0,004","0,000","1,016","-0,003","0,009","0,966","-0,009","0,003","1,064","-0,001","0,013","1,027"
10,"0,000","-0,001","0,947","0,002","-0,003","1,003","-0,002","-0,004","1,018","-0,007","0,007","1,026","-0,005","0,002","0,959","-0,005","-0,002","1,073","-0,002","0,010","1,025"
11,"0,002","0,001","0,946","-0,001","0,004","1,003","-0,003","0,000","1,017","-0,005","0,002","1,016","-0,007","0,002","0,962","-0,002","0,001","1,074","-0,002","0,000","1,025"
12,"0,000","0,002","0,948","-0,003","-0,004","1,005","-0,001","0,004","1,013","-0,003","0,007","1,021","-0,003","0,003","0,955","0,001","0,008","1,063","-0,001","0,002","1,030"
13,"0,001","-0,005","0,943","-0,004","-0,004","1,003","-0,007","-0,003","1,015","-0,005","0,003","1,021","-0,006","0,007","0,961","-0,003","-0,002","1,063","-0,006","0,000","1,031"
14,"0,000","0,001","0,945","-0,006","-0,001","1,002","-0,005","-0,004","1,016","-0,008","0,010","1,014","-0,003","0,003","0,960","-0,005","0,004","1,059","-0,003","0,007","1,027"
15,"-0,002","0,002","0,946","-0,004","0,000","1,005","-0,004","0,000","1,016","-0,006","0,003","1,016","-0,006","0,007","0,958","-0,004","0,003","1,062","-0,003","0,009","1,026"
16,"-0,003","0,000","0,945","-0,001","0,005","0,997","-0,002","-0,008","1,014","-0,006","0,012","1,013","-0,005","0,005","0,962","-0,013","-0,003","1,069","-0,004","0,006","1,026"
17,"-0,005","-0,001","0,939","-0,003","0,003","1,002","-0,001","0,002","1,015","-0,001","0,004","1,015","-0,005","0,002","0,956","-0,007","-0,006","1,069","-0,007","0,006","1,028"
18,"-0,002","-0,004","0,945","-0,005","0,003","1,001","-0,006","-0,004","1,016","0,001","0,005","1,013","-0,002","0,000","0,957","-0,011","0,000","1,068","-0,009","0,004","1,032"
19,"-0,002","0,000","0,946","-0,004","0,002","1,003","-0,007","-0,008","1,019","0,004","0,006","1,018","-0,002","0,000","0,954","-0,007","0,001","1,066","-0,008","-0,002","1,028"
20,"-0,001","0,000","0,946","-0,007","-0,006","1,001","-0,001","-0,003","1,017","0,000","0,005","1,027","-0,004","0,001","0,959","-0,006","0,002","1,067","-0,006","0,006","1,027"
