Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
0,"0,012","-0,041","0,943","-0,007","0,004","0,994","-0,012","-0,014","1,024","-0,002","-0,016","1,016","-0,026","-0,034","0,961","0,004","-0,003","1,071","-0,015","0,002","1,025"
1,"0,007","-0,034","0,946","-0,005","-0,002","0,995","-0,008","-0,010","1,016","0,002","-0,016","1,022","-0,034","-0,033","0,967","-0,002","-0,003","1,072","-0,011","0,005","1,020"
2,"0,002","-0,036","0,941","-0,007","-0,004","1,003","-0,003","-0,001","1,014","0,001","-0,018","1,016","-0,031","-0,046","0,955","0,000","0,002","1,067","-0,010","0,004","1,026"
3,"0,016","-0,037","0,950","-0,005","0,005","0,996","-0,004","-0,008","1,016","0,005","-0,019","1,017","-0,031","-0,036","0,959","-0,009","0,002","1,067","-0,001","0,000","1,028"
4,"0,013","-0,037","0,946","-0,002","-0,009","1,000","-0,006","-0,003","1,011","0,003","-0,022","1,022","-0,024","-0,042","0,957","-0,009","0,008","1,063","0,004","-0,005","1,031"
5,"0,012","-0,031","0,942","0,001","-0,005","0,990","0,001","0,000","1,015","-0,001","-0,012","1,011","-0,027","-0,039","0,968","-0,002","0,012","1,074","-0,001","-0,008","1,020"
6,"0,024","-0,040","0,941","0,003","-0,010","0,993","0,003","0,004","1,015","0,001","-0,013","1,013","-0,020","-0,039","0,963","-0,001","0,019","1,068","-0,002","-0,009","1,022"
7,"0,020","-0,038","0,939","0,005","-0,022","0,997","0,006","0,008","1,012","0,000","-0,011","1,008","-0,018","-0,038","0,962","0,004","0,018","1,072","0,009","-0,016","1,023"
8,"0,019","-0,026","0,945","0,007","-0,018","1,005","0,007","0,002","1,018","0,005","-0,012","1,012","-0,015","-0,035","0,965","0,003","0,019","1,066","0,013","-0,022","1,019"
9,"0,023","-0,031","0,944","0,002","-0,017","1,011","0,003","0,004","1,018","0,001","-0,003","1,013","-0,022","-0,035","0,959","0,006","0,013","1,073","0,013","-0,022","1,023"
10,"0,023","-0,038","0,946","-0,004","-0,011","1,001","-0,002","0,001","1,019","0,004","-0,014","1,016","-0,020","-0,037","0,960","0,010","0,004","1,075","0,007","-0,018","1,034"
11,"0,013","-0,035","0,947","-0,008","0,002","0,997","-0,006","-0,007","1,014","-0,001","-0,007","1,015","-0,023","-0,036","0,957","0,009","0,005","1,070","-0,002","-0,008","1,029"
12,"0,017","-0,046","0,942","-0,014","0,003","0,994","-0,004","-0,005","1,017","0,001","-0,010","1,016","-0,025","-0,042","0,959","0,004","0,002","1,069","-0,012","0,004","1,028"
13,"0,011","-0,046","0,951","-0,008","0,004","0,990","-0,006","0,004","1,016","0,000","-0,002","1,014","-0,026","-0,035","0,961","-0,001","0,000","1,073","-0,016","0,016","1,022"
14,"0,001","-0,020","0,950","-0,012","0,005","0,987","-0,001","0,001","1,012","-0,003","-0,007","1,015","-0,019","-0,031","0,965","0,003","0,004","1,071","-0,014","0,012","1,019"
15,"-0,003","-0,021","0,936","-0,016","0,003","0,992","-0,001","0,005","1,014","-0,001","-0,009","1,018","-0,018","-0,027","0,962","0,000","-0,001","1,073","-0,015","0,004","1,018"
16,"0,007","-0,038","0,950","-0,015","0,004","1,001","0,001","0,001","1,014","-0,002","-0,009","1,017","-0,017","-0,028","0,952","-0,002","0,005","1,068","-0,002","0,001","1,023"
17,"0,008","-0,036","0,957","-0,013","0,006","1,004","0,003","-0,006","1,017","0,001","-0,010","1,014","-0,021","-0,039","0,957","-0,005","0,002","1,072","-0,005","-0,006","1,022"
18,"0,004","-0,028","0,943","-0,003","-0,007","0,998","0,004","-0,003","1,015","0,003","-0,007","1,019","-0,018","-0,029","0,961","-0,005","0,003","1,071","-0,006","0,001","1,022"
19,"0,008","-0,029","0,950","-0,012","0,002","0,994","-0,006","-0,011","1,021","0,000","-0,005","1,014","-0,028","-0,033","0,961","-0,003","0,009","1,067","-0,008","-0,005","1,027"
20,"0,004","-0,033","0,945","-0,009","-0,002","0,995","-0,004","-0,001","1,014","0,001","-0,006","1,021","-0,028","-0,036","0,965","-0,005","0,015","1,066","-0,005","-0,001","1,026"
21,"0,011","-0,023","0,949","-0,005","-0,005","1,002","0,006","0,003","1,009","0,003","-0,006","1,025","-0,021","-0,024","0,964","-0,003","0,024","1,067","-0,003","-0,005","1,024"
22,"0,012","-0,028","0,948","0,001","-0,007","0,998","0,011","0,015","1,008","0,002","-0,007","1,021","-0,013","-0,013","0,965","-0,004","0,020","1,066","0,005","0,000","1,022"
23,"0,009","-0,022","0,949","0,000","0,002","0,993","0,007","0,010","1,007","0,005","-0,002","1,017","-0,005","-0,013","0,954","0,003","0,021","1,062","0,001","0,003","1,023"
24,"0,013","-0,014","0,950","-0,001","0,007","0,993","-0,004","0,006","1,014","0,008","-0,006","1,015","-0,013","-0,009","0,964","0,006","0,019","1,063","-0,001","0,008","1,021"
25,"0,016","-0,006","0,945","0,001","0,004","0,998","-0,017","-0,005","1,015","-0,002","0,001","1,016","-0,019","-0,007","0,961","0,005","0,018","1,065","-0,003","0,012","1,025"
26,"0,005","-0,003","0,950","0,000","0,001","1,005","-0,030","-0,016","1,024","0,000","0,002","1,013","-0,017","-0,002","0,959","0,005","0,009","1,069","0,001","0,004","1,027"
27,"0,007","-0,008","0,951","0,003","-0,007","1,013","-0,027","-0,013","1,034","0,002","0,001","1,011","-0,021","-0,006","0,957","0,001","0,001","1,076","0,002","0,005","1,030"
28,"0,006","-0,008","0,950","0,004","-0,004","1,018","-0,001","-0,010","1,036","-0,005","0,001","1,014","0,009","-0,020","0,963","-0,005","-0,015","1,080","0,000","-0,009","1,037"
29,"0,007","-0,008","0,946","-0,004","-0,011","1,020","0,039","-0,001","1,033","-0,002","0,001","1,022","0,025","-0,019","0,967","-0,005","-0,015","1,082","0,001","-0,014","1,042"
30,"-0,008","-0,010","0,951","-0,010","0,003","1,016","0,062","0,004","1,034","0,001","0,007","1,033","0,006","-0,003","0,960","0,008","-0,014","1,083","0,000","-0,006","1,040"
31,"-0,008","-0,004","0,954","-0,027","0,013","1,011","0,033","0,006","1,029","-0,001","0,006","1,043","0,005","-0,009","0,960","0,025","-0,002","1,082","-0,009","-0,002","1,040"
32,"-0,003","-0,008","0,948","-0,029","0,015","1,004","0,001","0,003","1,020","0,005","0,004","1,046","0,005","-0,013","0,968","0,027","0,002","1,083","-0,008","0,010","1,035"
33,"0,002","-0,003","0,945","-0,016","0,014","0,998","-0,011","-0,005","1,018","0,004","0,004","1,048","-0,002","-0,010","0,956","0,008","0,011","1,081","-0,014","0,017","1,035"
34,"-0,002","-0,008","0,944","-0,002","0,006","0,997","-0,008","0,008","1,011","0,013","0,003","1,042","-0,002","-0,002","0,958","0,000","0,018","1,068","-0,013","0,021","1,028"
35,"-0,001","0,002","0,948","0,005","0,009","1,006","0,002","0,014","1,019","0,010","0,003","1,037","0,006","0,004","0,962","-0,007","0,027","1,067","-0,010","0,015","1,032"
36,"0,003","0,000","0,941","-0,001","0,009","1,012","0,018","0,021","1,016","0,007","-0,008","1,030","0,009","-0,009","0,954","-0,006","0,035","1,065","-0,008","0,012","1,035"
37,"-0,001","0,001","0,948","-0,005","0,000","1,013","0,020","0,015","1,017","0,009","-0,007","1,018","0,003","-0,001","0,954","0,006","0,034","1,075","-0,006","0,005","1,042"
38,"-0,003","-0,004","0,937","-0,008","0,008","1,008","0,011","0,012","1,012","0,007","-0,006","1,018","0,008","-0,009","0,956","0,015","0,027","1,068","-0,002","0,005","1,041"
39,"-0,004","-0,002","0,951","-0,012","0,011","1,002","0,002","0,010","1,009","0,007","-0,007","1,012","0,002","-0,007","0,957","0,015","0,021","1,068","0,001","0,000","1,030"
40,"0,000","-0,003","0,941","-0,008","0,005","1,001","0,004","0,003","1,015","0,004","-0,002","1,013","0,010","-0,003","0,960","0,005","0,020","1,064","0,007","0,008","1,023"
41,"0,002","0,003","0,949","-0,003","0,002","1,000","0,006","0,007","1,022","0,004","0,004","1,011","0,003","0,004","0,960","-0,002","0,016","1,071","0,006","-0,001","1,025"
42,"0,006","0,007","0,947","-0,001","-0,004","1,002","0,003","0,006","1,029","0,002","-0,001","1,015","-0,001","-0,008","0,961","-0,009","0,012","1,073","0,012","-0,003","1,030"
43,"0,004","-0,003","0,943","0,003","0,002","1,008","0,002","0,010","1,019","0,000","0,003","1,011","-0,005","-0,004","0,959","-0,003","0,012","1,075","0,010","0,001","1,027"
44,"0,005","-0,004","0,950","0,006","0,002","1,005","0,004","0,005","1,010","0,002","0,005","1,010","-0,002","-0,001","0,952","0,002","0,014","1,073","0,005","0,003","1,024"
45,"0,002","-0,005","0,946","0,000","0,007","1,001","-0,001","0,005","1,016","-0,001","0,002","1,014","-0,002","0,000","0,958","0,000","0,015","1,066","-0,001","0,008","1,024"
46,"0,002","0,000","0,947","-0,008","0,006","0,993","-0,005","0,006","1,020","-0,001","0,003","1,018","0,004","0,002","0,958","0,006","0,016","1,068","-0,006","0,012","1,021"
47,"-0,002","-0,003","0,943","-0,008","0,007","0,992","-0,005","0,002","1,030","-0,005","0,010","1,020","-0,006","0,002","0,963","0,008","0,016","1,071","-0,006","0,010","1,021"
48,"0,002","0,004","0,945","-0,009","0,003","1,002","0,008","0,007","1,026","-0,006","0,009","1,022","-0,004","-0,002","0,962","0,003","0,014","1,071","-0,006","0,009","1,019"
49,"0,000","0,005","0,941","-0,005","-0,012","1,007","0,011","0,005","1,018","-0,008","0,006","1,027","0,005","0,004","0,962","0,007","0,012","1,076","-0,008","0,003","1,027"
50,"0,009","-0,004","0,950","-0,003","0,005","1,011","0,010","0,009","1,013","-0,006","0,004","1,029","-0,001","-0,001","0,963","0,016","0,021","1,072","-0,006","-0,007","1,036"
51,"0,004","-0,010","0,943","-0,005","0,003","1,005","0,008","0,009","1,014","-0,001","0,009","1,026","-0,001","-0,003","0,954","0,015","0,033","1,070","-0,006","-0,007","1,041"
52,"-0,002","-0,002","0,952","-0,011","0,001","1,004","0,009","0,011","1,014","0,002","0,005","1,028","-0,010","0,010","0,964","0,011","0,030","1,070","-0,005","-0,005","1,038"
