Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
0,"0,178","0,041","0,239","-0,118","0,008","1,551","0,214","-0,059","0,936","0,630","-0,187","0,733","-0,130","-0,167","0,023","-0,032","-0,029","0,712","0,123","0,164","1,817"
1,"-0,069","0,172","0,374","-0,197","-0,154","1,270","-0,272","-0,057","1,011","0,489","0,133","0,978","0,075","-0,335","0,274","-0,140","-0,338","0,688","-0,114","0,254","1,986"
2,"0,309","-0,338","0,022","-0,153","-0,186","1,025","0,032","-0,123","0,953","-0,255","0,221","1,163","-0,095","-0,384","0,145","-0,439","-0,486","0,683","-0,067","0,428","1,674"
3,"0,005","-0,346","0,022","-0,448","-0,226","0,311","0,080","-0,280","0,422","-0,809","0,261","1,247","0,137","-0,616","0,155","-0,449","-0,367","0,750","-0,162","0,165","0,845"
4,"0,370","-0,338","-0,251","-0,394","-0,354","-0,662","0,130","-0,427","-0,048","-0,998","0,309","1,348","0,157","-0,455","0,069","-0,636","-0,341","0,787","-0,064","0,052","0,273"
5,"0,432","-0,364","-0,305","-0,454","-0,415","-0,650","0,117","-0,586","-0,577","-0,985","0,315","1,076","0,075","-0,695","0,122","-0,524","-0,066","0,761","-0,211","-0,091","-0,342"
6,"-0,239","-0,353","-0,251","-0,588","-0,441","-0,822","-0,131","-0,754","-0,787","-1,094","0,207","0,850","0,078","-0,889","0,019","-0,478","0,089","0,883","-0,358","-0,371","-0,949"
7,"-0,122","-0,159","-0,279","-0,577","-0,546","-0,686","0,119","-0,504","-0,468","-0,652","-0,080","0,674","0,153","-0,703","-0,005","-0,380","-0,045","0,466","-0,003","-0,520","-1,229"
8,"-0,056","-0,348","-0,115","-0,738","-0,318","-0,335","-0,054","-0,643","-0,190","-0,135","-0,359","0,229","0,165","-0,679","-0,087","-0,421","-0,233","0,294","0,133","-0,474","-0,910"
9,"-0,111","-0,622","-0,114","-0,811","-0,351","0,353","0,068","-0,712","-0,242","0,391","-0,608","-0,433","0,026","-0,750","0,008","-0,781","-0,384","0,285","0,144","-0,240","-0,622"
10,"-0,166","-0,841","-0,004","-0,708","-0,269","0,952","0,119","-0,706","-0,555","0,291","-1,014","-0,718","0,041","-0,837","-0,152","-0,887","-0,440","0,090","-0,067","-0,144","0,174"
11,"-0,100","-1,085","0,051","-0,669","-0,256","1,502","0,121","-0,624","-0,446","0,433","-1,004","-1,121","0,203","-0,648","0,109","-0,972","-0,682","-0,271","0,013","-0,092","0,633"
12,"0,023","-1,110","-0,139","-0,417","-0,426","1,569","0,242","-0,633","-0,510","0,314","-0,868","-1,261","0,169","-0,431","-0,013","-0,905","-0,511","-0,453","-0,215","-0,017","1,021"
13,"0,147","-1,188","-0,030","-0,615","-0,522","1,349","0,374","-0,625","-0,142","0,240","-0,709","-1,070","0,148","-0,674","0,048","-0,727","-0,470","-0,389","-0,160","-0,025","0,882"
14,"0,138","-0,807","-0,222","-0,542","-0,489","0,661","0,382","-0,570","0,157","0,041","-0,527","-0,830","0,149","-0,591","0,073","-0,698","-0,314","-0,048","-0,047","0,075","0,681"
15,"0,018","-0,892","-0,249","-0,584","-0,570","0,058","0,387","-0,608","0,288","-0,042","-0,345","-0,448","0,497","-0,800","0,152","-0,900","-0,136","0,106","-0,218","0,391","0,999"
16,"-0,044","-0,839","-0,277","-0,635","-0,667","-0,665","0,316","-0,675","-0,070","-0,235","-0,216","-0,319","0,222","-0,847","-0,129","-0,657","-0,126","0,124","-0,656","0,291","0,722"
17,"0,317","-0,639","-0,304","-0,543","-0,723","-1,096","0,190","-0,710","-0,246","-0,539","-0,498","-0,202","0,225","-1,041","-0,232","-0,602","-0,140","0,213","-0,621","-0,154","0,061"
18,"0,195","-0,643","-0,441","-0,674","-0,680","-1,216","0,066","-0,723","-0,302","-0,472","-0,714","-0,230","0,306","-0,802","-0,285","-0,684","-0,007","0,410","-0,653","-0,690","-0,755"
19,"0,127","-0,344","-0,387","-0,659","-0,587","-0,983","-0,117","-0,939","-0,444","-0,167","-0,817","-0,163","0,288","-0,879","-0,175","-0,557","-0,086","0,402","-0,551","-1,044","-1,260"
20,"0,068","-0,427","-0,278","-0,600","-0,663","-0,175","-0,125","-0,923","-0,695","0,025","-1,001","-0,267","0,253","-0,745","-0,321","-0,613","-0,173","0,381","-0,556","-0,969","-1,373"
21,"0,133","-0,617","-0,386","-0,484","-0,609","-0,252","-0,367","-0,916","-0,627","-0,023","-1,163","-0,463","0,186","-0,795","-0,300","-0,862","-0,149","0,414","-0,839","-0,887","-0,846"
22,"0,008","-0,483","-0,251","-0,662","-0,603","-0,178","-0,661","-0,916","-0,248","0,048","-1,130","-0,678","0,071","-0,735","-0,344","-0,983","-0,205","0,439","-0,159","-0,733","-0,610"
23,"0,069","-0,482","-0,387","-0,716","-0,717","-0,098","-0,841","-0,968","-0,171","0,122","-0,958","-1,026","0,174","-0,819","-0,219","-1,080","-0,430","0,212","-0,152","-0,257","-0,390"
24,"0,075","-0,727","-0,331","-0,708","-0,700","0,023","-0,906","-1,204","-0,436","0,189","-0,954","-1,159","0,153","-0,495","-0,398","-0,885","-0,288","-0,012","-0,203","-0,190","-0,146"
25,"0,195","-0,643","-0,441","-0,791","-0,871","-0,318","-1,046","-1,196","-1,054","-0,051","-0,821","-1,304","0,162","-0,277","-0,377","-0,661","-0,400","-0,503","-0,150","-0,310","-0,360"
26,"0,438","-0,609","-0,386","-0,635","-0,857","-0,701","-1,361","-1,065","-1,318","-0,112","-0,712","-1,360","0,460","-0,181","-0,260","-0,108","-0,821","-1,123","-0,289","-0,552","-0,778"
27,"0,131","-0,508","-0,441","-0,656","-0,897","-1,003","-2,183","-1,002","-0,191","-0,170","-0,685","-1,444","0,300","0,431","-0,192","0,154","-1,149","-1,170","-0,736","-0,856","-1,290"
28,"-0,053","-0,485","-0,387","-0,520","-0,984","-1,679","-2,555","-0,778","1,762","-0,119","-0,330","-1,407","0,485","0,461","0,298","0,688","-1,492","0,074","-0,562","-0,976","-1,509"
29,"0,188","-0,370","-0,305","-0,352","-0,946","-1,881","-2,522","-0,547","3,021","-0,055","-0,189","-1,538","0,494","0,680","0,319","0,963","-1,154","1,128","-0,389","-1,043","-1,759"
30,"0,072","-0,618","-0,386","-0,216","-0,981","-1,701","-2,629","-0,450","3,565","-0,170","-0,190","-1,680","0,937","0,043","0,920","1,127","-0,888","2,073","-0,617","-0,886","-1,348"
31,"-0,104","-0,868","-0,468","-0,049","-0,829","-1,054","-2,529","-0,389","2,869","-0,282","-0,436","-1,772","0,636","0,349","0,514","0,870","-0,133","2,645","0,132","-0,777","-0,948"
32,"0,135","-0,699","-0,550","-0,111","-0,967","-0,230","-2,133","-0,519","1,766","-0,336","-0,655","-1,806","0,502","-0,111","0,403","0,545","0,501","3,365","0,573","-0,564","-0,595"
33,"0,013","-0,675","-0,495","0,013","-1,086","-0,222","-1,615","-0,648","0,659","-0,711","-0,585","-1,659","0,607","0,178","0,186","-0,048","0,834","3,745","0,771","-0,049","-0,194"
34,"-0,173","-0,570","-0,414","-0,025","-1,159","-0,765","-1,027","-0,993","-0,286","-0,965","-0,622","-1,453","0,758","0,066","0,402","-0,480","0,778","3,000","0,886","-0,222","-0,381"
35,"0,015","-0,783","-0,440","-0,195","-1,129","-1,435","-0,852","-1,116","-0,640","-1,276","-0,521","-1,384","-0,198","-0,092","-0,374","-0,869","0,603","1,751","0,972","-0,516","-1,271"
