Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z
0,"0,001","-0,005","0,950","-0,005","-0,004","1,020","0,000","-0,007","1,000","0,001","-0,002","0,955","-0,002","-0,004","1,015","-0,003","-0,009","1,010","-0,004","-0,008","1,066"
1,"0,000","-0,001","0,946","-0,001","-0,010","1,025","-0,006","-0,007","1,005","-0,005","0,005","0,959","0,002","-0,004","1,013","-0,002","-0,003","1,006","0,000","-0,006","1,066"
2,"0,001","0,000","0,949","-0,008","-0,011","1,020","-0,009","-0,005","0,999","-0,001","0,001","0,956","-0,002","-0,005","1,016","-0,001","-0,004","1,011","-0,002","-0,007","1,069"
3,"0,002","-0,002","0,952","0,003","-0,011","1,026","-0,002","0,002","1,000","0,001","0,002","0,957","-0,004","-0,002","1,015","-0,001","-0,009","1,007","-0,011","-0,009","1,069"
4,"-0,002","0,000","0,948","-0,004","-0,014","1,022","-0,001","-0,001","0,997","-0,004","0,002","0,955","-0,009","-0,003","1,015","0,002","-0,004","1,010","-0,009","-0,010","1,070"
5,"0,002","-0,003","0,947","0,000","-0,010","1,023","-0,005","-0,006","1,005","-0,003","-0,001","0,957","-0,007","-0,007","1,017","0,002","-0,012","1,008","-0,011","0,002","1,067"
6,"-0,001","0,004","0,950","-0,003","-0,005","1,025","-0,004","-0,007","1,007","-0,002","0,001","0,954","-0,007","0,001","1,018","-0,002","-0,001","1,004","-0,008","-0,001","1,065"
7,"0,004","-0,003","0,943","-0,003","-0,006","1,019","-0,004","-0,005","1,002","-0,004","-0,001","0,959","-0,006","-0,002","1,019","-0,005","-0,009","1,011","-0,004","0,001","1,062"
8,"0,001","0,001","0,954","0,000","-0,010","1,021","-0,002","0,001","1,005","-0,003","-0,001","0,955","-0,003","0,000","1,016","-0,006","-0,005","1,008","0,000","-0,002","1,069"
9,"0,003","-0,004","0,942","-0,003","-0,013","1,023","-0,006","-0,003","1,002","0,001","0,004","0,954","-0,008","-0,004","1,012","-0,008","-0,008","1,007","0,000","0,001","1,067"
10,"-0,001","0,002","0,942","-0,002","-0,010","1,027","-0,004","-0,004","1,000","-0,003","0,000","0,964","-0,003","-0,006","1,012","-0,004","-0,001","1,007","-0,004","0,006","1,062"
11,"0,002","-0,002","0,946","-0,002","-0,008","1,021","-0,001","0,001","1,002","-0,001","0,005","0,959","-0,008","-0,001","1,012","-0,004","-0,011","1,007","0,005","0,001","1,063"
12,"-0,003","-0,003","0,945","-0,001","-0,008","1,029","0,004","-0,005","1,002","-0,001","0,000","0,955","-0,005","0,002","1,019","-0,007","0,000","1,008","0,003","-0,002","1,069"
13,"0,000","0,003","0,952","0,001","-0,003","1,022","-0,003","0,000","1,003","-0,001","-0,001","0,955","-0,003","0,003","1,018","-0,003","-0,001","1,009","-0,004","0,000","1,060"
14,"-0,006","0,006","0,946","-0,002","-0,005","1,027","-0,006","-0,002","0,999","-0,001","0,000","0,953","0,000","0,003","1,020","-0,001","-0,001","1,006","-0,009","0,002","1,065"
15,"0,002","-0,001","0,949","0,003","-0,004","1,021","-0,001","-0,007","1,006","0,000","-0,002","0,955","-0,002","0,000","1,018","-0,007","-0,001","1,012","-0,002","0,001","1,064"
16,"0,000","0,003","0,948","0,000","-0,006","1,023","0,003","-0,002","1,000","0,006","0,003","0,958","0,001","0,005","1,012","-0,007","-0,004","1,009","-0,003","0,003","1,066"
17,"-0,001","0,001","0,950","0,003","-0,002","1,024","0,001","-0,003","1,004","-0,001","0,003","0,958","0,001","0,003","1,015","-0,005","-0,008","1,009","0,003","0,008","1,065"
18,"-0,002","-0,001","0,945","0,004","-0,001","1,023","-0,004","-0,002","1,000","-0,001","0,002","0,953","0,000","0,003","1,015","0,001","-0,005","1,009","0,000","0,003","1,062"
19,"0,001","-0,002","0,948","0,003","-0,007","1,024","-0,008","0,004","1,004","-0,001","-0,002","0,955","-0,011","0,000","1,013","0,001","-0,005","1,008","0,002","0,001","1,062"
20,"0,003","0,002","0,950","-0,001","-0,003","1,023","-0,006","0,002","1,002","0,000","0,002","0,956","0,002","0,001","1,016","-0,002","-0,006","1,003","0,000","-0,001","1,069"
21,"0,001","-0,002","0,951","0,002","-0,009","1,022","-0,001","0,001","1,002","0,001","-0,002","0,956","0,002","-0,003","1,017","-0,004","-0,005","1,009","0,002","-0,006","1,073"
22,"-0,001","-0,005","0,949","-0,001","-0,005","1,020","0,001","-0,004","1,001","0,001","0,001","0,954","-0,005","-0,001","1,015","0,003","0,008","1,005","-0,005","-0,010","1,071"
23,"0,002","-0,001","0,946","-0,005","0,000","1,023","-0,004","-0,007","1,001","0,000","0,000","0,959","-0,004","-0,003","1,014","0,002","-0,003","1,008","-0,008","-0,003","1,063"
24,"-0,001","0,001","0,943","-0,002","-0,007","1,019","-0,006","-0,009","1,005","-0,001","0,000","0,956","0,001","-0,004","1,013","-0,005","0,002","1,006","0,000","-0,001","1,062"
25,"0,000","-0,002","0,942","-0,003","-0,013","1,023","0,001","-0,006","1,003","0,000","0,004","0,960","0,000","0,002","1,011","-0,008","0,000","1,012","0,001","0,003","1,060"
26,"0,002","-0,004","0,945","0,000","-0,006","1,027","-0,003","0,001","1,000","0,001","0,005","0,957","0,001","0,000","1,014","-0,004","0,000","1,009","0,003","0,003","1,062"
27,"0,000","0,002","0,950","0,003","-0,010","1,028","-0,006","-0,002","0,999","0,001","0,004","0,958","0,003","-0,004","1,015","0,003","0,003","1,009","0,001","-0,001","1,067"
28,"0,001","-0,002","0,950","0,002","-0,006","1,026","0,002","-0,001","1,005","0,001","0,003","0,959","-0,002","0,004","1,014","0,001","0,003","1,012","-0,001","0,002","1,067"
29,"0,000","0,005","0,948","-0,001","-0,001","1,022","0,003","-0,004","1,001","-0,002","0,003","0,960","0,002","0,003","1,015","-0,004","-0,009","1,008","0,001","-0,001","1,070"
30,"-0,002","-0,003","0,946","0,001","0,004","1,020","-0,004","-0,004","1,001","-0,001","0,000","0,955","-0,004","0,004","1,016","0,001","-0,003","1,005","-0,003","0,000","1,072"
31,"0,001","-0,005","0,948","-0,002","-0,007","1,022","-0,003","0,001","1,000","0,001","0,000","0,953","-0,001","-0,006","1,016","0,001","-0,004","1,008","-0,007","0,001","1,070"
32,"0,003","0,004","0,950","-0,004","-0,001","1,024","-0,002","0,002","1,000","0,001","0,001","0,956","-0,004","-0,002","1,021","0,007","0,001","1,005","0,000","0,003","1,064"
33,"-0,002","-0,001","0,951","-0,001","-0,005","1,027","-0,003","0,006","1,001","-0,001","-0,001","0,957","-0,002","-0,003","1,018","0,003","-0,003","1,005","-0,001","-0,002","1,065"
34,"0,000","-0,005","0,949","0,000","0,000","1,024","0,002","0,002","0,999","-0,002","0,004","0,957","0,001","0,000","1,014","-0,003","-0,002","1,008","0,002","0,001","1,067"
35,"0,002","0,001","0,945","0,000","0,004","1,025","-0,003","0,004","1,004","0,001","-0,002","0,955","-0,006","-0,004","1,019","0,000","-0,003","1,004","-0,002","-0,003","1,066"
36,"-0,003","-0,002","0,945","0,000","-0,002","1,024","-0,003","0,002","1,000","-0,002","-0,001","0,957","-0,005","0,003","1,010","-0,001","-0,002","1,008","0,001","-0,003","1,066"
37,"0,004","0,000","0,944","0,000","0,002","1,020","0,003","0,005","0,999","0,004","-0,003","0,954","-0,004","-0,004","1,018","0,000","0,002","1,004","-0,001","0,005","1,066"
38,"0,001","-0,003","0,951","0,002","-0,004","1,027","0,000","-0,005","1,005","-0,002","0,001","0,952","0,003","0,001","1,015","0,003","0,004","1,004","-0,007","0,006","1,063"
39,"-0,001","0,002","0,955","0,000","0,000","1,022","-0,007","0,003","1,004","0,002","-0,002","0,964","-0,001","0,000","1,012","0,005","0,002","1,008","0,000","0,004","1,063"
40,"0,003","0,004","0,949","-0,002","-0,005","1,021","-0,003","0,002","0,998","0,002","-0,003","0,951","0,002","-0,002","1,016","0,001","0,006","1,010","0,003","-0,006","1,068"
41,"0,000","0,000","0,948","-0,001","-0,006","1,026","0,005","-0,003","1,002","-0,001","-0,001","0,954","0,000","0,001","1,016","0,001","-0,001","1,013","-0,002","-0,002","1,067"
42,"-0,001","0,001","0,953","0,004","-0,008","1,023","-0,004","-0,010","1,004","0,003","0,001","0,960","-0,004","0,000","1,015","0,000","0,003","1,012","-0,001","-0,001","1,066"
43,"0,003","0,002","0,951","-0,002","-0,003","1,018","-0,006","0,000","1,003","-0,003","0,000","0,955","0,000","-0,002","1,015","-0,005","0,007","1,009","-0,001","0,004","1,060"
44,"0,000","-0,001","0,948","-0,002","-0,008","1,025","-0,007","-0,004","1,000","0,004","0,001","0,958","-0,001","-0,001","1,016","-0,005","0,004","1,008","0,003","0,009","1,062"
45,"0,000","0,000","0,942","0,003","-0,014","1,028","0,001","-0,005","0,998","0,002","-0,002","0,963","0,000","-0,002","1,014","-0,007","-0,003","1,009","0,004","0,001","1,064"
46,"0,003","-0,002","0,949","0,004","-0,008","1,025","0,002","-0,004","0,996","-0,001","0,006","0,963","0,000","0,002","1,010","0,000","0,002","1,006","0,007","-0,004","1,065"
47,"0,006","-0,001","0,947","0,004","-0,002","1,022","-0,001","-0,002","1,001","-0,002","0,000","0,959","-0,001","-0,002","1,014","-0,005","-0,004","1,001","0,004","0,003","1,065"
48,"0,000","-0,002","0,948","-0,003","0,003","1,018","-0,004","-0,002","1,003","0,002","0,001","0,956","-0,001","-0,004","1,017","0,000","-0,001","1,003","0,004","-0,005","1,070"
49,"-0,001","-0,002","0,948","0,001","-0,001","1,024","0,000","-0,004","1,001","0,002","-0,003","0,958","-0,002","-0,003","1,018","0,000","-0,002","1,003","0,002","0,004","1,066"
50,"0,003","0,000","0,944","0,000","-0,005","1,024","0,002","0,002","0,999","0,002","-0,001","0,959","-0,003","-0,001","1,017","-0,004","0,001","1,003","-0,002","0,004","1,064"
51,"0,000","0,002","0,954","0,004","0,006","1,022","0,006","0,003","0,999","0,002","0,000","0,959","-0,001","0,002","1,013","0,000","-0,004","1,005","-0,002","0,008","1,058"
52,"0,002","0,000","0,944","0,001","0,003","1,021","0,002","0,000","1,000","-0,002","-0,004","0,953","0,001","-0,002","1,014","-0,002","-0,001","1,007","-0,002","0,003","1,061"
53,"0,001","-0,003","0,946","-0,002","0,005","1,026","0,001","0,004","1,001","-0,005","0,000","0,956","-0,006","0,003","1,012","0,000","0,000","1,008","-0,006","0,003","1,070"
54,"-0,003","0,001","0,945","0,000","0,002","1,026","-0,001","0,010","1,000","0,001","0,003","0,961","0,003","0,007","1,010","-0,004","0,001","1,007","-0,003","0,005","1,067"
55,"-0,001","0,002","0,949","0,001","0,005","1,026","0,000","0,003","1,002","0,000","-0,004","0,951","0,000","-0,002","1,010","0,001","0,000","1,008","0,001","0,002","1,066"
56,"0,002","-0,001","0,948","-0,001","0,002","1,027","-0,004","0,002","0,998","-0,001","-0,002","0,956","0,003","0,006","1,012","0,000","0,005","1,006","0,003","0,004","1,069"
57,"-0,001","0,002","0,946","-0,001","0,001","1,026","0,003","-0,004","0,998","0,000","0,003","0,960","0,005","0,002","1,016","0,001","0,000","1,006","0,007","0,005","1,069"
58,"0,002","-0,001","0,950","-0,006","0,008","1,025","-0,002","0,001","1,002","0,003","-0,002","0,956","0,001","0,002","1,015","0,004","-0,005","1,007","0,007","0,006","1,069"
59,"-0,002","-0,003","0,953","-0,002","0,001","1,026","0,000","0,000","1,003","0,001","0,002","0,959","-0,002","-0,003","1,016","-0,002","0,000","1,009","0,006","-0,002","1,071"
60,"-0,002","0,000","0,945","-0,001","-0,001","1,021","-0,001","-0,002","1,002","0,004","-0,002","0,957","-0,002","0,005","1,013","0,002","0,000","1,008","0,002","-0,009","1,068"
61,"0,001","-0,003","0,943","0,003","-0,007","1,021","0,003","-0,004","1,003","0,001","-0,002","0,957","0,000","-0,001","1,016","0,003","-0,001","1,007","-0,004","-0,006","1,067"
62,"0,002","-0,001","0,947","0,001","-0,004","1,021","0,004","-0,008","0,997","0,002","0,000","0,959","0,000","-0,002","1,019","0,000","0,005","1,005","0,000","-0,003","1,065"
63,"0,004","-0,001","0,948","0,005","-0,005","1,021","0,001","-0,005","1,006","-0,001","-0,003","0,952","0,005","-0,002","1,017","0,002","0,002","1,010","0,002","0,006","1,062"
64,"0,003","-0,001","0,951","0,010","-0,009","1,025","0,001","-0,005","0,999","0,002","-0,001","0,958","-0,004","-0,004","1,014","-0,004","0,001","1,006","-0,004","-0,001","1,064"
65,"0,004","0,000","0,949","0,006","-0,007","1,020","-0,003","0,001","1,000","-0,001","-0,002","0,956","-0,004","-0,011","1,015","-0,002","0,000","1,013","-0,002","-0,001","1,064"
66,"0,001","-0,001","0,949","0,004","0,001","1,018","0,000","-0,001","1,002","-0,001","0,004","0,956","-0,003","-0,001","1,016","0,000","0,005","1,013","-0,006","-0,007","1,073"
67,"-0,003","0,000","0,944","0,006","0,000","1,022","0,002","-0,008","1,000","0,000","0,002","0,955","0,003","-0,002","1,016","0,001","-0,001","1,008","0,003","-0,007","1,070"
68,"0,001","0,003","0,950","-0,001","0,002","1,024","0,004","0,000","1,001","0,002","-0,001","0,960","0,001","-0,002","1,014","0,002","0,003","1,007","0,004","-0,012","1,077"
69,"-0,001","-0,001","0,949","0,001","0,001","1,019","0,009","-0,004","1,001","0,004","0,001","0,960","0,007","-0,003","1,013","0,000","0,001","1,009","0,004","0,002","1,067"
