Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z
0,"0,887","0,451","0,094","0,000","0,965","-0,260","0,044","0,000","0,999","-0,040","-0,007","0,000","0,863","0,488","-0,133","0,000","0,995","-0,101","-0,011","0,000","0,991","-0,130","0,019","0,000","0,951","-0,308","0,025","0,000"
1,"0,886","0,453","0,095","0,000","0,964","-0,263","0,044","0,000","0,999","-0,040","-0,004","0,000","0,862","0,489","-0,130","0,000","0,995","-0,102","-0,011","0,000","0,991","-0,130","0,019","0,000","0,951","-0,308","0,025","0,000"
2,"0,886","0,453","0,095","0,000","0,963","-0,264","0,045","0,000","0,999","-0,040","-0,003","0,000","0,862","0,489","-0,130","0,000","0,995","-0,102","-0,010","0,000","0,991","-0,130","0,019","0,000","0,951","-0,308","0,025","0,000"
3,"0,886","0,453","0,094","0,000","0,964","-0,263","0,044","0,000","0,999","-0,040","-0,004","0,000","0,862","0,489","-0,132","0,000","0,995","-0,101","-0,010","0,000","0,991","-0,130","0,019","0,000","0,951","-0,308","0,025","0,000"
4,"0,886","0,453","0,095","0,000","0,963","-0,265","0,044","0,000","0,999","-0,040","-0,004","0,000","0,862","0,490","-0,130","0,000","0,995","-0,101","-0,010","0,000","0,991","-0,130","0,019","0,000","0,951","-0,308","0,027","0,000"
5,"0,886","0,453","0,094","0,000","0,964","-0,263","0,043","0,000","0,999","-0,039","-0,005","0,000","0,862","0,489","-0,131","0,000","0,995","-0,101","-0,010","0,000","0,991","-0,130","0,018","0,000","0,951","-0,307","0,027","0,000"
6,"0,886","0,453","0,095","0,000","0,964","-0,263","0,043","0,000","0,999","-0,040","-0,005","0,000","0,862","0,489","-0,131","0,000","0,995","-0,101","-0,008","0,000","0,991","-0,130","0,018","0,000","0,951","-0,307","0,027","0,000"
7,"0,886","0,453","0,094","0,000","0,964","-0,263","0,043","0,000","0,999","-0,039","-0,005","0,000","0,862","0,489","-0,131","0,000","0,995","-0,101","-0,008","0,000","0,991","-0,130","0,018","0,000","0,951","-0,307","0,026","0,000"
8,"0,886","0,453","0,094","0,000","0,964","-0,263","0,043","0,000","0,999","-0,039","-0,005","0,000","0,862","0,489","-0,131","0,000","0,995","-0,101","-0,008","0,000","0,991","-0,130","0,019","0,000","0,951","-0,307","0,026","0,000"
9,"0,886","0,453","0,094","0,000","0,964","-0,263","0,043","0,000","0,999","-0,039","-0,005","0,000","0,862","0,489","-0,131","0,000","0,995","-0,101","-0,008","0,000","0,991","-0,129","0,019","0,000","0,952","-0,307","0,025","0,000"
10,"0,885","0,455","0,095","0,000","0,964","-0,262","0,041","0,000","0,999","-0,036","-0,006","0,000","0,863","0,488","-0,130","0,000","0,995","-0,103","-0,011","0,000","0,992","-0,126","0,020","0,000","0,952","-0,304","0,024","0,000"
11,"0,886","0,453","0,094","0,000","0,964","-0,262","0,044","0,000","0,999","-0,034","-0,008","0,000","0,862","0,489","-0,131","0,000","0,995","-0,101","-0,009","0,000","0,991","-0,129","0,020","0,000","0,953","-0,304","0,022","-0,001"
12,"0,887","0,452","0,096","-0,001","0,964","-0,261","0,041","0,000","0,999","-0,037","-0,009","0,000","0,863","0,488","-0,133","0,001","0,995","-0,098","-0,009","0,000","0,992","-0,127","0,021","0,001","0,952","-0,306","0,022","-0,001"
13,"0,886","0,454","0,095","0,000","0,965","-0,259","0,041","0,000","0,999","-0,036","-0,006","0,000","0,863","0,489","-0,130","0,000","0,995","-0,099","-0,012","0,000","0,992","-0,125","0,018","0,000","0,952","-0,305","0,024","0,000"
14,"0,885","0,456","0,096","-0,001","0,964","-0,261","0,043","0,000","0,999","-0,038","-0,003","0,000","0,862","0,489","-0,133","0,001","0,995","-0,097","-0,010","0,000","0,992","-0,128","0,019","0,000","0,953","-0,303","0,026","0,001"
15,"0,886","0,454","0,095","0,000","0,965","-0,260","0,040","0,000","0,999","-0,039","-0,006","0,000","0,863","0,487","-0,132","0,001","0,995","-0,099","-0,011","0,000","0,992","-0,126","0,021","0,001","0,952","-0,304","0,024","0,000"
16,"0,885","0,456","0,094","0,000","0,964","-0,261","0,042","0,000","0,999","-0,037","-0,009","0,000","0,862","0,489","-0,133","0,001","0,995","-0,097","-0,012","0,000","0,991","-0,129","0,021","0,001","0,953","-0,301","0,024","0,000"
17,"0,886","0,454","0,095","0,000","0,965","-0,259","0,041","0,000","0,999","-0,038","-0,006","0,000","0,862","0,490","-0,131","0,000","0,995","-0,100","-0,012","0,000","0,991","-0,130","0,019","0,000","0,954","-0,301","0,021","-0,001"
18,"0,887","0,452","0,096","-0,001","0,966","-0,257","0,039","-0,001","0,999","-0,035","-0,004","0,000","0,863","0,488","-0,132","0,001","0,995","-0,097","-0,011","0,000","0,992","-0,128","0,017","0,000","0,953","-0,303","0,023","0,000"
19,"0,887","0,453","0,093","0,000","0,965","-0,260","0,040","-0,001","0,999","-0,033","-0,002","0,000","0,864","0,486","-0,132","0,001","0,995","-0,098","-0,008","0,000","0,992","-0,129","0,015","0,000","0,952","-0,304","0,020","-0,001"
20,"0,886","0,455","0,093","0,001","0,965","-0,260","0,043","0,000","0,999","-0,035","-0,004","0,000","0,863","0,488","-0,132","0,001","0,995","-0,099","-0,011","0,000","0,992","-0,128","0,018","0,000","0,952","-0,305","0,023","0,000"
