Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z
0,"0,001","0,002","0,951","0,006","0,002","0,948","0,001","0,000","1,003","0,001","0,004","0,962","-0,001","0,000","1,034","0,000","0,003","1,005","0,005","-0,004","0,888"
1,"-0,006","-0,001","0,948","0,007","0,000","0,952","0,001","0,002","1,002","0,010","0,005","0,958","0,008","-0,004","1,029","-0,001","-0,002","1,002","0,006","-0,007","0,883"
2,"-0,004","-0,001","0,951","0,003","0,000","0,951","-0,001","0,002","1,011","0,000","-0,001","0,960","0,009","-0,002","1,034","0,000","-0,005","1,004","-0,001","-0,002","0,890"
3,"0,002","0,000","0,953","0,002","-0,004","0,956","-0,003","0,001","1,011","-0,004","-0,001","0,960","0,007","-0,003","1,041","0,000","-0,004","1,002","0,002","-0,004","0,891"
4,"0,002","0,000","0,953","0,001","-0,005","0,956","-0,005","0,000","1,003","0,002","0,003","0,958","0,003","-0,004","1,040","0,004","-0,004","1,007","0,002","-0,003","0,895"
5,"-0,001","0,001","0,953","0,005","-0,001","0,956","-0,002","-0,005","1,005","0,004","0,003","0,967","0,003","0,005","1,040","0,001","-0,005","1,002","0,002","-0,004","0,895"
6,"-0,004","0,001","0,948","0,003","-0,007","0,952","0,000","0,001","1,003","-0,006","0,005","0,971","-0,003","-0,005","1,042","0,002","-0,002","1,002","0,000","-0,003","0,897"
7,"-0,003","0,002","0,957","0,005","-0,001","0,959","0,004","-0,007","1,006","-0,006","0,005","0,961","0,001","-0,003","1,034","0,004","-0,009","0,999","0,000","-0,007","0,894"
8,"0,002","-0,004","0,951","0,005","-0,009","0,955","0,001","-0,009","1,003","-0,005","-0,001","0,961","-0,001","-0,004","1,035","0,000","-0,008","1,000","0,001","-0,003","0,895"
9,"0,007","-0,003","0,944","0,011","-0,006","0,956","0,003","-0,008","1,003","0,006","-0,002","0,961","-0,002","-0,007","1,032","-0,001","-0,008","1,003","0,001","-0,006","0,885"
10,"-0,002","-0,002","0,951","0,015","-0,005","0,947","0,006","-0,010","1,009","0,000","0,000","0,962","0,005","-0,002","1,038","-0,003","-0,003","1,003","0,001","-0,007","0,890"
11,"-0,001","-0,002","0,953","0,013","-0,004","0,957","0,007","-0,009","1,007","-0,002","-0,005","0,956","0,007","-0,003","1,036","0,001","-0,003","1,003","0,001","-0,006","0,883"
12,"0,007","0,000","0,948","0,010","-0,009","0,953","0,007","-0,003","1,005","0,001","-0,002","0,961","0,006","-0,007","1,035","-0,001","-0,006","1,002","0,002","-0,006","0,886"
13,"0,006","0,003","0,954","0,013","-0,008","0,957","0,005","-0,007","1,006","0,003","-0,002","0,960","0,006","-0,001","1,035","0,002","0,000","0,999","-0,001","-0,005","0,892"
14,"-0,002","0,003","0,948","0,011","-0,007","0,951","0,002","-0,006","1,001","0,000","-0,003","0,963","0,000","-0,004","1,040","-0,002","-0,004","1,005","-0,002","-0,008","0,888"
15,"-0,005","0,001","0,949","0,013","-0,002","0,960","0,005","-0,008","1,006","-0,001","0,002","0,960","0,001","-0,002","1,041","-0,004","-0,002","1,000","-0,004","-0,002","0,896"
16,"0,002","0,001","0,949","0,010","-0,003","0,957","0,007","-0,002","1,004","0,001","0,002","0,961","0,001","-0,004","1,040","-0,005","-0,004","1,006","-0,004","-0,002","0,896"
17,"0,006","0,004","0,950","0,008","-0,007","0,954","0,004","-0,013","1,008","-0,004","0,004","0,961","-0,003","0,002","1,038","0,000","-0,003","1,006","0,000","-0,005","0,894"
18,"-0,003","0,000","0,956","0,008","-0,004","0,957","0,006","-0,004","1,004","-0,002","0,001","0,962","-0,002","-0,005","1,040","0,007","-0,001","1,006","0,001","-0,002","0,894"
19,"-0,001","-0,007","0,945","0,013","-0,006","0,958","0,004","-0,003","1,006","0,001","0,000","0,962","0,003","0,001","1,032","-0,002","-0,002","1,005","0,001","-0,002","0,886"
20,"-0,002","0,000","0,948","0,011","-0,003","0,958","0,006","-0,007","1,004","-0,003","-0,001","0,961","0,004","-0,003","1,032","-0,004","-0,006","1,009","0,001","-0,004","0,884"
21,"-0,005","0,006","0,949","0,011","-0,003","0,955","0,005","-0,003","1,005","0,002","-0,005","0,958","0,013","-0,004","1,033","-0,001","0,002","1,004","0,003","-0,003","0,890"
22,"0,002","-0,002","0,954","0,008","-0,002","0,951","0,006","-0,002","1,010","0,000","0,002","0,958","0,005","-0,010","1,031","-0,003","-0,003","1,005","0,004","0,001","0,890"
23,"-0,001","0,005","0,951","0,011","-0,002","0,951","0,007","-0,004","1,011","0,004","0,001","0,955","0,004","-0,002","1,032","-0,003","0,003","1,003","0,002","0,000","0,886"
24,"0,002","0,005","0,954","0,010","-0,007","0,955","0,004","-0,008","1,010","0,001","0,002","0,964","0,006","-0,001","1,032","0,002","-0,003","1,002","0,001","-0,006","0,891"
25,"0,002","0,001","0,954","0,006","-0,001","0,954","0,003","-0,002","1,003","0,001","0,001","0,964","0,003","-0,003","1,041","0,003","0,005","1,006","-0,002","-0,004","0,890"
26,"0,004","-0,005","0,953","0,003","-0,004","0,951","-0,001","-0,007","1,005","-0,004","-0,003","0,964","0,002","0,002","1,035","0,004","0,003","1,009","-0,004","-0,001","0,894"
27,"0,001","-0,003","0,949","0,003","-0,005","0,947","-0,005","-0,003","1,002","-0,002","-0,004","0,958","-0,001","-0,004","1,032","0,000","0,004","1,015","-0,004","-0,009","0,892"
28,"0,000","0,001","0,954","0,001","-0,006","0,951","-0,001","-0,012","1,006","0,000","-0,001","0,957","-0,002","-0,004","1,036","-0,002","0,003","1,016","-0,005","-0,001","0,890"
29,"-0,001","-0,005","0,951","-0,001","-0,001","0,958","-0,004","-0,002","1,002","0,001","0,001","0,963","-0,002","-0,002","1,040","0,002","0,009","1,018","-0,004","-0,001","0,889"
30,"-0,007","-0,001","0,956","0,002","-0,002","0,957","-0,003","0,007","1,003","0,002","0,001","0,967","-0,001","-0,001","1,039","0,005","0,005","1,021","-0,004","0,000","0,892"
