Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z
0,"57,215","5,635","2,658","43,154","1,211","-0,759","81,002","8,628","-0,440","64,121","17,010","-0,836","83,165","3,138","-7,968","-29,171","-0,268","-0,070","37,947","10,607","-7,154"
1,"57,194","5,657","2,652","43,165","1,179","-0,708","81,128","8,629","-0,432","64,200","16,984","-0,780","83,310","3,372","-7,780","-29,158","-0,326","-0,085","37,993","10,438","-7,069"
2,"57,221","5,659","2,653","43,224","1,198","-0,661","81,204","8,551","-0,511","64,264","17,018","-0,798","83,261","3,366","-7,778","-29,158","-0,456","-0,119","37,964","10,525","-7,174"
3,"57,301","5,747","2,520","43,152","1,131","-0,632","81,144","8,448","-0,445","64,330","17,150","-0,838","83,184","3,407","-7,758","-29,171","-0,413","-0,107","37,871","10,493","-7,124"
4,"57,233","5,712","2,572","43,213","1,134","-0,635","81,219","8,517","-0,442","64,368","17,078","-0,825","83,302","3,508","-7,623","-29,171","-0,413","-0,107","37,943","10,328","-7,024"
5,"57,302","5,674","2,590","43,091","1,117","-0,624","81,227","8,529","-0,428","64,325","17,055","-0,796","83,236","3,418","-7,757","-29,301","-0,412","-0,108","37,814","10,483","-7,127"
6,"57,294","5,677","2,610","43,206","1,095","-0,586","81,204","8,569","-0,426","64,397","17,103","-0,838","83,267","3,512","-7,620","-29,164","-0,456","-0,119","37,957","10,355","-7,060"
7,"57,296","5,650","2,621","43,140","1,094","-0,586","81,183","8,568","-0,424","64,355","17,036","-0,818","83,140","3,400","-7,731","-29,210","-0,454","-0,118","37,887","10,483","-7,141"
8,"57,319","5,681","2,609","43,118","1,095","-0,587","81,188","8,567","-0,423","64,398","17,112","-0,852","83,168","3,377","-7,749","-29,210","-0,454","-0,118","37,838","10,504","-7,148"
9,"57,337","5,677","2,590","43,161","1,090","-0,604","81,166","8,551","-0,400","64,370","17,113","-0,858","83,090","3,376","-7,731","-29,139","-0,410","-0,107","37,848","10,464","-7,096"
10,"57,221","5,771","2,448","43,218","1,091","-0,601","81,045","8,378","-0,423","64,036","17,092","-0,934","82,778","3,891","-7,527","-28,860","-0,276","-0,032","38,003","10,275","-6,651"
11,"57,137","5,705","2,498","43,196","0,975","-0,239","81,419","8,839","-0,353","64,316","16,992","-0,714","83,132","3,533","-7,700","-29,096","-0,468","-0,138","37,860","10,497","-7,173"
12,"57,638","5,574","2,781","42,707","0,879","0,046","81,498","9,287","-0,280","64,476","17,066","-0,745","83,303","3,481","-7,749","-29,399","-0,527","-0,171","37,595","10,660","-7,551"
13,"57,763","5,715","2,652","42,757","0,979","-0,266","81,119","8,832","-0,349","64,350","16,995","-0,703","83,305","3,469","-7,752","-29,131","-0,375","-0,086","37,992","10,497","-7,163"
14,"57,167","5,649","2,571","42,394","0,951","-0,195","80,585","8,583","-0,377","63,857","16,931","-0,790","82,823","3,416","-7,674","-29,297","-0,627","-0,227","37,638","10,545","-7,263"
15,"57,627","5,583","2,769","42,913","1,003","-0,340","81,051","8,865","-0,341","64,433","17,183","-0,908","82,895","3,220","-7,744","-29,030","-0,474","-0,143","37,632","10,508","-7,172"
16,"57,590","5,778","2,536","43,028","1,067","-0,526","81,073","8,397","-0,420","64,874","17,048","-0,605","83,351","3,559","-7,733","-28,722","-0,489","-0,153","38,192","10,492","-7,137"
17,"57,270","5,412","2,871","43,378","1,200","-0,918","81,003","8,455","-0,409","64,427","17,169","-0,898","82,935","3,500","-7,677","-28,616","-0,205","-0,001","38,029","10,280","-6,631"
18,"57,203","5,405","2,864","43,177","1,081","-0,546","80,944","9,057","-0,313","64,567","16,818","-0,431","83,312","4,001","-7,602","-28,918","-0,272","-0,043","37,927","10,228","-6,507"
19,"56,987","5,290","2,943","43,190","1,178","-0,839","80,439","8,740","-0,353","64,507","16,884","-0,524","83,237","3,460","-7,761","-28,671","-0,091","0,052","37,964","10,233","-6,519"
20,"57,252","5,488","2,787","43,134","1,121","-0,660","81,004","8,914","-0,338","64,393","16,875","-0,539","83,074","3,391","-7,760","-28,966","-0,192","-0,008","37,747","10,411","-6,944"
21,"56,809","5,464","2,691","43,206","1,001","-0,286","80,552","9,335","-0,261","64,681","17,149","-0,763","83,006","3,378","-7,759","-28,700","-0,342","-0,094","37,962","10,347","-6,797"
22,"57,127","5,610","2,613","43,173","1,180","-0,836","80,742","8,720","-0,360","64,203","16,864","-0,569","83,053","3,573","-7,716","-28,874","-0,092","0,041","37,991","10,276","-6,632"
23,"57,722","5,662","2,717","43,592","1,081","-0,519","81,323","8,760","-0,369","63,900","17,103","-0,940","82,711","3,201","-7,767","-28,694","-0,335","-0,095","37,963","10,393","-6,910"
24,"57,267","5,848","2,387","43,067","1,047","-0,421","80,884","8,663","-0,379","63,879","17,104","-0,940","82,966","3,797","-7,644","-29,000","-0,283","-0,068","37,719","10,245","-6,559"
25,"57,734","5,685","2,707","42,992","1,095","-0,572","81,344","8,789","-0,372","63,804","17,119","-0,981","82,779","3,582","-7,672","-29,309","-0,254","-0,054","37,564","10,344","-6,794"
26,"57,791","5,639","2,782","43,122","1,134","-0,693","81,521","8,571","-0,416","64,376","17,207","-0,900","83,233","3,289","-7,843","-29,029","-0,383","-0,127","38,030","10,512","-7,200"
27,"57,310","5,722","2,562","42,654","1,243","-1,034","80,983","8,416","-0,430","64,268","17,427","-1,206","82,983","3,470","-7,741","-29,303","-0,253","-0,056","37,749","10,323","-6,745"
28,"57,298","5,795","2,481","42,905","1,112","-0,621","80,928","8,340","-0,443","64,495","17,466","-1,186","83,187","2,877","-7,949","-29,286","-0,554","-0,227","37,928","10,582","-7,373"
29,"56,960","5,645","2,566","43,298","0,999","-0,249","80,732","8,486","-0,418","64,350","17,265","-0,993","83,260","3,468","-7,789","-28,981","-0,615","-0,263","38,148","10,479","-7,133"
30,"56,958","5,645","2,568","43,300","1,001","-0,249","80,767","8,539","-0,411","64,343","17,250","-0,978","83,207","3,484","-7,776","-28,991","-0,587","-0,251","38,110","10,459","-7,088"
