Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z
0,"0,008","0,005","0,956","0,013","0,003","0,961","0,003","0,003","1,008","0,000","-0,005","0,959","0,011","0,014","1,034","0,002","-0,004","1,023","0,011","0,006","0,884"
1,"0,005","0,007","0,950","0,007","-0,003","0,959","0,007","-0,014","1,012","0,002","-0,009","0,962","0,009","-0,007","1,043","-0,002","0,002","1,019","0,006","0,006","0,880"
2,"-0,006","-0,001","0,954","0,011","-0,006","0,957","0,003","-0,008","1,006","0,003","-0,005","0,959","0,003","-0,004","1,040","0,001","-0,003","1,022","0,010","-0,005","0,886"
3,"-0,006","-0,001","0,949","0,016","0,001","0,960","0,004","0,000","1,009","-0,005","-0,001","0,960","0,004","0,002","1,041","0,004","-0,006","1,028","0,005","-0,005","0,883"
4,"-0,002","0,003","0,948","0,014","0,001","0,953","0,004","0,000","1,006","-0,001","-0,006","0,958","0,001","-0,010","1,051","0,002","-0,005","1,028","0,010","-0,002","0,890"
5,"-0,005","-0,002","0,945","0,004","-0,008","0,955","0,003","0,005","1,002","0,001","-0,002","0,959","0,002","-0,006","1,051","0,007","-0,002","1,021","0,012","-0,004","0,894"
6,"-0,001","-0,002","0,946","-0,003","-0,004","0,953","-0,001","-0,008","1,007","0,002","-0,005","0,956","0,004","-0,005","1,061","0,005","-0,002","1,023","0,012","-0,003","0,892"
7,"-0,009","-0,008","0,948","-0,003","-0,005","0,954","-0,003","-0,001","1,002","-0,006","0,011","0,960","0,003","0,002","1,061","0,004","-0,007","1,020","0,012","-0,002","0,900"
8,"-0,003","0,003","0,958","0,002","-0,005","0,951","-0,008","0,006","1,009","-0,001","0,005","0,962","0,000","0,008","1,056","0,005","-0,005","1,021","0,018","-0,002","0,899"
9,"-0,001","-0,005","0,948","-0,004","0,001","0,953","-0,004","0,002","1,006","-0,003","0,008","0,972","-0,001","0,002","1,052","0,010","-0,006","1,019","0,010","-0,008","0,894"
10,"-0,003","-0,006","0,948","0,003","0,004","0,958","-0,001","0,002","1,004","0,000","0,004","0,959","-0,002","0,000","1,053","0,005","0,000","1,018","0,004","0,002","0,895"
11,"-0,005","0,000","0,953","-0,001","0,002","0,960","-0,002","0,000","1,005","0,002","0,003","0,961","0,001","0,010","1,044","0,001","0,005","1,013","0,006","0,006","0,888"
12,"-0,003","-0,004","0,947","0,005","-0,001","0,954","-0,009","0,004","1,011","0,002","-0,001","0,958","0,004","0,001","1,051","0,004","0,001","1,024","0,013","0,003","0,889"
