Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z
0,"61,305","10,960","-6,617","-16,988","7,558","2,100","-21,165","-7,691","0,725","75,040","10,837","-5,743","-19,075","1,578","0,092","10,458","1,661","-0,152","-22,268","-2,037","-0,934"
1,"61,253","10,791","-6,338","-16,951","7,591","2,108","-21,160","-7,397","0,745","75,533","10,876","-5,814","-18,803","1,535","0,092","10,496","1,667","-0,153","-22,274","-2,042","-0,937"
2,"61,256","10,936","-6,415","-16,958","7,486","2,072","-21,297","-7,411","0,754","75,357","10,890","-5,787","-18,684","1,535","0,094","10,618","1,541","-0,143","-22,149","-1,930","-0,877"
3,"61,060","10,868","-6,470","-16,965","7,562","2,101","-21,470","-7,505","0,771","75,241","10,900","-5,794","-18,752","1,536","0,093","10,480","1,665","-0,153","-22,238","-2,040","-0,935"
4,"61,050","10,820","-6,388","-16,966","7,589","2,107","-21,467","-7,435","0,779","75,416","10,991","-6,018","-18,696","1,399","0,063","10,480","1,665","-0,153","-22,240","-2,120","-0,958"
5,"60,964","10,869","-6,469","-16,767","7,626","2,104","-21,367","-7,540","0,776","75,279","10,925","-5,853","-18,723","1,508","0,085","10,480","1,693","-0,155","-22,211","-2,092","-0,954"
6,"61,057","10,818","-6,387","-16,760","7,734","2,132","-21,292","-7,553","0,786","75,251","10,920","-5,847","-18,723","1,563","0,083","10,513","1,693","-0,156","-22,179","-2,145","-0,970"
7,"60,952","10,811","-6,382","-16,784","7,796","2,157","-21,389","-7,546","0,798","75,251","10,920","-5,847","-18,723","1,508","0,085","10,480","1,762","-0,162","-22,212","-2,154","-0,987"
8,"61,006","10,812","-6,385","-16,793","7,761","2,138","-21,347","-7,580","0,796","75,329","10,954","-5,924","-18,774","1,439","0,076","10,480","1,693","-0,155","-22,262","-2,091","-0,956"
9,"60,887","10,802","-6,368","-16,772","7,800","2,157","-21,377","-7,550","0,798","75,279","10,951","-5,918","-18,780","1,439","0,076","10,480","1,762","-0,162","-22,256","-2,153","-0,988"
