Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z
0,"-0,003","-0,006","0,942","-0,004","0,014","1,013","0,001","0,004","1,003","0,004","0,000","0,958","0,000","0,006","1,013","0,005","-0,003","0,996","-0,001","0,013","1,052"
1,"-0,005","0,000","0,947","-0,004","0,009","1,015","0,004","0,000","1,000","0,003","-0,001","0,958","-0,003","0,008","1,013","0,006","-0,005","0,992","-0,001","0,015","1,049"
2,"-0,005","-0,004","0,948","-0,001","0,013","1,015","0,002","0,002","0,999","0,003","-0,002","0,956","0,000","0,011","1,013","0,009","0,000","0,995","-0,003","0,016","1,046"
3,"0,002","0,001","0,950","0,014","-0,003","1,017","0,009","-0,001","1,003","0,003","0,005","0,959","0,000","0,010","1,014","0,005","-0,010","1,000","0,003","0,016","1,051"
4,"-0,008","-0,001","0,946","0,008","0,001","1,015","0,006","0,015","1,003","0,003","0,002","0,952","-0,003","0,012","1,013","0,003","-0,006","0,994","-0,004","0,014","1,051"
5,"0,001","0,003","0,941","-0,001","0,006","1,022","0,007","-0,001","1,003","0,001","-0,001","0,956","-0,001","0,006","1,012","0,011","0,001","0,997","-0,005","0,012","1,048"
6,"-0,002","0,001","0,943","-0,017","0,013","1,016","0,003","0,000","1,003","-0,003","0,003","0,957","-0,005","0,005","1,013","0,004","0,007","0,995","-0,004","0,012","1,044"
7,"-0,002","0,000","0,947","-0,011","-0,004","1,019","0,005","-0,009","1,005","0,006","0,000","0,956","-0,001","-0,004","1,021","0,002","0,006","0,998","-0,003","0,006","1,047"
8,"-0,004","-0,002","0,950","0,005","-0,002","1,012","-0,001","-0,003","1,004","-0,002","0,001","0,961","-0,008","-0,009","1,015","-0,001","0,010","1,006","-0,010","-0,002","1,046"
9,"-0,002","0,001","0,948","0,005","-0,005","1,004","0,006","-0,004","1,002","0,002","-0,001","0,955","-0,012","-0,010","1,026","-0,006","0,008","1,008","-0,005","-0,009","1,045"
10,"-0,002","-0,002","0,944","0,003","-0,007","1,015","0,004","-0,004","1,005","0,003","-0,001","0,962","-0,006","-0,010","1,021","-0,002","0,009","1,017","0,003","-0,012","1,048"
11,"-0,003","-0,009","0,945","-0,009","0,004","1,015","0,004","-0,005","1,003","0,004","0,000","0,959","0,000","-0,008","1,022","-0,005","0,001","1,017","0,008","-0,016","1,050"
12,"-0,007","-0,006","0,949","-0,011","0,001","1,022","-0,009","0,003","1,007","0,000","0,001","0,957","0,001","-0,005","1,020","-0,002","0,006","1,014","0,005","-0,018","1,059"
13,"-0,004","-0,001","0,950","-0,013","0,002","1,016","-0,002","0,004","1,002","-0,001","-0,002","0,952","0,000","0,000","1,018","-0,003","0,002","1,010","-0,002","-0,013","1,053"
