Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z
0,"61,835","8,865","-6,405","-9,802","6,048","1,092","-13,185","-8,223","0,188","69,259","14,571","-7,389","-15,688","1,636","0,096","9,306","0,841","-0,068","-17,344","-1,212","-0,418"
1,"61,876","8,864","-6,405","-9,551","6,095","1,067","-13,140","-8,625","0,208","69,966","14,764","-7,625","-15,012","1,429","0,088","9,549","0,480","-0,040","-17,141","-0,877","-0,282"
2,"62,494","8,869","-6,451","-9,545","6,452","1,127","-12,704","-9,000","0,174","70,089","14,957","-8,036","-14,995","0,990","0,043","9,556","0,480","-0,040","-17,134","-0,877","-0,282"
3,"62,200","8,855","-6,408","-9,322","6,135","1,054","-12,489","-8,663","0,154","70,140","15,033","-8,091","-14,970","0,756","0,050","9,447","0,480","-0,040","-17,200","-0,650","-0,228"
4,"62,186","8,797","-6,311","-9,297","6,259","1,075","-12,487","-8,675","0,167","70,071","15,098","-8,116","-15,000","0,756","0,050","9,472","0,481","-0,040","-17,205","-0,651","-0,229"
5,"62,100","8,853","-6,403","-8,938","6,255","1,055","-12,213","-8,752","0,151","69,722","15,300","-8,042","-15,277","1,031","0,075","9,472","0,509","-0,042","-17,205","-0,677","-0,239"
6,"62,118","8,857","-6,408","-9,010","6,253","1,061","-12,316","-8,750","0,156","70,121","15,478","-8,342","-15,011","0,989","0,043","9,504","0,511","-0,042","-17,173","-0,906","-0,293"
7,"61,955","8,821","-6,443","-8,912","6,298","1,065","-12,394","-8,850","0,169","69,994","15,445","-8,338","-15,034","0,756","0,048","9,500","0,553","-0,046","-16,995","-0,719","-0,253"
8,"61,970","8,890","-6,458","-8,907","6,339","1,072","-12,394","-8,849","0,174","70,232","15,498","-8,374","-14,834","0,988","0,044","9,504","0,553","-0,046","-16,991","-0,946","-0,307"
9,"61,956","8,890","-6,455","-8,836","6,366","1,076","-12,309","-8,807","0,167","70,186","15,446","-8,338","-14,748","0,988","0,044","9,490","0,623","-0,052","-16,911","-1,011","-0,332"
10,"61,990","8,915","-6,442","-8,984","6,471","1,109","-12,303","-8,390","0,193","70,033","15,292","-8,091","-15,150","1,392","0,124","9,608","0,935","-0,108","-16,872","-1,592","-0,615"
11,"61,775","9,161","-6,743","-9,555","6,811","1,217","-12,564","-8,906","0,165","70,046","15,181","-7,920","-15,149","1,403","0,147","9,313","1,119","-0,143","-17,471","-1,653","-0,670"
12,"62,309","9,000","-6,529","-10,039","6,568","1,120","-12,563","-8,820","0,182","69,704","15,293","-8,146","-15,527","1,153","0,124","9,130","0,824","-0,099","-17,682","-1,073","-0,402"
13,"62,250","9,010","-6,511","-9,779","7,128","1,299","-12,574","-9,324","0,122","69,853","15,055","-7,744","-14,922","1,219","0,159","9,180","1,155","-0,155","-17,333","-1,307","-0,534"
14,"61,819","8,860","-6,217","-9,300","6,885","1,202","-12,369","-9,065","0,120","69,694","15,239","-8,065","-15,099","0,867","0,092","9,323","0,845","-0,106","-17,026","-0,757","-0,261"
15,"62,341","8,868","-6,245","-8,680","6,633","1,093","-11,744","-8,821","0,077","69,563","15,333","-8,226","-15,131","0,995","0,104","9,613","0,673","-0,077","-16,428","-0,677","-0,200"
16,"62,226","8,775","-6,064","-8,918","6,720","1,113","-12,315","-8,512","0,163","70,048","15,189","-7,970","-15,099","0,991","0,097","9,605","1,010","-0,134","-16,741","-0,937","-0,320"
17,"61,645","8,794","-6,038","-9,332","6,437","1,017","-12,964","-8,422","0,238","69,543","15,230","-8,086","-15,109","0,994","0,101","9,503","0,683","-0,078","-16,568","-0,803","-0,239"
18,"62,250","8,846","-6,177","-9,427","6,721","1,118","-12,359","-8,678","0,151","69,931","15,024","-7,760","-14,695","1,377","0,189","9,162","0,759","-0,091","-16,836","-1,171","-0,410"
19,"62,236","8,833","-6,179","-9,367","6,787","1,150","-12,610","-9,260","0,118","70,156","15,328","-8,299","-14,628","0,792","0,078","9,449","0,593","-0,064","-16,672","-0,738","-0,188"
20,"62,489","9,181","-6,734","-9,759","6,600","1,103","-12,569","-9,255","0,112","70,298","15,383","-8,405","-14,641","0,974","0,132","9,130","0,729","-0,088","-17,300","-0,869","-0,268"
21,"62,239","9,347","-6,944","-10,210","6,211","0,987","-12,724","-9,283","0,111","70,316","15,411","-8,458","-14,737","0,843","0,124","8,790","0,639","-0,075","-17,921","-0,914","-0,312"
22,"62,497","9,203","-6,735","-9,757","5,995","0,928","-12,551","-8,637","0,137","70,564","15,225","-8,143","-14,907","0,956","0,165","9,107","0,725","-0,091","-17,842","-0,791","-0,260"
