Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z
0,"0,050","0,173","0,166","-0,257","-0,490","-0,949","0,812","-1,179","-3,252","-0,348","0,164","0,013","0,488","-0,304","-1,039","0,325","0,050","0,162","-0,521","-0,057","0,347"
1,"-0,244","-0,257","0,043","0,247","-0,360","-0,204","0,619","-0,748","-2,017","0,160","0,043","-0,038","0,239","-0,568","-0,806","0,088","-0,068","-0,195","-0,338","-0,494","0,425"
2,"0,057","-0,116","0,069","-0,057","0,011","-0,233","0,433","-0,561","-1,985","-0,142","-0,566","0,017","-0,271","-0,310","0,188","0,090","-0,207","-0,296","-0,460","-0,332","0,618"
3,"0,137","-0,416","0,049","-0,283","0,051","-0,676","0,217","-0,440","-1,396","-0,087","-0,341","0,173","-0,826","-0,252","0,475","0,093","-0,166","-0,426","-0,155","-0,085","0,429"
4,"0,024","-0,474","0,099","-0,577","-0,156","-0,512","0,426","-0,377","-0,776","0,163","-0,444","0,138","-0,705","-0,061","0,503","0,338","-0,054","-0,501","-0,400","-0,457","-0,747"
5,"-0,055","-0,174","0,119","-0,839","-0,095","-0,699","0,237","-0,366","-0,665","-0,461","-0,178","-0,002","-0,574","-0,262","0,110","0,279","0,047","-0,641","-0,339","-0,320","-0,882"
6,"-0,377","0,109","0,171","-1,249","-0,223","-0,485","0,311","-0,572","-0,886","-0,543","-0,050","-0,323","-0,313","-0,414","-0,662","0,468","0,000","-0,939","0,209","-0,500","-2,220"
7,"-0,348","0,552","0,157","-0,348","-0,449","-0,631","0,000","-0,551","-1,887","-0,494","-0,026","-0,257","-0,120","-0,507","-1,137","0,524","0,099","-0,706","-0,156","-0,475","-1,892"
8,"-0,420","0,682","0,146","0,276","-0,479","-1,137","0,071","-0,559","-3,172","-0,086","-0,079","-0,371","0,184","-0,376","-1,094","0,339","0,057","-0,580","-0,278","0,039","-1,397"
9,"-0,468","0,782","0,303","0,025","-0,321","-1,229","0,013","-0,686","-3,223","-0,079","0,130","-0,509","0,365","-0,483","-1,007","0,462","0,228","-0,666","0,332","-0,394","-1,865"
10,"-0,411","0,871","0,311","0,734","-0,195","-0,891","0,108","-0,758","-2,720","0,141","0,488","-0,411","0,367","-0,315","-1,102","0,945","0,208","-0,407","-0,278","-0,592","-0,884"
11,"-0,308","0,183","0,262","1,218","-0,726","-2,120","0,244","-0,853","-1,843","0,573","0,442","-0,378","1,225","-0,230","-1,286","1,188","0,278","-0,351","-0,460","-0,061","0,756"
12,"0,283","0,120","0,034","1,136","-0,552","-2,364","0,234","-0,774","-1,668","0,584","0,039","-0,182","1,596","-0,396","-1,494","0,822","0,337","-0,368","-0,215","0,123","1,549"
13,"0,219","0,081","-0,008","0,577","-0,310","-1,225","0,474","-0,887","-1,581","0,267","0,058","0,045","0,958","-0,581","-0,229","0,393","0,355","-0,256","-0,459","0,150","1,603"
14,"0,126","-0,042","0,161","-0,051","-0,415","-0,737","0,416","-0,773","-1,658","0,842","-0,359","0,276","0,403","-0,524","0,059","0,209","0,364","-0,199","0,150","-0,167","0,401"
15,"0,086","-0,032","-0,141","0,429","-0,578","-1,442","0,305","-0,792","-1,846","-0,182","-0,624","-0,100","0,340","-0,321","0,142","0,327","0,212","0,013","0,088","-0,590","-1,157"
16,"0,005","-0,290","0,046","0,575","-0,560","-1,205","0,308","-0,859","-1,900","-0,136","-0,239","-0,051","-0,010","-0,641","-0,549","0,449","0,152","0,025","0,759","-0,454","-1,156"
17,"-0,060","-0,688","-0,192","0,154","-0,340","-0,525","0,044","-0,470","-0,481","0,178","-0,151","0,020","-0,419","-0,674","-1,360","0,874","0,103","0,103","0,637","-0,592","-1,021"
18,"0,265","-0,816","-0,129","0,306","0,142","0,332","-0,074","-0,305","0,539","0,146","-0,242","-0,147","-0,341","-0,826","-2,136","1,060","0,145","-0,024","1,002","-0,755","-1,077"
19,"0,100","-1,048","-0,102","0,306","0,278","0,932","0,011","-0,358","1,224","-0,153","-0,037","-0,337","-0,233","-0,518","-1,510","0,999","0,205","-0,035","1,002","-0,894","-0,806"
20,"0,092","-0,639","0,060","0,743","0,253","1,025","0,034","-0,340","0,794","-0,592","-0,075","-0,390","-0,058","-0,447","-1,147","0,940","0,125","-0,147","0,698","-0,332","0,481"
21,"0,044","-0,539","0,217","0,865","0,251","1,013","0,156","-0,329","-0,305","-0,573","0,663","-0,506","0,241","-0,520","-0,878","1,244","0,136","-0,081","0,089","-0,036","1,084"
