Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z
0,"0,883","0,463","0,072","0,000","0,985","-0,165","0,046","0,000","0,998","-0,051","-0,026","0,000","0,867","0,475","-0,150","0,000","0,995","-0,095","-0,010","0,000","0,997","-0,081","-0,007","0,000","0,973","-0,230","0,004","0,000"
1,"0,883","0,463","0,072","0,000","0,985","-0,165","0,050","0,000","0,998","-0,052","-0,026","0,000","0,867","0,475","-0,151","0,000","0,995","-0,102","-0,009","0,000","0,997","-0,083","-0,004","0,000","0,973","-0,231","0,004","0,000"
2,"0,883","0,465","0,073","0,000","0,985","-0,165","0,053","0,000","0,998","-0,055","-0,026","0,000","0,867","0,475","-0,151","0,000","0,995","-0,102","-0,005","0,000","0,997","-0,083","-0,004","0,000","0,973","-0,231","0,004","0,000"
3,"0,883","0,463","0,072","0,000","0,985","-0,162","0,050","0,000","0,998","-0,054","-0,026","0,000","0,867","0,475","-0,152","0,000","0,995","-0,102","-0,005","0,000","0,997","-0,082","-0,004","0,000","0,973","-0,230","0,002","0,000"
4,"0,883","0,463","0,072","0,000","0,985","-0,162","0,051","0,000","0,998","-0,054","-0,025","0,000","0,867","0,474","-0,153","0,000","0,995","-0,102","-0,005","0,000","0,997","-0,083","-0,004","0,000","0,973","-0,231","0,002","0,000"
5,"0,883","0,463","0,072","0,000","0,986","-0,159","0,051","0,000","0,998","-0,054","-0,026","0,000","0,867","0,474","-0,156","0,000","0,995","-0,099","-0,007","0,000","0,997","-0,083","-0,004","0,000","0,973","-0,231","0,002","0,000"
6,"0,883","0,463","0,072","0,000","0,986","-0,160","0,051","0,000","0,998","-0,054","-0,026","0,000","0,866","0,474","-0,156","0,000","0,995","-0,102","-0,005","0,000","0,997","-0,083","-0,004","0,000","0,973","-0,231","0,004","0,000"
7,"0,883","0,463","0,071","0,000","0,986","-0,159","0,051","0,000","0,998","-0,052","-0,026","0,000","0,866","0,475","-0,156","0,000","0,995","-0,100","-0,005","0,000","0,997","-0,083","-0,005","0,000","0,973","-0,229","0,002","0,000"
8,"0,883","0,463","0,072","0,000","0,986","-0,159","0,051","0,000","0,998","-0,052","-0,026","0,000","0,866","0,475","-0,157","0,000","0,995","-0,102","-0,005","0,000","0,997","-0,083","-0,005","0,000","0,973","-0,229","0,004","0,000"
9,"0,883","0,463","0,072","0,000","0,986","-0,159","0,051","0,000","0,998","-0,052","-0,026","0,000","0,866","0,475","-0,156","0,000","0,995","-0,101","-0,005","0,000","0,997","-0,083","-0,005","0,000","0,974","-0,228","0,004","0,000"
10,"0,884","0,462","0,074","-0,001","0,986","-0,161","0,049","0,000","0,998","-0,054","-0,024","0,000","0,865","0,477","-0,155","-0,001","0,995","-0,099","-0,006","0,000","0,996","-0,084","-0,008","0,000","0,973","-0,229","0,007","0,001"
11,"0,885","0,459","0,074","-0,001","0,985","-0,163","0,051","-0,001","0,998","-0,055","-0,027","0,000","0,867","0,475","-0,154","-0,001","0,995","-0,101","-0,007","0,000","0,997","-0,081","-0,010","0,000","0,973","-0,232","0,006","0,000"
12,"0,884","0,461","0,073","-0,001","0,985","-0,166","0,051","-0,001","0,998","-0,057","-0,026","0,000","0,866","0,474","-0,157","0,000","0,995","-0,098","-0,007","-0,001","0,997","-0,080","-0,007","0,000","0,973","-0,232","0,003","0,000"
13,"0,884","0,463","0,071","0,001","0,985","-0,164","0,053","0,000","0,998","-0,055","-0,028","-0,001","0,867","0,474","-0,154","-0,001","0,995","-0,101","-0,009","-0,001","0,997","-0,080","-0,010","-0,001","0,973","-0,229","0,002","0,000"
14,"0,885","0,461","0,071","0,001","0,986","-0,161","0,054","0,000","0,998","-0,054","-0,026","-0,001","0,866","0,475","-0,156","0,000","0,995","-0,098","-0,008","-0,001","0,997","-0,081","-0,007","0,000","0,974","-0,228","0,000","-0,001"
15,"0,884","0,462","0,072","0,000","0,986","-0,158","0,053","0,000","0,998","-0,057","-0,024","-0,001","0,865","0,476","-0,158","0,001","0,995","-0,095","-0,008","-0,001","0,996","-0,084","-0,006","0,000","0,974","-0,225","0,000","-0,001"
16,"0,883","0,464","0,071","0,001","0,986","-0,160","0,051","-0,001","0,998","-0,054","-0,024","-0,001","0,865","0,477","-0,156","0,000","0,995","-0,098","-0,009","-0,001","0,996","-0,084","-0,009","0,000","0,974","-0,228","0,000","-0,001"
17,"0,884","0,462","0,072","0,000","0,985","-0,163","0,051","-0,001","0,998","-0,051","-0,023","-0,001","0,866","0,476","-0,156","0,000","0,995","-0,095","-0,007","-0,001","0,997","-0,083","-0,006","0,000","0,974","-0,226","0,001","-0,001"
18,"0,883","0,464","0,073","0,000","0,986","-0,161","0,053","-0,001","0,998","-0,054","-0,023","-0,001","0,866","0,477","-0,154","-0,002","0,995","-0,098","-0,008","-0,001","0,997","-0,080","-0,007","0,000","0,974","-0,225","0,004","0,000"
19,"0,883","0,464","0,070","0,001","0,985","-0,163","0,055","0,000","0,998","-0,054","-0,026","-0,001","0,866","0,476","-0,156","0,000","0,995","-0,100","-0,006","-0,001","0,997","-0,082","-0,005","0,000","0,974","-0,226","0,002","-0,001"
