Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z
0,"68,197","7,435","-3,941","-10,334","7,226","1,787","-14,333","-6,694","0,120","78,422","11,841","-6,295","-14,836","1,269","0,145","16,409","0,730","-0,105","-16,430","-1,082","-0,429"
1,"68,128","7,419","-3,776","-10,326","7,121","1,742","-14,330","-6,555","0,148","78,582","11,819","-6,400","-15,015","1,409","0,130","16,409","0,522","-0,075","-16,689","-1,164","-0,426"
2,"68,170","7,390","-3,720","-10,326","7,176","1,755","-14,329","-6,542","0,156","78,582","11,819","-6,400","-15,242","1,408","0,128","16,409","0,522","-0,075","-16,915","-1,162","-0,429"
3,"68,141","7,332","-3,731","-10,479","7,121","1,724","-14,036","-6,551","0,130","78,595","11,781","-6,282","-15,096","1,378","0,147","15,961","0,522","-0,073","-17,135","-0,993","-0,377"
4,"68,168","7,332","-3,731","-10,240","7,120","1,722","-14,009","-6,550","0,127","78,514","11,824","-6,292","-15,053","1,378","0,147","16,200","0,521","-0,074","-16,897","-0,993","-0,376"
5,"68,143","7,428","-3,934","-10,180","7,065","1,709","-13,991","-6,689","0,101","78,381","11,767","-6,152","-15,058","1,391","0,164","16,200","0,563","-0,080","-16,897","-0,926","-0,362"
6,"68,094","7,383","-3,818","-10,229","7,158","1,734","-14,037","-6,645","0,120","78,471","11,768","-6,152","-15,033","1,501","0,168","16,200","0,563","-0,080","-16,962","-1,032","-0,395"
7,"67,724","7,411","-3,903","-10,386","7,096","1,723","-14,384","-6,652","0,148","78,470","11,827","-6,188","-15,041","1,500","0,168","16,020","0,605","-0,085","-17,142","-1,069","-0,413"
8,"67,745","7,417","-3,908","-10,521","7,184","1,753","-14,517","-6,743","0,158","78,783","11,845","-6,223","-14,950","1,487","0,168","16,020","0,605","-0,085","-17,319","-1,083","-0,420"
9,"67,695","7,411","-3,903","-10,539","7,301","1,793","-14,540","-6,742","0,161","78,663","11,841","-6,218","-15,015","1,486","0,166","16,001","0,729","-0,103","-17,311","-1,196","-0,473"
10,"67,667","7,490","-4,010","-10,935","7,231","1,738","-14,508","-6,728","0,181","78,605","11,969","-6,447","-15,274","1,718","0,239","15,756","0,943","-0,168","-17,512","-1,659","-0,790"
11,"68,220","7,406","-3,870","-11,257","6,862","1,538","-14,189","-6,415","0,225","78,642","11,895","-6,298","-15,230","1,953","0,311","15,435","0,873","-0,154","-18,111","-1,726","-0,852"
