Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z
0,"0,007","-0,019","0,946","0,018","0,031","0,998","-0,010","0,035","0,981","-0,024","-0,035","0,947","0,003","-0,021","0,992","0,012","-0,002","0,979","-0,027","-0,014","1,014"
1,"0,006","-0,019","0,944","-0,010","0,068","1,002","0,004","0,059","0,971","-0,020","-0,031","0,949","-0,001","-0,027","0,994","-0,001","0,000","0,978","-0,011","-0,002","1,018"
2,"0,013","-0,008","0,942","-0,021","0,076","1,016","0,015","0,073","0,976","-0,007","-0,032","0,947","-0,016","-0,011","1,005","-0,004","-0,004","0,984","0,007","-0,001","1,020"
3,"0,021","0,002","0,943","-0,033","0,099","1,016","0,027","0,071","0,983","-0,013","-0,022","0,955","-0,013","-0,003","1,003","-0,008","-0,003","0,988","0,007","-0,005","1,031"
4,"0,018","0,004","0,945","-0,028","0,096","1,009","0,046","0,067","0,985","-0,017","-0,020","0,953","0,001","0,004","1,007","-0,008","-0,001","0,996","-0,001","0,006","1,031"
5,"0,021","0,011","0,951","-0,017","0,088","1,026","0,054","0,077","0,990","-0,013","-0,010","0,949","-0,016","0,023","1,019","-0,009","-0,001","0,998","-0,004","0,015","1,047"
6,"0,004","0,018","0,949","-0,011","0,090","1,054","0,063","0,086","0,989","-0,003","-0,007","0,954","-0,011","0,031","1,018","-0,008","0,007","1,008","-0,008","0,029","1,062"
7,"-0,022","0,021","0,967","0,011","0,089","1,054","0,038","0,076","1,005","-0,018","0,000","0,969","-0,008","0,029","1,025","-0,004","0,014","1,016","-0,004","0,032","1,070"
8,"-0,027","0,006","0,960","0,026","0,076","1,028","-0,036","0,038","1,044","-0,002","0,007","0,964","0,002","0,044","1,043","0,003","0,020","1,032","0,002","0,023","1,085"
9,"-0,028","0,014","0,966","0,031","0,060","1,037","-0,041","0,019","1,063","0,008","0,006","0,964","-0,005","0,036","1,050","0,008","0,024","1,040","-0,008","0,022","1,090"
10,"-0,007","0,014","0,950","0,007","0,044","1,055","0,004","0,003","1,068","0,001","-0,002","0,967","-0,007","0,014","1,048","0,010","0,044","1,045","-0,008","0,011","1,084"
11,"-0,007","0,014","0,955","-0,018","0,010","1,073","0,030","-0,022","1,064","0,003","-0,001","0,962","0,009","0,024","1,051","0,007","0,041","1,053","0,002","0,012","1,065"
12,"0,007","0,021","0,950","-0,010","-0,006","1,068","0,042","-0,040","1,051","0,010","0,015","0,970","0,003","0,018","1,065","0,000","0,047","1,055","-0,001","0,004","1,065"
13,"0,019","0,014","0,945","0,013","-0,023","1,040","0,041","-0,062","1,046","0,018","0,010","0,967","0,010","0,023","1,064","-0,003","0,053","1,054","-0,006","0,012","1,082"
14,"0,021","0,012","0,943","0,036","-0,043","1,007","0,026","-0,067","1,035","0,020","0,007","0,967","-0,019","0,011","1,068","-0,006","0,048","1,044","-0,009","0,027","1,093"
15,"0,017","0,011","0,949","0,048","-0,058","0,985","0,008","-0,066","1,030","0,008","0,011","0,962","-0,015","0,019","1,052","-0,002","0,051","1,035","-0,007","0,022","1,093"
16,"0,017","0,010","0,946","0,035","-0,035","0,987","0,005","-0,063","1,028","0,003","0,010","0,958","-0,013","0,003","1,045","-0,001","0,047","1,026","-0,006","0,038","1,073"
17,"0,003","0,001","0,950","0,000","-0,036","1,024","-0,001","-0,056","1,027","0,000","0,003","0,969","-0,022","0,021","1,032","0,004","0,041","1,014","-0,008","0,032","1,046"
18,"0,000","-0,002","0,952","-0,007","-0,024","1,045","-0,002","-0,036","1,026","-0,007","0,006","0,954","-0,011","0,010","1,023","0,003","0,033","1,005","-0,022","0,018","1,031"
