Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z
0,"-0,005","0,000","0,942","-0,003","-0,016","1,005","-0,007","-0,002","1,002","0,003","0,000","0,961","0,003","0,006","1,026","0,007","-0,002","0,997","0,001","0,005","1,052"
1,"-0,003","0,000","0,945","0,004","-0,007","1,009","-0,005","-0,008","1,013","-0,003","-0,001","0,961","-0,004","-0,002","1,032","0,007","-0,008","1,003","-0,004","-0,004","1,055"
2,"0,004","0,002","0,946","0,009","-0,002","1,014","0,002","-0,006","1,007","0,000","-0,004","0,951","-0,006","-0,001","1,031","0,005","0,002","1,000","-0,004","-0,006","1,055"
3,"0,002","0,001","0,945","0,015","-0,011","1,007","0,008","-0,004","1,006","0,001","-0,001","0,959","-0,004","-0,015","1,032","-0,002","-0,006","1,007","-0,012","-0,011","1,051"
4,"-0,001","0,003","0,948","0,011","-0,004","1,010","0,008","-0,004","1,001","0,002","-0,001","0,955","-0,004","-0,017","1,030","-0,005","0,003","1,008","-0,014","-0,019","1,049"
5,"-0,001","0,000","0,938","0,003","0,004","1,016","-0,003","0,004","1,003","-0,001","-0,004","0,954","-0,003","-0,020","1,030","-0,008","0,000","1,008","0,000","-0,010","1,044"
6,"-0,016","0,002","0,945","0,006","0,007","1,022","-0,005","-0,005","1,008","0,001","-0,002","0,956","0,002","-0,008","1,035","-0,011","0,001","1,005","0,010","0,001","1,046"
7,"-0,006","0,001","0,944","0,006","0,015","1,008","-0,001","0,006","1,005","-0,006","-0,003","0,956","0,005","-0,006","1,026","-0,013","0,003","1,006","0,015","0,000","1,046"
8,"-0,003","0,001","0,941","-0,005","-0,001","1,011","0,001","-0,004","1,006","0,000","-0,001","0,952","0,000","-0,005","1,028","-0,007","0,002","1,008","0,013","-0,005","1,050"
9,"0,004","0,004","0,942","0,005","-0,016","1,015","0,003","-0,008","1,002","0,000","0,001","0,956","-0,001","-0,004","1,033","-0,004","0,001","1,006","0,012","-0,013","1,050"
10,"0,000","0,003","0,940","0,007","-0,014","1,011","0,004","-0,004","1,004","-0,003","-0,005","0,952","-0,003","0,002","1,025","0,001","-0,001","1,011","0,004","-0,010","1,054"
11,"-0,004","0,001","0,943","0,007","-0,023","1,011","-0,002","-0,006","1,007","-0,003","0,000","0,957","-0,003","0,003","1,029","0,008","-0,003","1,007","0,005","-0,008","1,053"
