Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z
0,"0,003","-0,002","0,942","0,001","-0,002","1,012","-0,006","0,002","1,007","-0,006","0,001","0,952","0,000","0,008","1,017","0,000","-0,007","1,003","0,000","0,000","1,046"
1,"0,000","0,000","0,947","-0,012","0,004","1,011","-0,002","0,004","1,002","-0,001","0,002","0,957","-0,002","-0,002","1,021","-0,005","-0,004","1,001","0,001","0,008","1,046"
2,"0,000","0,001","0,938","-0,012","0,002","1,018","-0,003","0,004","1,002","0,000","-0,005","0,953","-0,007","0,002","1,027","-0,002","-0,013","1,001","0,000","0,011","1,049"
3,"-0,001","0,001","0,950","-0,010","0,017","1,017","0,001","0,004","1,007","-0,005","0,001","0,955","-0,003","0,006","1,025","0,002","-0,007","1,004","0,001","0,007","1,053"
4,"0,002","-0,002","0,940","-0,004","0,010","1,019","0,004","0,010","1,000","-0,003","0,000","0,959","0,002","0,003","1,027","0,002","-0,010","1,003","0,006","0,014","1,057"
5,"-0,006","0,001","0,951","0,000","0,012","1,018","0,006","0,014","0,997","0,000","-0,004","0,956","0,001","-0,006","1,030","0,003","-0,007","1,009","0,002","0,016","1,054"
6,"-0,001","0,002","0,948","0,006","0,013","1,011","-0,002","0,015","0,996","-0,002","-0,001","0,955","-0,003","0,000","1,024","0,006","-0,011","1,009","-0,003","0,009","1,050"
7,"-0,004","-0,001","0,946","0,005","0,004","1,014","-0,012","0,003","0,998","-0,006","-0,002","0,952","-0,009","0,002","1,019","0,006","-0,009","1,007","-0,005","0,008","1,040"
8,"-0,001","-0,001","0,945","-0,005","0,000","1,017","0,004","0,016","1,002","-0,001","0,009","0,952","-0,006","0,005","1,027","0,007","-0,006","1,007","0,001","0,010","1,049"
9,"0,001","0,003","0,942","-0,006","-0,006","1,014","0,000","0,005","1,004","-0,002","0,000","0,957","-0,001","0,003","1,027","0,005","-0,005","1,002","0,010","0,006","1,052"
10,"-0,001","-0,001","0,941","-0,005","-0,003","1,017","0,001","0,000","0,995","-0,005","-0,003","0,955","-0,001","0,005","1,026","0,005","-0,007","1,007","0,005","-0,005","1,054"
11,"0,003","0,002","0,948","-0,008","-0,014","1,014","-0,001","0,001","1,004","-0,002","0,003","0,960","-0,004","-0,001","1,028","0,004","-0,004","1,006","-0,006","-0,003","1,047"
12,"-0,002","0,002","0,942","-0,012","-0,004","1,009","-0,006","-0,015","1,007","-0,001","-0,001","0,955","0,002","-0,004","1,024","0,001","-0,011","1,006","-0,007","0,003","1,043"
13,"0,006","-0,001","0,949","-0,007","-0,016","1,019","-0,007","-0,006","1,007","-0,005","0,004","0,963","0,000","-0,004","1,029","0,000","-0,005","1,004","0,006","-0,005","1,055"
14,"-0,003","0,002","0,946","-0,008","-0,005","1,015","0,000","-0,007","1,005","-0,002","0,000","0,958","0,000","0,001","1,028","0,003","0,000","1,006","0,012","-0,008","1,059"
15,"0,003","-0,003","0,945","0,001","-0,007","1,009","-0,001","0,001","1,003","-0,004","-0,005","0,963","-0,004","-0,009","1,028","0,002","-0,002","1,007","0,004","-0,002","1,057"
16,"-0,005","0,004","0,947","-0,003","0,002","1,014","0,000","-0,003","1,003","-0,005","-0,004","0,956","-0,008","0,002","1,020","0,003","-0,006","1,011","-0,004","0,005","1,050"
17,"-0,001","0,001","0,943","-0,005","0,006","1,016","-0,001","0,008","1,006","-0,007","0,001","0,959","-0,005","-0,001","1,027","0,005","-0,002","1,010","-0,007","0,009","1,048"
18,"-0,005","0,000","0,948","-0,008","0,017","1,006","-0,003","0,005","1,003","-0,005","0,002","0,956","0,000","0,008","1,019","0,003","-0,009","1,010","-0,005","0,008","1,044"
19,"-0,002","0,003","0,945","-0,005","0,010","1,010","-0,005","0,009","1,000","-0,002","0,003","0,953","-0,004","0,004","1,023","0,001","-0,007","1,014","-0,005","0,010","1,051"
20,"0,001","0,002","0,946","-0,004","-0,011","1,027","-0,001","0,005","0,998","-0,001","-0,002","0,958","0,004","0,000","1,029","0,007","-0,007","1,010","-0,008","0,012","1,052"
21,"-0,006","0,001","0,942","-0,010","-0,011","1,028","0,007","0,007","1,006","-0,003","-0,003","0,954","-0,001","0,000","1,026","0,004","-0,004","1,004","-0,003","0,017","1,051"
22,"-0,002","0,000","0,943","-0,011","-0,003","1,017","-0,004","0,009","1,003","0,005","0,000","0,958","-0,004","0,005","1,024","0,003","-0,006","1,003","0,006","0,014","1,049"
23,"0,000","0,002","0,946","-0,003","0,002","1,008","-0,004","-0,005","1,005","-0,003","-0,004","0,954","-0,001","-0,005","1,024","0,002","0,000","0,999","0,008","0,002","1,047"
24,"-0,001","0,003","0,946","0,002","-0,008","1,012","-0,007","-0,002","1,008","-0,003","-0,002","0,953","0,000","0,001","1,025","0,006","-0,004","0,999","0,009","-0,003","1,049"
25,"0,000","0,002","0,944","-0,006","-0,008","1,014","-0,001","-0,001","1,005","-0,005","-0,004","0,949","0,003","-0,009","1,022","0,005","0,006","1,006","0,010","-0,009","1,051"
