Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
0.0,0.0,-21.59,82.06,19.0,23.59,97.45,26.0
1.0,3.95,-22.18,81.41,19.0,23.78,97.17,25.0
2.0,7.9,-21.74,81.65,20.0,23.86,97.45,26.0
3.0,11.86,-21.9,81.65,20.0,23.72,97.42,26.0
4.0,15.81,-21.86,81.6,20.0,23.67,97.56,26.0
5.0,19.76,-21.88,81.56,20.0,23.69,97.61,26.0
6.0,23.71,-21.92,81.67,20.0,23.66,97.73,26.0
7.0,27.66,-21.8,81.39,20.0,23.67,97.89,26.0
8.0,31.62,-21.89,81.25,20.0,23.65,97.37,26.0
9.0,35.57,-21.88,81.39,20.0,23.6,97.85,26.0
10.0,39.52,-21.85,81.59,20.0,23.65,97.56,26.0
11.0,43.47,-21.83,81.54,20.0,23.64,97.77,26.0
12.0,47.42,-21.9,81.55,20.0,23.65,97.61,26.0
13.0,51.37,-21.72,81.61,20.0,23.69,97.72,26.0
14.0,55.33,-21.76,81.59,20.0,23.68,97.64,26.0
15.0,59.28,-21.77,81.59,20.0,23.71,97.48,26.0
16.0,63.23,-21.91,81.48,20.0,23.64,97.64,26.0
17.0,67.18,-21.93,81.64,20.0,23.72,97.25,26.0
18.0,71.13,-21.9,81.44,20.0,23.71,97.44,26.0
19.0,75.09,-21.85,81.5,20.0,23.66,97.56,26.0
20.0,79.04,-22.02,81.36,20.0,23.7,97.47,26.0
21.0,82.99,-22.01,81.19,20.0,23.79,97.27,26.0
22.0,86.94,-21.66,82.16,20.0,23.79,97.26,26.0
23.0,90.89,-21.9,81.33,20.0,23.77,97.31,26.0
24.0,94.85,-21.86,81.32,20.0,23.74,97.64,26.0
25.0,98.8,-21.85,81.27,20.0,23.72,97.22,26.0
26.0,102.75,-21.74,81.65,20.0,23.76,97.34,26.0
27.0,106.7,-21.85,81.31,20.0,23.57,97.3,26.0
28.0,110.65,-21.76,81.36,20.0,23.72,97.15,26.0
29.0,114.61,-21.81,81.34,20.0,23.79,96.95,26.0
30.0,118.56,-21.82,81.44,20.0,23.8,96.84,26.0
31.0,122.51,-21.85,81.42,20.0,23.79,97.28,26.0
32.0,126.46,-21.89,81.41,20.0,23.84,96.98,26.0
33.0,130.41,-21.82,81.55,20.0,23.81,97.09,26.0
34.0,134.36,-21.94,81.3,20.0,23.78,96.8,26.0
35.0,138.32,-21.91,81.36,20.0,23.7,97.16,26.0
36.0,142.27,-21.94,81.4,20.0,23.79,97.15,26.0
37.0,146.22,-21.88,81.38,20.0,23.72,97.23,26.0
38.0,150.17,-21.85,81.46,20.0,23.64,97.52,26.0
39.0,154.12,-21.8,81.55,20.0,23.73,97.34,26.0
40.0,158.08,-21.9,81.57,20.0,23.68,97.3,26.0
41.0,162.03,-21.87,81.58,20.0,23.68,97.12,26.0
42.0,165.98,-21.98,81.34,20.0,23.84,96.92,26.0
43.0,169.93,-21.91,81.33,20.0,23.81,96.8,26.0
44.0,173.88,-21.91,81.03,20.0,23.75,97.04,26.0
45.0,177.84,-21.94,81.02,20.0,23.65,96.96,26.0
46.0,181.79,-21.95,81.06,20.0,23.76,96.66,26.0
47.0,185.74,-22.08,80.72,20.0,23.8,96.68,26.0
48.0,189.69,-22.05,80.7,20.0,23.84,96.55,25.0
49.0,193.64,-22.12,80.46,20.0,23.84,96.37,25.0
50.0,197.6,-22.06,80.65,20.0,24.05,95.74,25.0
51.0,201.55,-22.15,80.5,20.0,24.11,95.84,25.0
52.0,205.5,-22.03,80.45,20.0,24.07,95.51,25.0
