Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
0.0,0.0,-26.07,89.66,26.0,24.36,80.41,31.0
1.0,3.95,-26.41,89.72,26.0,24.97,80.94,30.0
2.0,7.9,-26.05,89.62,26.0,24.54,80.54,30.0
3.0,11.86,-25.99,89.71,26.0,24.61,80.68,30.0
4.0,15.81,-25.98,89.88,26.0,24.65,80.72,30.0
5.0,19.76,-26.02,89.83,26.0,24.63,80.68,30.0
6.0,23.71,-25.91,89.7,26.0,24.56,80.66,30.0
7.0,27.66,-25.91,89.73,26.0,24.64,80.85,30.0
8.0,31.62,-26.01,89.89,26.0,24.63,80.79,30.0
9.0,35.57,-25.86,90.14,25.0,24.73,80.94,30.0
10.0,39.52,-25.81,90.12,26.0,24.75,81.06,30.0
11.0,43.47,-25.86,90.04,26.0,24.7,80.88,30.0
12.0,47.42,-25.81,90.25,26.0,24.77,81.11,30.0
13.0,51.37,-25.87,90.32,26.0,24.88,81.17,30.0
14.0,55.33,-25.96,90.16,25.0,24.74,81.09,30.0
15.0,59.28,-25.92,90.21,26.0,24.78,81.13,30.0
16.0,63.23,-25.85,90.35,26.0,24.7,81.02,30.0
17.0,67.18,-25.89,90.18,26.0,24.87,81.23,29.0
18.0,71.13,-25.79,90.18,26.0,24.84,81.19,29.0
19.0,75.09,-25.73,90.28,26.0,24.85,81.19,29.0
20.0,79.04,-25.6,90.05,26.0,24.86,81.16,29.0
21.0,82.99,-25.75,90.29,25.0,24.88,81.2,29.0
22.0,86.94,-25.72,90.31,26.0,25.06,81.3,29.0
23.0,90.89,-25.79,90.33,25.0,25.08,81.32,29.0
24.0,94.85,-25.73,90.29,25.0,25.02,81.23,29.0
25.0,98.8,-25.72,90.31,25.0,25.09,81.31,28.0
26.0,102.75,-25.78,90.52,25.0,25.11,81.26,28.0
27.0,106.7,-25.88,90.18,24.0,25.14,81.35,28.0
28.0,110.65,-25.81,90.16,24.0,25.28,81.17,28.0
29.0,114.61,-25.93,90.26,24.0,25.34,81.17,28.0
30.0,118.56,-25.69,90.56,24.0,25.41,81.18,28.0
31.0,122.51,-25.82,90.3,24.0,25.37,81.34,28.0
32.0,126.46,-25.54,90.49,24.0,25.47,81.21,28.0
33.0,130.41,-25.67,90.55,24.0,25.39,81.21,27.0
34.0,134.36,-25.63,90.6,24.0,25.39,81.26,26.0
35.0,138.32,-25.72,90.74,24.0,25.37,81.23,26.0
36.0,142.27,-25.83,90.89,24.0,25.38,81.2,26.0
37.0,146.22,-25.95,90.98,24.0,25.34,81.18,26.0
38.0,150.17,-26.02,91.01,24.0,25.43,81.21,26.0
39.0,154.12,-25.81,91.3,24.0,25.28,81.1,26.0
40.0,158.08,-25.96,91.46,23.0,25.33,81.17,26.0
41.0,162.03,-25.83,91.44,23.0,25.34,81.14,25.0
42.0,165.98,-25.92,91.62,23.0,25.34,81.01,25.0
43.0,169.93,-25.9,91.83,23.0,25.41,81.25,25.0
44.0,173.88,-25.99,91.86,23.0,25.35,81.11,25.0
45.0,177.84,-26.05,92.12,23.0,25.26,81.11,25.0
46.0,181.79,-25.98,91.97,23.0,25.2,81.07,25.0
47.0,185.74,-26.22,92.27,23.0,25.37,81.2,25.0
48.0,189.69,-26.28,92.31,23.0,25.29,81.16,24.0
49.0,193.64,-26.23,92.28,22.0,25.46,81.28,24.0
50.0,197.6,-26.39,92.03,22.0,25.47,81.24,24.0
51.0,201.55,-26.46,92.1,22.0,25.36,81.15,24.0
52.0,205.5,-26.6,92.21,22.0,25.3,81.06,24.0
53.0,209.45,-26.67,92.26,22.0,25.39,81.07,24.0
54.0,213.4,-26.85,92.29,22.0,25.49,81.06,24.0
55.0,217.35,-26.96,92.29,21.0,25.62,81.19,24.0
56.0,221.31,-26.85,92.35,21.0,25.57,81.07,24.0
57.0,225.26,-26.94,92.36,21.0,25.86,81.39,24.0
58.0,229.21,-26.96,92.34,21.0,26.04,81.52,24.0
59.0,233.16,-27.19,92.41,21.0,26.06,81.33,24.0
60.0,237.11,-27.25,92.43,21.0,26.09,81.41,24.0
61.0,241.07,-27.4,92.44,21.0,26.2,81.36,23.0
62.0,245.02,-27.54,92.61,21.0,26.22,81.43,23.0
63.0,248.97,-27.64,92.6,21.0,26.32,81.46,22.0
64.0,252.92,-27.74,92.75,21.0,26.52,81.68,22.0
65.0,256.87,-27.81,92.98,21.0,26.58,81.82,22.0
66.0,260.83,-27.77,92.9,20.0,26.75,82.03,22.0
67.0,264.78,-27.91,93.07,20.0,26.85,82.16,22.0
68.0,268.73,-28.03,93.19,21.0,26.87,82.12,22.0
69.0,272.68,-28.01,93.18,21.0,26.89,82.1,22.0
70.0,276.63,-28.07,93.13,20.0,26.98,82.23,22.0
71.0,280.59,-27.95,93.26,20.0,27.02,82.31,22.0
72.0,284.54,-28.04,93.31,20.0,27.01,82.22,22.0
73.0,288.49,-27.99,93.3,20.0,26.9,82.26,22.0
74.0,292.44,-28.02,93.45,20.0,27.01,82.31,22.0
75.0,296.39,-28.2,93.53,20.0,27.1,82.53,22.0
76.0,300.34,-28.06,93.48,20.0,26.83,82.15,22.0
77.0,304.3,-28.07,93.55,20.0,26.82,82.33,22.0
78.0,308.25,-27.9,93.95,19.0,26.98,82.36,22.0
79.0,312.2,-27.97,93.85,19.0,26.89,82.36,21.0
80.0,316.15,-28.04,93.81,19.0,26.74,82.25,22.0
81.0,320.1,-28.02,94.15,19.0,26.77,82.41,22.0
82.0,324.06,-28.1,94.16,19.0,26.77,82.4,22.0
83.0,328.01,-28.05,94.15,19.0,26.94,82.6,22.0
84.0,331.96,-28.13,94.45,19.0,26.98,82.72,22.0
85.0,335.91,-28.15,94.37,19.0,26.92,82.65,22.0
86.0,339.86,-28.17,94.59,19.0,26.96,82.73,22.0
87.0,343.82,-28.37,95.07,20.0,26.75,82.56,22.0
88.0,347.77,-28.47,95.15,20.0,26.83,82.71,22.0
89.0,351.72,-28.39,95.35,19.0,26.75,82.55,21.0
90.0,355.67,-28.28,95.51,19.0,26.75,82.65,21.0
91.0,359.62,-28.3,95.98,19.0,26.88,82.99,21.0
92.0,363.58,-28.06,96.55,19.0,26.99,83.03,21.0
93.0,367.53,-28.01,96.99,19.0,27.03,83.14,21.0
94.0,371.48,-27.99,97.26,19.0,26.87,83.05,21.0
95.0,375.43,-27.81,97.57,19.0,26.89,83.15,21.0
96.0,379.38,-27.78,97.87,19.0,27.23,83.54,21.0
97.0,383.33,-27.71,98.02,19.0,27.25,83.57,21.0
98.0,387.29,-27.71,98.05,19.0,27.11,83.61,21.0
99.0,391.24,-27.6,98.71,19.0,27.1,83.62,21.0
100.0,395.19,-27.28,99.17,19.0,27.11,83.69,21.0
101.0,399.14,-27.06,99.67,18.0,27.12,83.82,21.0
102.0,403.09,-26.97,100.04,18.0,27.18,83.97,20.0
103.0,407.05,-26.96,100.27,18.0,27.31,84.11,20.0
104.0,411.0,-26.86,100.32,19.0,27.22,84.03,20.0
105.0,414.95,-26.83,100.82,19.0,27.12,84.08,20.0
106.0,418.9,-26.79,101.16,19.0,27.05,84.07,20.0
107.0,422.85,-26.64,101.05,19.0,27.09,84.14,20.0
108.0,426.81,-26.72,101.46,19.0,27.1,84.16,19.0
109.0,430.76,-26.62,101.88,19.0,27.18,84.22,19.0
110.0,434.71,-26.52,102.0,19.0,27.13,84.36,19.0
111.0,438.66,-26.43,102.6,19.0,27.2,84.5,19.0
112.0,442.61,-26.26,102.79,18.0,27.04,84.49,19.0
113.0,446.57,-26.44,102.69,18.0,27.01,84.47,19.0
114.0,450.52,-26.74,103.11,18.0,27.02,84.58,19.0
115.0,454.47,-26.56,103.36,18.0,27.17,84.72,19.0
116.0,458.42,-26.74,104.14,18.0,27.13,84.75,19.0
117.0,462.37,-26.71,104.25,18.0,27.19,84.83,19.0
118.0,466.32,-26.59,104.6,18.0,27.17,84.89,19.0
119.0,470.28,-26.46,105.53,17.0,27.2,85.31,18.0
120.0,474.23,-26.49,106.22,17.0,27.29,85.56,18.0
121.0,478.18,-26.78,106.35,17.0,27.3,85.73,19.0
122.0,482.13,-26.67,106.61,17.0,27.35,85.73,19.0
123.0,486.08,-26.61,107.09,17.0,27.37,85.85,18.0
124.0,490.04,-26.43,107.36,17.0,27.59,86.35,18.0
125.0,493.99,-26.46,107.91,17.0,27.49,86.37,18.0
126.0,497.94,-26.14,108.93,16.0,27.54,86.7,17.0
127.0,501.89,-26.06,109.7,16.0,27.65,86.99,17.0
128.0,505.84,-25.82,110.34,16.0,27.79,87.3,17.0
129.0,509.8,-25.71,111.08,16.0,27.8,87.36,17.0
130.0,513.75,-25.76,111.58,16.0,27.84,87.64,17.0
131.0,517.7,-25.53,112.67,16.0,28.05,88.25,17.0
132.0,521.65,-25.32,113.15,16.0,28.07,88.75,17.0
133.0,525.6,-25.13,113.89,16.0,28.34,89.34,16.0
134.0,529.56,-25.13,114.19,16.0,28.23,91.21,16.0
135.0,533.51,-24.73,115.17,16.0,28.22,91.82,16.0
136.0,537.46,-24.7,115.34,16.0,28.27,92.85,16.0
137.0,541.41,-24.55,116.19,16.0,28.13,93.39,15.0
138.0,545.36,-24.34,116.69,16.0,28.2,94.09,15.0
139.0,549.31,-24.09,117.42,16.0,28.19,94.41,16.0
140.0,553.27,-23.99,117.88,16.0,28.08,95.53,15.0
141.0,557.22,-23.9,117.96,16.0,28.36,96.33,16.0
142.0,561.17,-23.63,119.1,16.0,28.38,96.56,16.0
143.0,565.12,-23.4,119.77,16.0,27.98,97.95,15.0
144.0,569.07,-23.17,120.38,16.0,27.73,98.75,15.0
145.0,573.03,-23.07,120.52,15.0,27.55,99.61,15.0
146.0,576.98,-22.83,121.25,15.0,27.67,99.76,15.0
147.0,580.93,-22.67,121.7,15.0,27.46,100.71,15.0
148.0,584.88,-22.19,122.74,15.0,27.09,101.93,15.0
149.0,588.83,-22.04,123.17,15.0,26.93,102.54,15.0
150.0,592.79,-21.55,124.53,15.0,26.51,103.99,15.0
151.0,596.74,-21.25,125.33,15.0,26.35,104.61,15.0
152.0,600.69,-21.0,126.29,16.0,26.03,106.57,15.0
153.0,604.64,-20.7,127.07,16.0,25.42,108.09,15.0
154.0,608.59,-20.38,127.73,16.0,24.81,109.94,16.0
155.0,612.55,-20.08,128.44,16.0,24.53,111.41,16.0
156.0,616.5,-19.89,128.93,16.0,23.89,113.24,17.0
157.0,620.45,-19.3,130.54,16.0,23.45,114.68,18.0
158.0,624.4,-19.15,131.03,17.0,23.11,115.75,18.0
159.0,628.35,-18.9,131.59,17.0,22.33,118.26,18.0
160.0,632.3,-18.57,132.56,18.0,21.9,119.7,18.0
161.0,636.26,-17.88,134.37,18.0,21.42,121.35,18.0
162.0,640.21,-17.63,134.96,18.0,20.98,122.63,18.0
163.0,644.16,-17.13,136.36,18.0,20.74,123.62,18.0
164.0,648.11,-16.85,137.08,18.0,20.17,125.24,19.0
165.0,652.06,-16.59,137.79,19.0,19.71,126.98,20.0
166.0,656.02,-16.1,139.27,19.0,19.22,128.45,21.0
167.0,659.97,-15.56,140.99,19.0,18.58,130.53,22.0
