Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
0.0,0.0,-4.63,89.95,427.0,-5.27,94.25,486.0
1.0,3.95,-4.57,90.06,427.0,-5.2,94.32,486.0
2.0,7.9,-4.53,90.35,428.0,-5.15,94.53,487.0
3.0,11.86,-4.48,90.64,430.0,-5.12,94.56,488.0
4.0,15.81,-4.4,90.96,430.0,-5.08,94.81,489.0
5.0,19.76,-4.33,91.26,430.0,-5.0,95.16,487.0
6.0,23.71,-4.27,91.53,430.0,-4.96,95.33,486.0
7.0,27.66,-4.21,92.0,431.0,-4.93,95.54,485.0
8.0,31.62,-4.13,92.35,431.0,-4.88,95.78,482.0
9.0,35.57,-4.07,92.65,432.0,-4.86,95.89,482.0
10.0,39.52,-4.03,92.97,434.0,-4.8,95.99,482.0
11.0,43.47,-3.97,93.26,434.0,-4.79,96.26,482.0
12.0,47.42,-3.91,93.59,434.0,-4.75,96.4,482.0
13.0,51.37,-3.87,93.82,435.0,-4.71,96.58,482.0
14.0,55.33,-3.84,94.09,435.0,-4.68,96.67,483.0
15.0,59.28,-3.78,94.38,437.0,-4.66,96.83,481.0
16.0,63.23,-3.74,94.65,437.0,-4.63,96.9,479.0
17.0,67.18,-3.71,94.96,436.0,-4.61,97.03,478.0
18.0,71.13,-3.68,95.07,436.0,-4.58,97.15,478.0
19.0,75.09,-3.62,95.24,436.0,-4.55,97.34,476.0
20.0,79.04,-3.6,95.47,437.0,-4.54,97.39,474.0
21.0,82.99,-3.57,95.64,438.0,-4.48,97.42,472.0
22.0,86.94,-3.54,95.75,438.0,-4.46,97.63,468.0
23.0,90.89,-3.52,95.96,438.0,-4.4,97.68,464.0
24.0,94.85,-3.5,96.12,437.0,-4.38,97.78,462.0
25.0,98.8,-3.48,96.19,438.0,-4.33,97.95,460.0
26.0,102.75,-3.44,96.4,439.0,-4.33,97.96,456.0
27.0,106.7,-3.44,96.46,439.0,-4.28,98.07,453.0
28.0,110.65,-3.42,96.69,439.0,-4.28,98.24,451.0
29.0,114.61,-3.36,96.81,439.0,-4.25,98.26,447.0
30.0,118.56,-3.37,96.87,439.0,-4.21,98.31,444.0
31.0,122.51,-3.35,96.95,437.0,-4.19,98.43,441.0
32.0,126.46,-3.34,97.17,438.0,-4.17,98.47,438.0
33.0,130.41,-3.32,97.2,438.0,-4.15,98.5,435.0
34.0,134.36,-3.34,97.24,439.0,-4.11,98.53,433.0
35.0,138.32,-3.3,97.31,439.0,-4.09,98.54,429.0
36.0,142.27,-3.31,97.38,439.0,-4.04,98.58,426.0
37.0,146.22,-3.32,97.38,440.0,-3.99,98.67,423.0
38.0,150.17,-3.33,97.43,441.0,-3.95,98.68,421.0
39.0,154.12,-3.34,97.33,442.0,-3.94,98.6,420.0
40.0,158.08,-3.33,97.43,442.0,-3.88,98.66,418.0
41.0,162.03,-3.34,97.41,443.0,-3.87,98.63,416.0
42.0,165.98,-3.3,97.51,443.0,-3.87,98.55,415.0
43.0,169.93,-3.32,97.49,444.0,-3.85,98.52,414.0
44.0,173.88,-3.32,97.58,445.0,-3.8,98.61,412.0
45.0,177.84,-3.33,97.52,445.0,-3.82,98.48,408.0
46.0,181.79,-3.32,97.53,446.0,-3.81,98.41,405.0
47.0,185.74,-3.34,97.54,446.0,-3.8,98.43,403.0
48.0,189.69,-3.34,97.56,446.0,-3.74,98.53,403.0
49.0,193.64,-3.35,97.49,447.0,-3.76,98.41,402.0
50.0,197.6,-3.37,97.46,447.0,-3.74,98.4,401.0
51.0,201.55,-3.36,97.44,448.0,-3.73,98.38,400.0
52.0,205.5,-3.35,97.47,448.0,-3.74,98.22,398.0
53.0,209.45,-3.34,97.47,449.0,-3.76,98.08,398.0
54.0,213.4,-3.33,97.41,450.0,-3.77,98.0,397.0
55.0,217.35,-3.33,97.48,450.0,-3.78,97.87,395.0
56.0,221.31,-3.3,97.39,451.0,-3.76,97.7,393.0
57.0,225.26,-3.3,97.34,452.0,-3.77,97.57,392.0
58.0,229.21,-3.3,97.31,452.0,-3.81,97.44,392.0
