Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
0.0,0.0,-15.57,69.15,25.0,25.09,69.22,12.0
1.0,3.95,-15.32,69.18,24.0,25.22,69.28,12.0
2.0,7.9,-15.25,69.0,24.0,25.15,69.21,12.0
3.0,11.86,-15.3,69.03,24.0,25.19,69.06,12.0
4.0,15.81,-15.52,69.08,25.0,25.08,69.17,12.0
5.0,19.76,-15.54,69.07,25.0,25.34,69.13,12.0
6.0,23.71,-15.58,69.13,25.0,25.35,69.06,12.0
7.0,27.66,-15.59,69.1,24.0,25.17,69.08,12.0
8.0,31.62,-15.65,69.08,24.0,25.46,69.13,12.0
9.0,35.57,-15.58,69.04,24.0,25.43,69.13,12.0
10.0,39.52,-15.62,69.08,24.0,25.53,69.07,12.0
11.0,43.47,-15.55,69.05,24.0,25.49,68.95,12.0
12.0,47.42,-15.68,69.09,23.0,25.56,68.87,11.0
13.0,51.37,-15.62,69.02,23.0,25.64,68.91,11.0
14.0,55.33,-15.56,68.92,22.0,25.7,68.87,11.0
15.0,59.28,-15.6,68.89,22.0,25.84,68.91,11.0
16.0,63.23,-15.93,68.91,22.0,25.86,68.8,11.0
17.0,67.18,-16.02,68.86,21.0,26.06,68.76,11.0
18.0,71.13,-16.0,68.79,21.0,26.06,68.72,11.0
19.0,75.09,-16.1,68.83,20.0,26.17,68.7,10.0
20.0,79.04,-16.21,68.82,20.0,26.47,68.64,9.0
21.0,82.99,-16.27,68.74,20.0,26.6,68.57,9.0
22.0,86.94,-16.31,68.7,20.0,26.68,68.61,9.0
23.0,90.89,-16.37,68.7,20.0,26.75,68.69,9.0
24.0,94.85,-16.52,68.68,19.0,26.74,68.61,9.0
25.0,98.8,-16.56,68.65,19.0,27.01,68.38,9.0
26.0,102.75,-16.59,68.62,19.0,27.01,68.32,7.0
27.0,106.7,-16.64,68.53,19.0,27.06,68.34,7.0
28.0,110.65,-16.56,68.39,19.0,26.88,68.33,7.0
