Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
0.0,0.0,-30.11,88.67,3.0,24.33,65.31,0.0
1.0,3.95,-29.53,88.93,3.0,23.32,65.22,0.0
2.0,7.9,-29.17,89.36,3.0,19.79,64.9,0.0
3.0,11.86,-28.91,90.07,3.0,17.79,66.26,0.0
4.0,15.81,-28.9,90.47,4.0,14.91,67.26,0.0
5.0,19.76,-28.76,91.04,5.0,14.29,67.92,0.0
6.0,23.71,-21.34,109.33,7.0,14.05,69.24,1.0
7.0,27.66,-9.43,137.07,13.0,14.97,71.26,1.0
8.0,31.62,0.25,161.34,21.0,14.24,71.17,2.0
9.0,35.57,6.23,176.36,31.0,14.37,72.96,2.0
10.0,39.52,8.9,183.25,38.0,14.88,74.68,2.0
11.0,43.47,10.28,187.43,42.0,14.06,75.82,3.0
12.0,47.42,10.7,188.98,44.0,15.51,76.81,4.0
13.0,51.37,11.04,190.31,43.0,15.12,81.31,5.0
14.0,55.33,11.3,191.33,42.0,14.55,86.7,9.0
15.0,59.28,11.58,192.27,40.0,7.83,121.86,21.0
16.0,63.23,12.13,193.7,40.0,1.64,150.6,46.0
17.0,67.18,12.54,194.77,41.0,-1.79,169.52,75.0
18.0,71.13,12.65,195.0,45.0,-3.08,176.2,105.0
19.0,75.09,12.82,195.15,58.0,-3.56,178.99,128.0
20.0,79.04,12.74,195.03,79.0,-3.73,179.8,139.0
21.0,82.99,12.54,194.32,109.0,-4.06,180.38,143.0
22.0,86.94,12.33,193.5,139.0,-4.22,180.57,147.0
23.0,90.89,12.16,192.46,161.0,-4.34,181.08,154.0
24.0,94.85,11.98,191.11,184.0,-4.3,181.55,164.0
25.0,98.8,11.99,190.37,202.0,-4.28,181.87,175.0
26.0,102.75,11.98,189.77,226.0,-4.11,181.6,184.0
27.0,106.7,11.9,189.1,249.0,-4.03,181.08,198.0
28.0,110.65,11.89,188.7,271.0,-3.91,180.44,214.0
29.0,114.61,11.94,188.64,295.0,-3.86,179.76,231.0
30.0,118.56,11.98,188.67,319.0,-3.95,179.73,250.0
31.0,122.51,11.99,188.59,345.0,-4.14,179.85,270.0
