Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
0.0,0.0,25.92,59.73,4.0,15.73,175.49,15.0
1.0,3.95,25.79,59.57,4.0,15.85,175.55,15.0
2.0,7.9,25.74,59.53,4.0,15.85,175.55,14.0
3.0,11.86,25.66,59.38,4.0,15.92,175.64,14.0
4.0,15.81,25.76,59.48,3.0,15.95,175.85,14.0
5.0,19.76,25.46,59.07,3.0,16.2,175.83,14.0
6.0,23.71,25.5,59.23,3.0,16.23,175.97,14.0
7.0,27.66,25.48,59.05,2.0,16.05,175.86,14.0
8.0,31.62,25.41,58.86,2.0,16.16,175.94,14.0
9.0,35.57,25.43,58.48,2.0,16.27,176.12,13.0
10.0,39.52,25.27,58.46,2.0,16.42,176.21,13.0
11.0,43.47,25.36,58.43,2.0,16.4,176.23,13.0
12.0,47.42,25.21,58.33,2.0,16.4,176.33,12.0
13.0,51.37,25.2,58.38,2.0,16.44,176.56,12.0
14.0,55.33,25.2,58.35,2.0,16.55,176.59,12.0
15.0,59.28,24.94,58.8,2.0,16.74,176.65,12.0
16.0,63.23,24.85,58.75,1.0,16.84,176.72,12.0
17.0,67.18,24.97,58.76,1.0,16.86,176.86,12.0
18.0,71.13,25.04,58.88,1.0,16.88,176.88,12.0
19.0,75.09,24.88,58.82,1.0,16.95,176.97,11.0
20.0,79.04,24.41,58.78,1.0,16.9,177.18,10.0
21.0,82.99,24.28,58.95,1.0,16.89,177.17,10.0
22.0,86.94,24.31,59.15,1.0,16.87,177.07,9.0
23.0,90.89,24.35,59.19,1.0,16.79,177.06,9.0
24.0,94.85,24.24,59.59,1.0,16.81,177.03,9.0
25.0,98.8,23.94,59.58,1.0,17.02,177.03,9.0
26.0,102.75,24.27,59.84,1.0,17.0,176.97,9.0
27.0,106.7,24.12,59.72,1.0,17.04,177.12,9.0
28.0,110.65,24.17,60.05,1.0,17.11,177.08,9.0
29.0,114.61,24.12,59.86,1.0,17.16,176.99,9.0
30.0,118.56,24.22,60.1,1.0,17.14,176.95,8.0
31.0,122.51,24.03,60.02,1.0,17.13,176.74,8.0
32.0,126.46,24.29,60.06,1.0,17.13,176.52,8.0
33.0,130.41,24.41,60.14,1.0,17.11,176.22,8.0
34.0,134.36,24.25,60.28,1.0,17.14,175.88,8.0
35.0,138.32,24.33,60.39,1.0,17.08,175.43,8.0
36.0,142.27,24.29,60.4,1.0,17.22,175.19,8.0
37.0,146.22,24.56,60.32,1.0,17.17,175.06,7.0
38.0,150.17,24.35,60.44,1.0,17.29,174.65,7.0
39.0,154.12,24.2,60.63,1.0,17.2,174.28,7.0
