Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
0.0,0.0,-24.45,128.09,20.0,23.35,145.5,20.0
1.0,3.95,-24.28,128.36,20.0,23.32,145.69,20.0
2.0,7.9,-24.43,128.11,19.0,23.37,145.6,20.0
3.0,11.86,-24.24,128.06,19.0,23.3,145.48,20.0
4.0,15.81,-24.26,128.32,19.0,23.29,145.51,20.0
5.0,19.76,-24.3,128.16,19.0,23.36,145.48,20.0
6.0,23.71,-24.32,128.05,19.0,23.39,145.43,20.0
7.0,27.66,-24.31,127.91,19.0,23.31,145.4,20.0
8.0,31.62,-24.66,127.7,19.0,23.38,145.66,20.0
9.0,35.57,-24.53,127.72,19.0,23.37,145.48,20.0
10.0,39.52,-24.4,128.36,19.0,23.38,145.6,20.0
11.0,43.47,-24.49,128.02,20.0,23.4,145.58,20.0
12.0,47.42,-24.47,127.89,19.0,23.36,145.58,20.0
13.0,51.37,-24.38,128.16,19.0,23.35,145.44,20.0
14.0,55.33,-24.46,127.81,19.0,23.36,145.46,20.0
15.0,59.28,-24.31,128.02,19.0,23.37,145.56,20.0
16.0,63.23,-24.31,128.29,20.0,23.38,145.67,20.0
17.0,67.18,-24.54,127.49,20.0,23.33,145.39,20.0
18.0,71.13,-24.4,127.84,20.0,23.26,145.45,20.0
19.0,75.09,-24.46,128.17,19.0,23.4,145.65,20.0
20.0,79.04,-24.53,128.09,19.0,23.4,145.58,20.0
21.0,82.99,-24.44,127.99,19.0,23.37,145.58,20.0
22.0,86.94,-24.6,127.64,19.0,23.4,145.65,20.0
23.0,90.89,-24.36,127.76,19.0,23.33,145.6,20.0
24.0,94.85,-24.39,127.52,19.0,23.29,145.36,20.0
25.0,98.8,-24.54,127.63,19.0,23.38,145.52,20.0
26.0,102.75,-24.69,127.93,19.0,23.41,145.58,20.0
27.0,106.7,-24.42,128.07,19.0,23.39,145.71,20.0
28.0,110.65,-24.48,127.5,19.0,23.32,145.54,20.0
29.0,114.61,-24.28,127.8,19.0,23.3,145.6,20.0
30.0,118.56,-24.46,127.81,19.0,23.4,145.63,20.0
31.0,122.51,-24.48,127.86,19.0,23.36,145.5,20.0
32.0,126.46,-24.49,127.96,19.0,23.35,145.61,20.0
33.0,130.41,-24.46,127.49,19.0,23.33,145.72,20.0
34.0,134.36,-24.51,127.22,19.0,23.32,145.66,20.0
35.0,138.32,-24.48,127.67,19.0,23.37,145.51,20.0
36.0,142.27,-24.45,127.5,19.0,23.35,145.47,20.0
37.0,146.22,-24.28,127.77,19.0,23.29,145.46,20.0
38.0,150.17,-24.39,127.66,19.0,23.32,145.68,20.0
39.0,154.12,-24.42,127.91,19.0,23.37,145.57,20.0
40.0,158.08,-24.6,127.4,19.0,23.37,145.5,20.0
41.0,162.03,-24.43,127.58,19.0,23.36,145.46,20.0
42.0,165.98,-24.27,127.57,19.0,23.28,145.57,20.0
43.0,169.93,-24.33,127.44,19.0,23.29,145.57,20.0
44.0,173.88,-24.55,127.17,19.0,23.33,145.68,20.0
45.0,177.84,-24.55,127.18,19.0,23.35,145.42,20.0
46.0,181.79,-24.39,126.94,19.0,23.25,145.41,20.0
47.0,185.74,-24.86,126.97,19.0,23.39,145.61,20.0
48.0,189.69,-24.53,127.12,19.0,23.32,145.59,20.0
49.0,193.64,-24.43,127.37,19.0,23.27,145.54,20.0
50.0,197.6,-24.53,127.29,19.0,23.37,145.55,20.0
51.0,201.55,-24.68,127.22,19.0,23.36,145.54,20.0
52.0,205.5,-24.5,126.91,19.0,23.3,145.55,20.0
53.0,209.45,-24.64,127.13,19.0,23.38,145.46,20.0
54.0,213.4,-24.6,127.04,19.0,23.29,145.62,20.0
55.0,217.35,-24.5,126.84,19.0,23.29,145.15,20.0
56.0,221.31,-24.68,126.61,19.0,23.32,145.26,20.0
57.0,225.26,-24.5,126.92,19.0,23.28,145.52,20.0
58.0,229.21,-24.69,126.82,19.0,23.3,145.64,20.0
59.0,233.16,-24.77,126.57,19.0,23.38,145.5,20.0
60.0,237.11,-24.74,127.28,19.0,23.34,145.57,20.0
61.0,241.07,-24.69,126.85,19.0,23.37,145.39,20.0
62.0,245.02,-24.73,126.71,19.0,23.32,145.54,20.0
63.0,248.97,-24.5,126.69,19.0,23.24,145.48,20.0
64.0,252.92,-24.79,126.8,20.0,23.38,145.52,20.0
65.0,256.87,-24.77,126.72,19.0,23.3,145.33,20.0
66.0,260.83,-24.88,126.52,19.0,23.33,145.39,20.0
67.0,264.78,-24.69,126.49,19.0,23.32,145.49,20.0
68.0,268.73,-24.57,126.75,19.0,23.29,145.21,20.0
69.0,272.68,-24.59,127.02,19.0,23.33,145.46,20.0
70.0,276.63,-24.76,126.84,19.0,23.36,145.46,20.0
71.0,280.59,-24.79,127.13,19.0,23.34,145.46,20.0
72.0,284.54,-24.6,127.12,19.0,23.23,145.41,20.0
73.0,288.49,-24.42,126.94,18.0,23.29,145.34,20.0
74.0,292.44,-24.58,127.2,18.0,23.34,145.44,20.0
75.0,296.39,-24.47,127.62,18.0,23.37,145.33,20.0
76.0,300.34,-24.74,127.35,18.0,23.32,145.36,20.0
77.0,304.3,-24.68,127.33,18.0,23.37,145.45,20.0
78.0,308.25,-24.77,127.24,18.0,23.35,145.29,20.0
79.0,312.2,-24.77,127.37,18.0,23.34,145.3,20.0
80.0,316.15,-24.66,127.28,18.0,23.31,145.18,20.0
81.0,320.1,-24.72,127.44,19.0,23.33,145.37,20.0
82.0,324.06,-24.75,126.65,18.0,23.22,144.78,20.0
83.0,328.01,-24.69,126.59,18.0,23.17,144.66,20.0
84.0,331.96,-24.63,126.88,18.0,23.23,144.68,20.0
85.0,335.91,-24.91,126.14,18.0,23.15,144.24,20.0
86.0,339.86,-24.79,125.85,18.0,23.09,144.11,20.0
87.0,343.82,-24.81,125.95,18.0,23.11,144.06,20.0
88.0,347.77,-24.95,125.43,19.0,23.12,144.0,20.0
89.0,351.72,-24.89,125.2,19.0,23.09,143.86,20.0
90.0,355.67,-24.93,125.12,19.0,23.07,143.67,20.0
91.0,359.62,-24.8,125.41,19.0,22.94,143.15,20.0
92.0,363.58,-24.87,124.9,19.0,22.96,143.2,20.0
93.0,367.53,-24.83,124.44,19.0,22.83,142.58,20.0
94.0,371.48,-24.82,124.1,19.0,22.87,142.43,20.0
95.0,375.43,-25.1,123.88,19.0,22.91,142.43,20.0
96.0,379.38,-25.04,123.98,19.0,22.91,142.3,20.0
97.0,383.33,-24.84,123.57,19.0,22.87,142.23,20.0
98.0,387.29,-25.43,124.42,19.0,23.03,142.75,20.0
99.0,391.24,-25.21,123.72,19.0,22.92,142.03,20.0
100.0,395.19,-24.88,122.99,19.0,22.83,141.78,20.0
101.0,399.14,-25.28,123.57,19.0,22.95,142.2,20.0
102.0,403.09,-25.3,123.75,19.0,22.95,141.84,20.0
103.0,407.05,-25.21,123.02,19.0,22.93,141.79,20.0
104.0,411.0,-25.21,123.51,19.0,22.85,141.56,20.0
105.0,414.95,-25.45,123.79,19.0,22.97,141.94,20.0
106.0,418.9,-25.65,123.29,19.0,22.97,141.75,20.0
107.0,422.85,-25.27,123.47,19.0,22.9,141.58,20.0
108.0,426.81,-25.85,123.15,19.0,22.98,141.78,20.0
109.0,430.76,-25.72,122.55,19.0,22.9,141.63,20.0
110.0,434.71,-25.81,122.76,19.0,22.87,141.58,20.0
111.0,438.66,-25.9,122.73,19.0,22.97,141.8,20.0
112.0,442.61,-25.92,122.64,19.0,22.95,141.57,20.0
113.0,446.57,-26.05,122.17,19.0,22.95,141.61,20.0
114.0,450.52,-26.0,122.27,19.0,22.94,141.85,20.0
115.0,454.47,-26.61,122.61,19.0,23.09,142.1,20.0
116.0,458.42,-26.34,122.26,19.0,23.0,141.73,20.0
117.0,462.37,-26.18,121.08,19.0,22.94,141.36,20.0
118.0,466.32,-26.73,121.62,19.0,23.03,141.7,20.0
119.0,470.28,-26.73,121.32,19.0,22.94,141.58,20.0
120.0,474.23,-26.72,120.4,19.0,22.91,141.32,20.0
121.0,478.18,-26.56,119.93,19.0,22.84,140.98,20.0
122.0,482.13,-26.97,120.18,19.0,22.94,141.44,20.0
123.0,486.08,-26.83,119.03,19.0,22.87,140.94,20.0
124.0,490.04,-27.31,119.79,19.0,23.06,141.48,20.0
125.0,493.99,-27.35,119.46,19.0,22.95,141.24,20.0
126.0,497.94,-27.36,118.59,19.0,22.88,140.66,20.0
127.0,501.89,-27.22,118.05,19.0,22.85,140.95,20.0
128.0,505.84,-27.26,117.58,19.0,22.84,140.9,20.0
129.0,509.8,-27.74,117.9,19.0,22.85,140.82,20.0
130.0,513.75,-27.9,117.45,19.0,22.82,140.86,20.0
131.0,517.7,-28.11,116.98,19.0,22.82,140.81,19.0
132.0,521.65,-28.17,116.71,19.0,22.84,140.73,19.0
133.0,525.6,-27.92,116.19,19.0,22.79,140.61,19.0
134.0,529.56,-27.97,116.21,18.0,22.79,140.81,19.0
135.0,533.51,-28.25,116.7,18.0,22.8,140.75,19.0
136.0,537.46,-28.26,115.66,18.0,22.73,140.64,19.0
137.0,541.41,-28.61,115.82,18.0,22.75,140.66,19.0
138.0,545.36,-28.45,115.26,18.0,22.74,140.65,19.0
139.0,549.31,-28.58,115.94,17.0,22.76,140.86,19.0
140.0,553.27,-28.62,115.39,17.0,22.82,141.0,19.0
141.0,557.22,-28.84,115.82,17.0,22.76,141.02,19.0
142.0,561.17,-29.1,115.23,17.0,22.84,141.36,19.0
143.0,565.12,-29.26,115.83,17.0,22.95,141.54,19.0
144.0,569.07,-29.54,115.05,17.0,22.94,141.43,19.0
145.0,573.03,-29.72,115.09,16.0,22.93,141.85,19.0
146.0,576.98,-29.75,115.15,16.0,22.96,142.07,18.0
147.0,580.93,-29.99,114.41,16.0,22.94,142.13,18.0
148.0,584.88,-30.0,114.33,15.0,22.87,142.21,18.0
149.0,588.83,-30.26,114.42,15.0,22.98,142.02,18.0
150.0,592.79,-30.55,114.12,15.0,22.98,142.06,18.0
151.0,596.74,-30.53,114.57,15.0,23.04,142.09,18.0
152.0,600.69,-30.65,114.55,15.0,23.02,142.09,18.0
153.0,604.64,-30.65,114.42,15.0,23.0,142.15,17.0
