Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
0.0,0.0,-23.19,80.71,17.0,15.47,82.76,36.0
1.0,3.95,-23.13,80.58,17.0,15.51,82.61,36.0
2.0,7.9,-23.15,80.6,17.0,15.46,82.83,36.0
3.0,11.86,-23.13,80.52,17.0,15.48,82.66,36.0
4.0,15.81,-23.08,80.56,17.0,15.38,83.04,36.0
5.0,19.76,-23.21,80.63,17.0,15.48,82.72,36.0
6.0,23.71,-23.18,80.61,17.0,15.45,82.76,36.0
7.0,27.66,-23.07,80.63,17.0,15.49,82.64,36.0
8.0,31.62,-23.22,80.6,17.0,15.49,82.8,36.0
9.0,35.57,-23.07,80.62,17.0,15.5,82.58,36.0
10.0,39.52,-23.18,80.62,17.0,15.45,82.84,36.0
11.0,43.47,-22.97,80.46,17.0,15.41,82.76,36.0
12.0,47.42,-23.04,80.67,17.0,15.54,82.77,36.0
13.0,51.37,-23.15,80.65,17.0,15.35,83.1,36.0
14.0,55.33,-23.03,80.58,17.0,15.43,82.92,36.0
15.0,59.28,-23.01,80.69,17.0,15.44,82.7,36.0
16.0,63.23,-23.0,80.54,17.0,15.44,82.94,36.0
17.0,67.18,-22.97,80.49,17.0,15.48,82.77,36.0
18.0,71.13,-23.02,80.52,17.0,15.47,82.66,36.0
19.0,75.09,-23.1,80.55,17.0,15.55,82.37,36.0
20.0,79.04,-23.08,80.53,17.0,15.5,82.49,36.0
21.0,82.99,-23.12,80.6,17.0,15.44,82.68,36.0
22.0,86.94,-23.13,80.54,17.0,15.45,82.57,36.0
23.0,90.89,-23.11,80.58,17.0,15.5,82.68,36.0
24.0,94.85,-23.15,80.55,17.0,15.48,82.66,36.0
25.0,98.8,-22.96,80.63,17.0,15.52,82.56,36.0
26.0,102.75,-23.03,80.58,17.0,15.55,82.77,36.0
27.0,106.7,-23.07,80.57,17.0,15.56,82.65,36.0
28.0,110.65,-23.1,80.53,17.0,15.57,82.8,36.0
29.0,114.61,-23.2,80.65,17.0,15.47,82.79,36.0
30.0,118.56,-23.12,80.46,17.0,15.45,82.76,36.0
31.0,122.51,-22.99,80.63,17.0,15.54,82.63,36.0
32.0,126.46,-22.91,80.55,17.0,15.4,82.67,36.0
33.0,130.41,-23.01,80.6,17.0,15.47,82.69,36.0
34.0,134.36,-23.13,80.7,17.0,15.38,82.79,36.0
35.0,138.32,-23.12,80.61,17.0,15.46,82.65,36.0
36.0,142.27,-23.15,80.57,17.0,15.47,82.75,36.0
37.0,146.22,-23.16,80.59,17.0,15.5,82.6,36.0
38.0,150.17,-23.15,80.68,17.0,15.55,82.67,36.0
39.0,154.12,-23.15,80.59,17.0,15.45,82.78,36.0
40.0,158.08,-23.07,80.6,17.0,15.49,82.66,36.0
41.0,162.03,-23.13,80.71,17.0,15.52,82.77,36.0
42.0,165.98,-23.1,80.58,17.0,15.4,82.7,36.0
43.0,169.93,-23.14,80.63,17.0,15.43,82.52,36.0
44.0,173.88,-23.13,80.56,17.0,15.45,82.63,36.0
45.0,177.84,-23.01,80.56,17.0,15.46,82.77,36.0
46.0,181.79,-23.03,80.7,17.0,15.4,82.79,36.0
47.0,185.74,-23.06,80.73,17.0,15.42,82.68,36.0
48.0,189.69,-23.19,80.59,17.0,15.42,82.7,36.0
49.0,193.64,-23.13,80.57,17.0,15.47,82.66,36.0
50.0,197.6,-23.12,80.61,17.0,15.43,82.9,36.0
51.0,201.55,-23.09,80.62,17.0,15.52,82.64,36.0
52.0,205.5,-23.11,80.72,17.0,15.4,82.79,36.0
53.0,209.45,-23.08,80.47,17.0,15.42,82.73,36.0
54.0,213.4,-23.15,80.54,17.0,15.43,82.77,36.0
55.0,217.35,-23.12,80.64,17.0,15.45,82.6,36.0
56.0,221.31,-23.22,80.63,17.0,15.44,82.65,36.0
57.0,225.26,-23.04,80.55,17.0,15.44,82.84,36.0
58.0,229.21,-23.08,80.63,17.0,15.46,82.74,36.0
59.0,233.16,-23.02,80.65,17.0,15.47,82.6,36.0
60.0,237.11,-23.14,80.52,17.0,15.41,82.74,36.0
61.0,241.07,-23.07,80.41,17.0,15.46,82.66,36.0
62.0,245.02,-23.06,80.65,17.0,15.42,82.72,36.0
63.0,248.97,-23.06,80.61,17.0,15.51,82.71,36.0
64.0,252.92,-23.09,80.58,17.0,15.46,82.6,36.0
65.0,256.87,-23.02,80.61,17.0,15.46,82.87,36.0
66.0,260.83,-23.07,80.77,17.0,15.5,82.83,36.0
67.0,264.78,-23.15,80.46,17.0,15.45,82.67,36.0
68.0,268.73,-23.05,80.58,17.0,15.52,82.68,36.0
69.0,272.68,-22.99,80.53,17.0,15.46,82.78,36.0
70.0,276.63,-23.01,80.56,17.0,15.49,82.69,36.0
71.0,280.59,-23.04,80.57,17.0,15.52,82.68,36.0
72.0,284.54,-23.06,80.56,17.0,15.51,82.76,36.0
73.0,288.49,-23.01,80.56,17.0,15.45,82.72,36.0
74.0,292.44,-23.1,80.67,17.0,15.54,82.66,36.0
75.0,296.39,-23.07,80.6,17.0,15.55,82.7,36.0
76.0,300.34,-23.12,80.56,17.0,15.5,82.52,36.0
77.0,304.3,-23.06,80.56,17.0,15.44,82.95,36.0
78.0,308.25,-23.06,80.53,17.0,15.45,82.72,36.0
79.0,312.2,-23.12,80.6,17.0,15.49,82.67,36.0
80.0,316.15,-23.02,80.54,17.0,15.47,82.78,36.0
81.0,320.1,-23.08,80.61,17.0,15.5,82.87,36.0
82.0,324.06,-23.02,80.52,17.0,15.49,82.76,36.0
