Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
0.0,0.0,-6.6,87.03,431.0,6.76,160.85,528.0
1.0,3.95,-6.63,87.27,429.0,6.65,160.04,527.0
2.0,7.9,-6.65,87.58,429.0,6.6,159.33,526.0
3.0,11.86,-6.65,88.1,428.0,6.52,158.42,522.0
4.0,15.81,-6.65,88.34,427.0,6.44,157.65,519.0
5.0,19.76,-6.64,88.9,427.0,6.34,157.09,517.0
6.0,23.71,-6.59,89.33,426.0,6.24,156.33,514.0
7.0,27.66,-6.57,90.0,424.0,6.23,155.74,514.0
8.0,31.62,-6.52,90.64,420.0,6.16,155.01,509.0
9.0,35.57,-6.48,91.33,419.0,6.06,154.34,507.0
10.0,39.52,-6.42,91.85,417.0,5.98,153.73,504.0
11.0,43.47,-6.4,92.36,417.0,5.89,153.03,502.0
12.0,47.42,-6.4,92.74,417.0,5.8,152.34,501.0
13.0,51.37,-6.38,93.19,414.0,5.69,151.77,498.0
14.0,55.33,-6.34,93.43,413.0,5.6,151.03,494.0
15.0,59.28,-6.28,93.95,412.0,5.49,150.27,490.0
16.0,63.23,-6.26,94.34,409.0,5.39,149.5,485.0
17.0,67.18,-6.26,94.92,406.0,5.26,148.6,481.0
18.0,71.13,-6.23,95.43,405.0,5.14,147.83,478.0
19.0,75.09,-6.19,96.16,405.0,5.0,146.87,472.0
20.0,79.04,-6.1,96.72,401.0,4.89,145.97,468.0
21.0,82.99,-6.06,97.36,397.0,4.75,144.96,465.0
22.0,86.94,-6.02,97.98,395.0,4.69,144.1,459.0
23.0,90.89,-5.96,98.72,390.0,4.57,143.13,454.0
24.0,94.85,-5.91,99.38,387.0,4.49,142.19,450.0
25.0,98.8,-5.83,100.16,383.0,4.39,141.21,445.0
26.0,102.75,-5.78,100.89,378.0,4.3,140.36,440.0
27.0,106.7,-5.73,101.57,374.0,4.19,139.47,435.0
28.0,110.65,-5.63,102.34,370.0,4.11,138.56,430.0
29.0,114.61,-5.51,103.25,367.0,4.0,137.79,426.0
30.0,118.56,-5.44,103.92,362.0,3.98,136.94,421.0
31.0,122.51,-5.36,104.77,358.0,3.89,136.13,418.0
32.0,126.46,-5.31,105.55,355.0,3.84,135.37,414.0
33.0,130.41,-5.24,106.15,352.0,3.74,134.71,412.0
34.0,134.36,-5.18,106.88,349.0,3.69,133.98,406.0
35.0,138.32,-5.1,107.56,348.0,3.62,133.28,402.0
36.0,142.27,-5.08,108.25,344.0,3.55,132.58,396.0
37.0,146.22,-5.02,108.88,340.0,3.47,131.83,391.0
38.0,150.17,-5.0,109.69,334.0,3.37,131.05,384.0
39.0,154.12,-4.94,110.48,333.0,3.3,130.39,379.0
40.0,158.08,-4.88,111.37,330.0,3.18,129.69,373.0
41.0,162.03,-4.87,112.11,325.0,3.07,128.81,370.0
42.0,165.98,-4.83,112.89,321.0,2.97,128.18,363.0
43.0,169.93,-4.83,113.67,317.0,2.89,127.46,359.0
44.0,173.88,-4.78,114.59,313.0,2.78,126.74,353.0
45.0,177.84,-4.72,115.47,308.0,2.67,125.86,348.0
46.0,181.79,-4.66,116.45,305.0,2.54,124.96,343.0
47.0,185.74,-4.65,117.69,298.0,2.41,124.1,339.0
48.0,189.69,-4.6,118.89,295.0,2.27,123.18,335.0
49.0,193.64,-4.53,120.16,291.0,2.12,122.38,330.0
50.0,197.6,-4.51,121.33,288.0,2.0,121.46,327.0
51.0,201.55,-4.44,122.55,284.0,1.86,120.52,323.0
52.0,205.5,-4.43,123.77,281.0,1.76,119.67,318.0
53.0,209.45,-4.33,124.83,281.0,1.65,118.91,318.0
54.0,213.4,-4.25,126.0,277.0,1.53,118.15,314.0
55.0,217.35,-4.2,127.21,276.0,1.47,117.54,315.0
56.0,221.31,-4.18,128.38,275.0,1.42,117.08,315.0
57.0,225.26,-4.13,129.47,272.0,1.34,116.49,315.0
58.0,229.21,-4.09,130.55,269.0,1.31,116.14,315.0
59.0,233.16,-4.06,131.59,270.0,1.25,115.63,314.0
60.0,237.11,-4.01,132.69,269.0,1.18,115.08,315.0
61.0,241.07,-3.96,133.61,267.0,1.16,114.6,314.0
62.0,245.02,-3.95,134.56,268.0,1.12,114.23,315.0
63.0,248.97,-3.89,135.48,267.0,1.07,113.88,315.0
64.0,252.92,-3.88,136.13,266.0,1.01,113.42,317.0
65.0,256.87,-3.85,136.98,267.0,0.98,113.13,317.0
66.0,260.83,-3.86,137.72,268.0,0.94,112.77,318.0
67.0,264.78,-3.82,138.29,266.0,0.85,112.34,319.0
68.0,268.73,-3.77,138.77,266.0,0.84,112.05,319.0
69.0,272.68,-3.77,139.22,268.0,0.77,111.83,321.0
70.0,276.63,-3.73,139.5,270.0,0.74,111.62,324.0
71.0,280.59,-3.73,139.7,271.0,0.72,111.47,326.0
72.0,284.54,-3.73,139.68,275.0,0.72,111.42,328.0
73.0,288.49,-3.73,139.65,277.0,0.73,111.35,331.0
74.0,292.44,-3.72,139.59,280.0,0.74,111.36,334.0
75.0,296.39,-3.69,139.58,283.0,0.74,111.43,336.0
76.0,300.34,-3.67,139.27,285.0,0.76,111.49,340.0
77.0,304.3,-3.68,139.15,288.0,0.83,111.63,342.0
78.0,308.25,-3.66,138.81,290.0,0.88,111.82,346.0
79.0,312.2,-3.63,138.56,293.0,0.89,112.06,351.0
80.0,316.15,-3.66,138.23,295.0,0.97,112.34,355.0
81.0,320.1,-3.65,137.85,300.0,1.05,112.76,358.0
82.0,324.06,-3.67,137.48,304.0,1.14,113.03,363.0
83.0,328.01,-3.64,137.0,309.0,1.18,113.36,368.0
84.0,331.96,-3.64,136.5,314.0,1.24,113.83,374.0
85.0,335.91,-3.67,136.0,318.0,1.34,114.34,380.0
86.0,339.86,-3.69,135.54,322.0,1.46,114.85,386.0
87.0,343.82,-3.7,134.96,325.0,1.53,115.17,392.0
88.0,347.77,-3.67,134.55,327.0,1.64,115.74,398.0
89.0,351.72,-3.66,134.04,332.0,1.74,116.17,405.0
90.0,355.67,-3.65,133.64,335.0,1.82,116.64,408.0
91.0,359.62,-3.66,133.12,337.0,1.91,117.08,416.0
92.0,363.58,-3.68,132.88,340.0,2.01,117.47,421.0
93.0,367.53,-3.68,132.6,344.0,2.07,117.92,424.0
94.0,371.48,-3.68,132.35,346.0,2.15,118.36,429.0
95.0,375.43,-3.71,131.97,347.0,2.21,118.77,433.0
96.0,379.38,-3.71,131.7,351.0,2.28,119.27,436.0
97.0,383.33,-3.74,131.22,352.0,2.31,119.63,437.0
98.0,387.29,-3.76,130.95,354.0,2.36,120.02,440.0
99.0,391.24,-3.79,130.47,357.0,2.42,120.55,443.0
100.0,395.19,-3.81,130.13,360.0,2.43,120.92,446.0
101.0,399.14,-3.82,129.56,363.0,2.45,121.3,447.0
102.0,403.09,-3.86,129.08,367.0,2.46,121.63,449.0
103.0,407.05,-3.92,128.54,369.0,2.48,121.85,449.0
104.0,411.0,-3.98,127.81,373.0,2.48,122.24,450.0
105.0,414.95,-4.04,127.35,376.0,2.53,122.55,452.0
106.0,418.9,-4.1,126.81,377.0,2.53,122.88,453.0
107.0,422.85,-4.12,126.19,379.0,2.54,123.15,452.0
108.0,426.81,-4.16,125.74,383.0,2.53,123.42,451.0
109.0,430.76,-4.21,125.32,384.0,2.53,123.72,450.0
110.0,434.71,-4.25,124.99,384.0,2.57,124.05,448.0
111.0,438.66,-4.25,124.63,384.0,2.55,124.2,445.0
112.0,442.61,-4.3,124.31,384.0,2.56,124.47,443.0
113.0,446.57,-4.32,124.01,385.0,2.56,124.72,440.0
