Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
0.0,0.0,-8.97,72.69,440.0,-3.48,50.24,542.0
1.0,3.95,-8.89,73.64,443.0,-3.46,50.83,544.0
2.0,7.9,-8.81,74.46,447.0,-3.41,51.42,544.0
3.0,11.86,-8.71,75.4,449.0,-3.39,51.96,545.0
4.0,15.81,-8.65,76.22,452.0,-3.35,52.51,547.0
5.0,19.76,-8.59,76.95,454.0,-3.31,53.05,549.0
6.0,23.71,-8.51,77.71,455.0,-3.31,53.47,549.0
7.0,27.66,-8.44,78.46,458.0,-3.28,53.99,551.0
8.0,31.62,-8.36,79.17,462.0,-3.26,54.54,552.0
9.0,35.57,-8.29,79.84,463.0,-3.24,55.13,552.0
10.0,39.52,-8.22,80.52,463.0,-3.21,55.77,554.0
11.0,43.47,-8.15,81.15,464.0,-3.22,56.39,554.0
12.0,47.42,-8.1,81.67,465.0,-3.22,57.02,556.0
13.0,51.37,-8.03,82.28,465.0,-3.19,57.55,557.0
14.0,55.33,-7.97,82.72,467.0,-3.21,58.11,557.0
15.0,59.28,-7.91,83.19,469.0,-3.21,58.78,557.0
16.0,63.23,-7.87,83.58,471.0,-3.23,59.31,558.0
17.0,67.18,-7.83,83.91,471.0,-3.21,59.85,559.0
18.0,71.13,-7.78,84.27,472.0,-3.2,60.19,560.0
19.0,75.09,-7.76,84.65,472.0,-3.16,60.7,560.0
20.0,79.04,-7.71,84.97,473.0,-3.18,61.17,562.0
21.0,82.99,-7.67,85.33,470.0,-3.15,61.74,564.0
22.0,86.94,-7.62,85.57,469.0,-3.11,62.18,565.0
23.0,90.89,-7.59,85.81,470.0,-3.07,62.58,565.0
24.0,94.85,-7.54,86.04,470.0,-3.06,63.01,566.0
25.0,98.8,-7.51,86.31,470.0,-3.03,63.43,565.0
26.0,102.75,-7.48,86.52,469.0,-2.99,63.81,568.0
27.0,106.7,-7.45,86.68,468.0,-2.96,64.2,568.0
28.0,110.65,-7.41,86.88,468.0,-2.91,64.6,568.0
