Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
0.0,0.0,-17.11,65.81,27.0,22.87,68.34,33.0
1.0,3.95,-17.1,65.8,27.0,22.86,68.41,33.0
2.0,7.9,-17.11,65.7,27.0,22.89,68.39,33.0
3.0,11.86,-17.04,65.69,27.0,22.93,68.42,33.0
4.0,15.81,-17.09,65.74,27.0,22.91,68.39,33.0
5.0,19.76,-17.14,65.74,27.0,22.83,68.39,34.0
6.0,23.71,-17.12,65.79,27.0,22.82,68.38,34.0
7.0,27.66,-17.06,65.7,27.0,22.91,68.37,34.0
8.0,31.62,-17.1,65.86,27.0,22.86,68.39,34.0
9.0,35.57,-17.02,65.66,27.0,22.92,68.44,34.0
10.0,39.52,-17.12,65.73,27.0,22.93,68.39,34.0
11.0,43.47,-16.97,65.65,26.0,22.9,68.39,34.0
12.0,47.42,-17.08,65.9,27.0,22.88,68.43,34.0
13.0,51.37,-16.95,65.6,27.0,22.89,68.4,34.0
14.0,55.33,-17.03,65.73,27.0,22.91,68.4,34.0
15.0,59.28,-17.04,65.69,27.0,22.91,68.39,34.0
16.0,63.23,-17.01,65.61,27.0,22.84,68.38,34.0
17.0,67.18,-17.08,65.81,27.0,22.87,68.39,33.0
18.0,71.13,-17.04,65.71,27.0,22.81,68.36,33.0
19.0,75.09,-17.08,65.84,27.0,22.91,68.45,33.0
20.0,79.04,-17.07,65.7,27.0,22.91,68.41,33.0
21.0,82.99,-17.23,65.72,27.0,23.0,68.42,33.0
22.0,86.94,-17.15,65.86,27.0,22.88,68.36,34.0
23.0,90.89,-16.97,65.56,27.0,22.94,68.42,33.0
24.0,94.85,-17.06,65.74,27.0,22.88,68.38,33.0
25.0,98.8,-16.93,65.63,27.0,22.88,68.38,33.0
26.0,102.75,-17.14,65.93,27.0,22.85,68.4,34.0
27.0,106.7,-17.03,65.61,27.0,22.92,68.38,34.0
28.0,110.65,-17.04,65.63,26.0,22.84,68.38,33.0
29.0,114.61,-16.91,65.56,27.0,22.9,68.35,33.0
30.0,118.56,-17.16,65.81,27.0,22.89,68.42,33.0
31.0,122.51,-17.14,65.71,27.0,22.98,68.37,33.0
32.0,126.46,-17.07,65.67,27.0,22.97,68.31,33.0
33.0,130.41,-17.13,65.75,27.0,23.0,68.34,32.0
34.0,134.36,-17.12,65.64,27.0,22.89,68.36,32.0
35.0,138.32,-17.17,65.71,27.0,23.0,68.29,32.0
36.0,142.27,-17.15,65.75,27.0,23.07,68.26,32.0
