Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
0.0,0.0,-20.26,67.88,29.0,42.65,54.33,61.0
1.0,3.95,-20.28,68.01,29.0,42.79,54.46,61.0
2.0,7.9,-20.35,67.94,29.0,42.79,54.35,61.0
3.0,11.86,-20.45,68.04,29.0,42.86,54.49,61.0
4.0,15.81,-20.36,68.03,29.0,42.84,54.48,61.0
5.0,19.76,-20.3,68.12,29.0,42.89,54.49,61.0
6.0,23.71,-20.36,68.16,29.0,42.91,54.55,61.0
7.0,27.66,-20.29,68.25,29.0,42.98,54.54,61.0
8.0,31.62,-20.32,68.28,29.0,42.96,54.55,61.0
9.0,35.57,-20.36,68.27,29.0,43.05,54.6,61.0
10.0,39.52,-20.45,68.26,29.0,43.0,54.54,61.0
11.0,43.47,-20.35,68.39,28.0,43.15,54.67,61.0
12.0,47.42,-20.33,68.39,28.0,43.05,54.59,61.0
13.0,51.37,-20.41,68.41,28.0,43.13,54.64,60.0
14.0,55.33,-20.39,68.48,28.0,43.23,54.65,60.0
15.0,59.28,-20.31,68.53,28.0,43.23,54.64,60.0
16.0,63.23,-20.44,68.66,28.0,43.36,54.72,59.0
17.0,67.18,-20.56,68.8,27.0,43.51,54.81,59.0
18.0,71.13,-20.48,68.81,27.0,43.57,54.89,59.0
19.0,75.09,-20.48,68.84,27.0,43.61,54.89,59.0
20.0,79.04,-20.53,69.01,27.0,43.76,54.96,58.0
21.0,82.99,-20.38,68.83,27.0,43.66,54.79,58.0
22.0,86.94,-20.5,69.13,27.0,43.93,54.99,58.0
23.0,90.89,-20.61,69.26,27.0,44.03,55.08,58.0
24.0,94.85,-20.44,69.09,27.0,43.87,54.91,57.0
25.0,98.8,-20.54,69.16,27.0,43.92,54.93,57.0
26.0,102.75,-20.56,69.16,27.0,43.92,54.85,57.0
27.0,106.7,-20.52,69.16,27.0,43.87,54.86,57.0
28.0,110.65,-20.61,69.2,26.0,43.96,54.88,57.0
29.0,114.61,-20.56,69.21,26.0,44.01,54.91,57.0
30.0,118.56,-20.6,69.28,26.0,44.15,55.0,57.0
31.0,122.51,-20.68,69.32,26.0,44.22,54.99,57.0
32.0,126.46,-20.59,69.25,26.0,44.21,54.95,57.0
33.0,130.41,-20.73,69.47,26.0,44.44,55.14,57.0
34.0,134.36,-20.61,69.44,26.0,44.46,55.13,56.0
35.0,138.32,-20.83,69.64,26.0,44.73,55.23,55.0
36.0,142.27,-20.76,69.68,26.0,44.79,55.25,55.0
37.0,146.22,-20.88,69.75,26.0,44.93,55.32,54.0
38.0,150.17,-20.94,69.78,26.0,44.88,55.25,54.0
39.0,154.12,-21.03,69.88,26.0,45.08,55.35,53.0
40.0,158.08,-21.22,70.13,26.0,45.7,55.67,53.0
41.0,162.03,-21.18,70.06,25.0,45.64,55.56,53.0
42.0,165.98,-21.41,70.27,25.0,45.86,55.65,53.0
43.0,169.93,-21.48,70.31,25.0,45.92,55.69,53.0
44.0,173.88,-21.61,70.45,25.0,46.13,55.84,53.0
45.0,177.84,-21.63,70.5,25.0,46.15,55.84,52.0
46.0,181.79,-21.7,70.58,24.0,46.24,55.85,52.0
47.0,185.74,-21.69,70.59,23.0,46.31,55.88,51.0
48.0,189.69,-21.9,70.83,23.0,46.6,56.13,51.0
49.0,193.64,-22.15,71.17,23.0,46.99,56.35,51.0
50.0,197.6,-22.19,71.17,23.0,47.05,56.43,51.0
51.0,201.55,-22.33,71.38,23.0,47.37,56.67,51.0
52.0,205.5,-22.45,71.44,23.0,47.37,56.71,51.0
53.0,209.45,-22.52,71.49,22.0,47.36,56.73,50.0
54.0,213.4,-22.69,71.64,21.0,47.55,56.79,50.0
55.0,217.35,-22.71,71.65,21.0,47.6,56.85,50.0
56.0,221.31,-22.89,71.9,21.0,47.88,57.1,50.0
57.0,225.26,-22.72,71.77,21.0,47.82,57.02,50.0
58.0,229.21,-22.92,72.0,21.0,48.14,57.24,50.0
59.0,233.16,-22.99,72.1,21.0,48.2,57.27,49.0
60.0,237.11,-23.1,72.15,19.0,48.61,57.51,48.0
61.0,241.07,-23.27,72.41,19.0,48.91,57.7,48.0
62.0,245.02,-23.47,72.59,19.0,49.1,57.83,48.0
63.0,248.97,-23.53,72.68,19.0,49.29,57.99,48.0
64.0,252.92,-23.7,72.97,19.0,49.53,58.19,47.0
65.0,256.87,-23.77,73.13,19.0,49.8,58.36,47.0
66.0,260.83,-23.96,73.43,19.0,50.06,58.57,47.0
67.0,264.78,-24.02,73.48,18.0,50.14,58.73,46.0
68.0,268.73,-24.1,73.56,18.0,50.3,58.86,46.0
69.0,272.68,-24.3,73.81,18.0,50.44,59.1,45.0
70.0,276.63,-24.47,73.95,18.0,50.57,59.2,45.0
71.0,280.59,-24.5,73.95,18.0,50.67,59.23,45.0
72.0,284.54,-24.43,74.02,18.0,50.63,59.2,44.0
73.0,288.49,-24.48,74.08,18.0,50.7,59.27,43.0
74.0,292.44,-24.44,74.08,18.0,50.67,59.29,43.0
75.0,296.39,-24.53,74.16,18.0,50.9,59.62,43.0
76.0,300.34,-24.46,74.09,18.0,50.75,59.51,42.0
77.0,304.3,-24.45,74.15,18.0,50.77,59.58,42.0
78.0,308.25,-24.54,74.22,18.0,50.77,59.59,41.0
79.0,312.2,-24.51,74.19,18.0,50.71,59.58,41.0
80.0,316.15,-24.52,74.2,18.0,50.61,59.43,41.0
81.0,320.1,-24.58,74.31,18.0,50.77,59.59,41.0
82.0,324.06,-24.56,74.31,18.0,50.62,59.6,41.0
83.0,328.01,-24.48,74.18,18.0,50.39,59.5,41.0
84.0,331.96,-24.53,74.3,18.0,50.32,59.58,41.0
85.0,335.91,-24.56,74.36,18.0,50.27,59.64,42.0
86.0,339.86,-24.56,74.33,18.0,50.18,59.58,42.0
87.0,343.82,-24.59,74.4,18.0,50.11,59.71,42.0
88.0,347.77,-24.53,74.35,18.0,50.08,59.7,42.0
89.0,351.72,-24.58,74.38,18.0,49.97,59.74,42.0
90.0,355.67,-24.68,74.55,18.0,49.93,59.72,42.0
91.0,359.62,-24.62,74.44,18.0,49.74,59.69,42.0
92.0,363.58,-24.61,74.54,18.0,49.65,59.78,42.0
93.0,367.53,-24.56,74.42,17.0,49.51,59.67,41.0
94.0,371.48,-24.7,74.63,17.0,49.43,59.71,41.0
95.0,375.43,-24.69,74.61,17.0,49.35,59.74,41.0
