Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
0.0,0.0,-15.46,78.09,84.0,20.43,68.65,97.0
1.0,3.95,-15.51,78.12,83.0,20.48,68.73,97.0
2.0,7.9,-15.65,78.32,83.0,20.46,68.77,97.0
3.0,11.86,-15.66,78.35,83.0,20.53,68.86,96.0
4.0,15.81,-15.73,78.46,83.0,20.51,68.86,96.0
5.0,19.76,-15.8,78.53,83.0,20.55,68.95,96.0
6.0,23.71,-15.87,78.69,84.0,20.56,68.98,96.0
7.0,27.66,-15.86,78.72,84.0,20.52,68.97,96.0
8.0,31.62,-15.97,78.78,83.0,20.53,69.05,95.0
9.0,35.57,-15.99,78.83,83.0,20.67,69.24,95.0
10.0,39.52,-16.03,78.88,83.0,20.69,69.2,95.0
11.0,43.47,-16.03,78.9,83.0,20.77,69.39,95.0
12.0,47.42,-16.1,78.95,83.0,20.77,69.41,95.0
13.0,51.37,-16.17,79.01,82.0,20.79,69.51,95.0
14.0,55.33,-16.11,79.01,82.0,20.8,69.55,95.0
15.0,59.28,-16.12,79.02,82.0,20.84,69.65,96.0
16.0,63.23,-16.1,79.05,82.0,20.83,69.68,96.0
17.0,67.18,-16.13,79.12,82.0,20.86,69.8,96.0
18.0,71.13,-16.14,79.21,83.0,20.86,69.87,96.0
19.0,75.09,-16.12,79.21,83.0,20.86,69.98,96.0
20.0,79.04,-16.09,79.25,83.0,20.86,70.03,96.0
21.0,82.99,-16.03,79.23,83.0,20.88,70.13,96.0
22.0,86.94,-16.08,79.23,83.0,20.92,70.28,95.0
23.0,90.89,-16.03,79.25,83.0,20.95,70.46,96.0
24.0,94.85,-16.0,79.24,82.0,20.9,70.42,96.0
25.0,98.8,-15.96,79.24,82.0,20.87,70.43,96.0
26.0,102.75,-15.94,79.22,82.0,20.94,70.6,96.0
27.0,106.7,-15.98,79.24,82.0,20.99,70.73,95.0
28.0,110.65,-15.97,79.26,83.0,20.99,70.79,96.0
29.0,114.61,-15.96,79.26,82.0,20.97,70.79,96.0
30.0,118.56,-15.93,79.24,83.0,20.91,70.86,97.0
31.0,122.51,-15.88,79.25,83.0,20.86,70.84,97.0
32.0,126.46,-15.84,79.21,84.0,20.86,70.89,97.0
33.0,130.41,-15.86,79.24,84.0,20.86,70.92,97.0
34.0,134.36,-15.84,79.23,84.0,20.83,70.9,97.0
35.0,138.32,-15.75,79.18,84.0,20.87,70.9,97.0
36.0,142.27,-15.81,79.18,84.0,20.88,70.9,97.0
37.0,146.22,-15.74,79.19,84.0,20.87,70.92,97.0
38.0,150.17,-15.73,79.19,84.0,20.89,70.95,97.0
39.0,154.12,-15.68,79.1,84.0,20.89,70.93,97.0
40.0,158.08,-15.69,79.31,85.0,20.89,70.92,97.0
41.0,162.03,-15.64,79.28,85.0,20.93,70.96,97.0
42.0,165.98,-15.67,79.3,84.0,20.92,70.96,97.0
43.0,169.93,-15.63,79.27,84.0,20.92,70.98,97.0
44.0,173.88,-15.67,79.31,84.0,20.87,70.95,97.0
45.0,177.84,-15.58,79.23,84.0,20.81,70.88,97.0
46.0,181.79,-15.64,79.04,84.0,20.91,70.95,97.0
47.0,185.74,-15.64,79.05,84.0,20.81,70.83,98.0
48.0,189.69,-15.69,79.08,84.0,20.8,70.85,98.0
49.0,193.64,-15.66,79.06,83.0,20.8,70.85,98.0
50.0,197.6,-15.65,79.05,83.0,20.87,70.89,97.0
51.0,201.55,-15.62,79.0,82.0,20.86,70.9,97.0
