Frame,ms,footscan Z_L,footscan Z_R
0.0,0.0,426.94,486.05
1.0,3.95,427.35,486.05
2.0,7.9,428.38,487.28
3.0,11.86,429.81,487.9
4.0,15.81,429.81,488.93
5.0,19.76,429.61,486.87
6.0,23.71,430.43,486.46
7.0,27.66,430.63,484.62
8.0,31.62,431.45,482.36
9.0,35.57,432.07,481.54
10.0,39.52,433.92,481.74
11.0,43.47,434.12,481.95
12.0,47.42,434.12,482.36
13.0,51.37,434.53,481.74
14.0,55.33,435.15,482.77
15.0,59.28,436.59,480.72
16.0,63.23,437.2,479.28
17.0,67.18,436.17,478.05
18.0,71.13,435.56,477.64
19.0,75.09,435.97,475.79
20.0,79.04,437.41,473.94
21.0,82.99,437.82,471.68
22.0,86.94,438.02,468.4
23.0,90.89,437.61,464.3
24.0,94.85,437.0,462.45
25.0,98.8,438.02,459.57
26.0,102.75,439.25,455.67
27.0,106.7,438.64,452.6
28.0,110.65,438.84,450.54
29.0,114.61,438.64,447.05
30.0,118.56,438.64,443.97
31.0,122.51,437.2,440.9
32.0,126.46,438.23,437.61
33.0,130.41,438.23,434.94
34.0,134.36,439.05,432.89
35.0,138.32,439.05,428.58
36.0,142.27,439.05,426.32
37.0,146.22,439.66,422.83
38.0,150.17,441.31,421.4
39.0,154.12,442.33,419.55
40.0,158.08,442.33,417.91
41.0,162.03,442.95,415.85
42.0,165.98,443.15,414.83
43.0,169.93,443.97,414.21
44.0,173.88,444.59,411.75
45.0,177.84,445.21,407.64
46.0,181.79,446.23,405.18
47.0,185.74,446.23,403.33
48.0,189.69,446.44,402.92
49.0,193.64,446.64,402.1
50.0,197.6,447.46,401.08
51.0,201.55,448.49,400.05
52.0,205.5,448.08,398.41
53.0,209.45,448.7,397.59
54.0,213.4,449.52,396.77
55.0,217.35,449.72,395.12
56.0,221.31,450.75,393.28
57.0,225.26,452.39,392.25
58.0,229.21,452.39,392.45
59.0,233.16,453.01,392.87
60.0,237.11,453.42,392.66
61.0,241.07,453.83,391.43
62.0,245.02,454.03,390.2
63.0,248.97,455.06,390.2
64.0,252.92,455.26,390.61
65.0,256.87,455.88,391.02
66.0,260.83,456.09,393.28
67.0,264.78,455.88,392.87
68.0,268.73,456.5,392.66
69.0,272.68,456.7,392.25
70.0,276.63,456.7,392.25
71.0,280.59,456.91,391.02
72.0,284.54,457.52,390.81
73.0,288.49,457.11,389.17
74.0,292.44,457.52,387.32
75.0,296.39,457.93,386.71
76.0,300.34,457.52,386.71
77.0,304.3,456.7,385.27
78.0,308.25,457.32,381.37
79.0,312.2,456.09,381.17
80.0,316.15,455.47,380.55
81.0,320.1,454.85,380.34
82.0,324.06,453.42,379.73
83.0,328.01,452.39,379.32
84.0,331.96,451.77,378.7
85.0,335.91,450.34,378.29
86.0,339.86,449.52,378.09
87.0,343.82,450.13,378.09
88.0,347.77,449.31,376.86
89.0,351.72,447.67,376.65
90.0,355.67,446.44,374.8
91.0,359.62,446.64,373.57
92.0,363.58,446.85,372.96
93.0,367.53,446.64,371.72
94.0,371.48,444.18,371.72
95.0,375.43,443.56,370.9
96.0,379.38,444.59,370.9
97.0,383.33,444.8,370.7
98.0,387.29,443.77,371.31
