Frame,ms,footscan Z_L,footscan Z_R
0.0,0.0,16.66,24.67
1.0,3.95,16.66,24.67
2.0,7.9,16.66,24.45
3.0,11.86,16.66,24.67
4.0,15.81,16.66,24.45
5.0,19.76,16.66,24.45
6.0,23.71,16.66,24.45
7.0,27.66,16.66,24.67
8.0,31.62,16.66,24.88
9.0,35.57,16.66,25.1
10.0,39.52,16.66,25.32
11.0,43.47,16.66,25.32
12.0,47.42,16.66,25.53
13.0,51.37,16.66,25.96
14.0,55.33,16.66,26.18
15.0,59.28,16.66,26.4
16.0,63.23,16.66,26.4
17.0,67.18,16.66,26.4
18.0,71.13,16.66,26.61
19.0,75.09,16.66,26.61
20.0,79.04,16.66,26.61
21.0,82.99,16.66,26.61
22.0,86.94,16.66,26.83
23.0,90.89,16.66,26.83
24.0,94.85,16.66,26.18
25.0,98.8,16.66,26.18
26.0,102.75,16.66,26.18
27.0,106.7,16.66,26.18
28.0,110.65,16.66,26.18
29.0,114.61,16.66,26.18
30.0,118.56,16.66,26.4
31.0,122.51,16.66,26.4
32.0,126.46,16.66,26.61
33.0,130.41,16.66,26.61
34.0,134.36,16.66,26.61
35.0,138.32,16.66,26.61
36.0,142.27,16.66,26.61
37.0,146.22,16.66,26.61
38.0,150.17,16.66,26.4
39.0,154.12,16.66,26.83
40.0,158.08,16.66,26.61
41.0,162.03,16.66,27.05
42.0,165.98,16.66,26.83
43.0,169.93,16.66,26.83
44.0,173.88,16.66,26.83
45.0,177.84,16.66,26.83
46.0,181.79,16.66,26.83
47.0,185.74,16.66,27.05
48.0,189.69,16.66,26.4
49.0,193.64,16.66,26.4
50.0,197.6,16.66,26.61
51.0,201.55,16.66,26.83
52.0,205.5,16.66,26.61
53.0,209.45,16.44,26.61
54.0,213.4,16.44,26.61
55.0,217.35,16.44,26.61
56.0,221.31,16.66,26.4
57.0,225.26,16.66,26.4
58.0,229.21,16.66,26.4
59.0,233.16,16.66,26.4
60.0,237.11,16.66,26.4
61.0,241.07,16.66,26.4
62.0,245.02,16.66,26.4
63.0,248.97,16.66,26.4
64.0,252.92,16.66,26.4
