Frame,ms,footscan Z_L,footscan Z_R
0.0,0.0,41.06,33.42
1.0,3.95,41.06,32.47
2.0,7.9,41.06,32.47
3.0,11.86,41.06,32.28
4.0,15.81,41.06,32.47
5.0,19.76,41.06,32.47
6.0,23.71,41.06,32.09
7.0,27.66,41.06,31.9
8.0,31.62,41.06,31.9
9.0,35.57,41.06,31.71
10.0,39.52,41.06,31.9
11.0,43.47,40.49,32.28
12.0,47.42,40.49,31.9
13.0,51.37,40.68,31.9
14.0,55.33,41.06,32.47
15.0,59.28,41.26,32.85
16.0,63.23,41.06,32.66
17.0,67.18,41.06,32.09
18.0,71.13,41.26,32.09
19.0,75.09,41.26,32.28
20.0,79.04,41.26,31.9
21.0,82.99,41.26,32.66
22.0,86.94,41.26,32.09
23.0,90.89,41.06,31.9
24.0,94.85,41.06,31.9
25.0,98.8,41.06,32.47
26.0,102.75,40.87,31.9
27.0,106.7,40.87,31.9
28.0,110.65,41.26,32.28
29.0,114.61,41.06,32.28
30.0,118.56,41.06,32.85
31.0,122.51,41.06,33.42
32.0,126.46,41.26,33.04
33.0,130.41,41.45,32.09
34.0,134.36,41.26,31.71
35.0,138.32,41.06,31.71
36.0,142.27,41.06,31.9
37.0,146.22,41.06,31.71
38.0,150.17,41.06,31.71
39.0,154.12,41.06,31.9
40.0,158.08,41.06,31.9
41.0,162.03,41.06,31.71
42.0,165.98,41.06,32.28
43.0,169.93,41.26,33.23
44.0,173.88,41.06,33.62
45.0,177.84,41.06,32.66
46.0,181.79,40.87,32.09
47.0,185.74,40.87,32.09
48.0,189.69,40.87,32.28
49.0,193.64,41.06,31.9
50.0,197.6,41.06,31.9
51.0,201.55,41.06,31.9
52.0,205.5,40.87,31.9
53.0,209.45,40.49,31.9
54.0,213.4,40.49,32.28
55.0,217.35,40.87,32.09
56.0,221.31,41.06,32.66
57.0,225.26,41.06,32.47
58.0,229.21,40.68,32.66
59.0,233.16,40.68,32.66
60.0,237.11,40.68,33.23
61.0,241.07,41.06,32.85
62.0,245.02,41.26,32.47
63.0,248.97,41.26,32.47
64.0,252.92,41.06,32.47
65.0,256.87,41.06,32.47
66.0,260.83,40.87,32.47
67.0,264.78,40.49,33.23
68.0,268.73,40.49,32.09
69.0,272.68,40.49,32.47
70.0,276.63,40.87,32.47
71.0,280.59,40.49,32.47
72.0,284.54,40.49,31.9
73.0,288.49,40.68,31.9
74.0,292.44,40.68,31.51
75.0,296.39,40.49,32.09
76.0,300.34,40.87,31.9
77.0,304.3,40.87,31.51
78.0,308.25,40.49,31.32
79.0,312.2,40.68,30.94
80.0,316.15,40.49,30.94
81.0,320.1,40.49,30.94
82.0,324.06,40.49,30.94
83.0,328.01,40.11,30.94
84.0,331.96,39.35,30.94
85.0,335.91,39.15,30.75
86.0,339.86,39.73,30.75
87.0,343.82,39.35,29.99
88.0,347.77,39.35,29.99
89.0,351.72,39.35,29.99
90.0,355.67,39.54,29.8
91.0,359.62,39.15,29.03
92.0,363.58,38.77,28.46
93.0,367.53,38.77,28.27
94.0,371.48,38.39,27.5
95.0,375.43,38.01,27.5
96.0,379.38,38.01,27.5
97.0,383.33,37.24,27.5
98.0,387.29,36.67,27.5
99.0,391.24,36.48,26.93
100.0,395.19,35.53,26.17
101.0,399.14,35.33,25.59
102.0,403.09,34.57,25.02
