Frame,ms,footscan Z_L,footscan Z_R
0.0,0.0,25.31,23.48
1.0,3.95,25.31,23.48
2.0,7.9,25.31,23.48
3.0,11.86,25.31,23.48
4.0,15.81,25.31,23.48
5.0,19.76,25.31,23.48
6.0,23.71,25.31,23.48
7.0,27.66,25.1,23.48
8.0,31.62,25.1,23.48
9.0,35.57,25.1,23.48
10.0,39.52,25.1,23.48
11.0,43.47,25.1,23.48
12.0,47.42,25.1,23.48
13.0,51.37,25.1,23.48
14.0,55.33,25.31,23.28
15.0,59.28,25.31,23.28
16.0,63.23,25.1,23.28
17.0,67.18,25.1,23.28
18.0,71.13,25.1,23.28
19.0,75.09,25.1,23.48
20.0,79.04,25.1,23.48
21.0,82.99,25.1,23.48
22.0,86.94,25.1,23.48
23.0,90.89,25.1,23.28
24.0,94.85,25.1,23.28
25.0,98.8,25.1,23.28
26.0,102.75,25.31,23.48
27.0,106.7,25.31,22.67
28.0,110.65,25.31,22.47
29.0,114.61,25.31,22.47
30.0,118.56,25.31,22.47
31.0,122.51,25.1,22.47
32.0,126.46,25.1,21.86
33.0,130.41,25.1,21.86
34.0,134.36,25.1,21.86
35.0,138.32,25.1,21.86
36.0,142.27,25.31,21.86
37.0,146.22,25.31,21.66
38.0,150.17,25.31,21.66
39.0,154.12,25.31,21.26
40.0,158.08,25.31,21.05
41.0,162.03,25.1,21.05
42.0,165.98,25.1,20.65
43.0,169.93,25.1,20.45
44.0,173.88,24.7,20.45
45.0,177.84,24.5,20.45
46.0,181.79,24.7,20.04
47.0,185.74,24.7,19.44
48.0,189.69,24.7,18.42
49.0,193.64,24.7,17.61
50.0,197.6,23.69,17.61
51.0,201.55,22.88,17.01
52.0,205.5,22.27,15.59
53.0,209.45,21.05,15.18
54.0,213.4,20.85,14.78
55.0,217.35,20.04,14.78
56.0,221.31,19.44,14.17
57.0,225.26,19.44,13.56
58.0,229.21,18.63,12.75
59.0,233.16,18.22,12.55
60.0,237.11,17.82,11.54
61.0,241.07,17.82,11.54
62.0,245.02,17.21,10.93
63.0,248.97,17.21,10.53
64.0,252.92,16.8,9.92
65.0,256.87,16.2,8.91
66.0,260.83,15.39,8.1
67.0,264.78,15.39,7.9
68.0,268.73,15.39,7.9
69.0,272.68,14.78,7.9
70.0,276.63,14.58,7.69
71.0,280.59,14.58,7.29
72.0,284.54,14.17,7.29
73.0,288.49,13.97,7.69
