Frame,ms,footscan Z_L,footscan Z_R
0.0,0.0,2.67,0.21
1.0,3.95,3.28,0.21
2.0,7.9,3.28,0.21
3.0,11.86,3.28,0.41
4.0,15.81,3.9,0.41
5.0,19.76,4.72,0.41
6.0,23.71,6.57,0.82
7.0,27.66,12.93,1.23
8.0,31.62,20.53,1.85
9.0,35.57,30.58,1.85
10.0,39.52,37.97,2.26
11.0,43.47,42.08,2.87
12.0,47.42,43.93,3.69
13.0,51.37,43.1,4.93
14.0,55.33,42.49,8.83
15.0,59.28,40.44,21.14
16.0,63.23,39.82,45.77
17.0,67.18,40.85,74.51
18.0,71.13,45.36,105.09
19.0,75.09,58.29,127.67
20.0,79.04,79.02,139.37
21.0,82.99,108.99,143.27
22.0,86.94,138.55,146.97
23.0,90.89,161.13,154.35
24.0,94.85,183.71,164.0
25.0,98.8,201.77,174.68
26.0,102.75,226.4,184.32
27.0,106.7,248.98,198.49
28.0,110.65,270.94,213.88
29.0,114.61,295.37,231.12
30.0,118.56,318.56,250.21
31.0,122.51,345.25,270.12
32.0,126.46,367.21,287.16
33.0,130.41,388.76,304.6
34.0,134.36,406.82,319.18
35.0,138.32,424.68,335.39
36.0,142.27,440.49,347.3
37.0,146.22,455.67,355.3
38.0,150.17,464.5,367.62
39.0,154.12,477.64,378.09
40.0,158.08,490.77,386.3
41.0,162.03,500.83,393.89
42.0,165.98,507.4,403.95
43.0,169.93,515.4,410.52
44.0,173.88,522.79,419.14
45.0,177.84,529.98,425.91
46.0,181.79,533.06,431.66
47.0,185.74,539.01,436.17
48.0,189.69,544.96,442.33
49.0,193.64,550.71,446.44
50.0,197.6,556.05,453.83
51.0,201.55,558.3,454.24
52.0,205.5,562.0,459.16
53.0,209.45,565.69,461.22
54.0,213.4,569.39,462.65
55.0,217.35,574.93,464.91
56.0,221.31,576.98,465.94
57.0,225.26,577.19,469.02
58.0,229.21,578.83,473.53
59.0,233.16,581.5,475.17
60.0,237.11,584.58,476.82
