Frame,ms,footscan Z_L,footscan Z_R
0.0,0.0,19.69,19.91
1.0,3.95,19.69,19.91
2.0,7.9,19.47,19.91
3.0,11.86,19.47,20.12
4.0,15.81,19.47,20.12
5.0,19.76,19.47,20.12
6.0,23.71,19.47,20.12
7.0,27.66,19.47,20.12
8.0,31.62,19.47,20.12
9.0,35.57,19.47,20.12
10.0,39.52,19.47,20.12
11.0,43.47,19.69,20.12
12.0,47.42,19.26,20.12
13.0,51.37,19.26,20.12
14.0,55.33,19.26,20.12
15.0,59.28,19.47,20.12
16.0,63.23,19.69,20.12
17.0,67.18,19.69,19.91
18.0,71.13,19.69,19.91
19.0,75.09,19.47,19.91
20.0,79.04,19.47,20.12
21.0,82.99,19.47,19.91
22.0,86.94,19.47,19.91
23.0,90.89,19.47,19.91
24.0,94.85,19.47,20.12
25.0,98.8,19.47,20.12
26.0,102.75,19.47,20.12
27.0,106.7,19.47,20.12
28.0,110.65,19.47,19.91
29.0,114.61,19.47,19.91
30.0,118.56,19.47,19.91
31.0,122.51,19.47,19.91
32.0,126.46,19.47,19.91
33.0,130.41,19.47,19.91
34.0,134.36,19.47,19.91
35.0,138.32,19.47,20.12
36.0,142.27,19.47,20.12
37.0,146.22,19.47,20.12
38.0,150.17,19.47,19.91
39.0,154.12,19.47,19.91
40.0,158.08,19.47,19.91
41.0,162.03,19.47,20.12
42.0,165.98,19.47,19.91
43.0,169.93,19.47,19.91
44.0,173.88,19.47,19.91
45.0,177.84,19.47,19.91
46.0,181.79,19.47,19.91
47.0,185.74,19.47,19.91
48.0,189.69,19.47,19.91
49.0,193.64,19.47,19.91
50.0,197.6,19.47,19.91
51.0,201.55,19.47,20.12
52.0,205.5,19.47,20.12
53.0,209.45,19.47,19.91
54.0,213.4,19.47,19.91
55.0,217.35,19.47,19.91
56.0,221.31,19.47,20.12
57.0,225.26,19.47,20.12
58.0,229.21,19.47,20.12
59.0,233.16,19.47,20.12
60.0,237.11,19.47,20.12
61.0,241.07,19.47,20.12
62.0,245.02,19.47,20.12
63.0,248.97,19.47,20.12
64.0,252.92,19.69,20.12
65.0,256.87,19.47,20.12
66.0,260.83,19.47,20.12
67.0,264.78,19.47,20.12
68.0,268.73,19.47,20.12
69.0,272.68,19.47,20.12
70.0,276.63,19.47,20.12
71.0,280.59,19.26,20.12
72.0,284.54,18.82,19.91
73.0,288.49,18.39,19.91
74.0,292.44,18.39,19.91
75.0,296.39,18.17,19.91
76.0,300.34,18.17,20.12
77.0,304.3,18.17,20.12
78.0,308.25,18.17,19.91
79.0,312.2,18.17,19.69
80.0,316.15,18.17,19.69
81.0,320.1,18.61,19.91
82.0,324.06,18.39,20.12
83.0,328.01,18.39,20.12
84.0,331.96,18.39,20.12
85.0,335.91,18.39,20.12
86.0,339.86,18.39,20.12
87.0,343.82,18.39,20.12
88.0,347.77,18.82,20.12
89.0,351.72,18.82,20.12
90.0,355.67,19.04,20.12
91.0,359.62,18.82,20.12
92.0,363.58,18.82,20.12
93.0,367.53,18.82,20.12
94.0,371.48,19.04,20.12
95.0,375.43,19.04,19.91
96.0,379.38,19.04,19.91
97.0,383.33,19.04,19.91
98.0,387.29,19.26,20.12
99.0,391.24,19.26,20.34
100.0,395.19,19.26,20.34
101.0,399.14,19.26,20.34
102.0,403.09,19.26,20.34
103.0,407.05,19.26,20.34
104.0,411.0,19.26,20.34
105.0,414.95,19.26,20.34
106.0,418.9,19.26,20.34
107.0,422.85,19.26,20.34
108.0,426.81,19.26,20.34
109.0,430.76,19.26,20.34
110.0,434.71,19.04,20.34
111.0,438.66,18.82,20.12
112.0,442.61,18.82,20.12
113.0,446.57,18.82,20.12
114.0,450.52,18.82,20.34
115.0,454.47,19.04,20.34
116.0,458.42,18.82,20.12
117.0,462.37,18.82,20.12
118.0,466.32,19.04,20.12
119.0,470.28,19.04,20.34
120.0,474.23,19.04,20.34
121.0,478.18,19.04,20.34
122.0,482.13,18.61,20.12
123.0,486.08,18.61,20.12
124.0,490.04,18.61,20.12
125.0,493.99,18.61,20.12
126.0,497.94,18.61,20.12
127.0,501.89,19.04,19.91
128.0,505.84,19.26,19.91
129.0,509.8,19.26,19.91
130.0,513.75,19.26,19.69
131.0,517.7,19.04,19.47
132.0,521.65,19.04,19.47
133.0,525.6,18.61,19.47
134.0,529.56,18.17,19.47
135.0,533.51,18.17,19.47
136.0,537.46,17.96,19.47
137.0,541.41,17.74,19.47
138.0,545.36,17.53,19.47
139.0,549.31,17.09,19.47
140.0,553.27,17.09,19.47
141.0,557.22,17.09,19.47
142.0,561.17,16.66,19.47
143.0,565.12,16.66,18.82
144.0,569.07,16.66,18.61
145.0,573.03,16.01,18.61
146.0,576.98,15.58,18.39
147.0,580.93,15.58,17.74
148.0,584.88,15.36,17.53
149.0,588.83,15.15,17.74
150.0,592.79,15.15,17.53
151.0,596.74,14.93,17.53
152.0,600.69,14.93,17.53
153.0,604.64,14.93,17.31
154.0,608.59,14.71,16.88
155.0,612.55,14.5,16.66
156.0,616.5,14.5,16.66
157.0,620.45,14.5,16.23
158.0,624.4,14.28,15.36
159.0,628.35,14.06,15.36
160.0,632.3,13.85,15.15
161.0,636.26,13.85,15.15
162.0,640.21,13.85,14.5
163.0,644.16,13.63,14.5
164.0,648.11,13.41,14.06
165.0,652.06,13.2,14.06
166.0,656.02,12.55,13.63
167.0,659.97,12.12,12.98
168.0,663.92,11.68,12.33
169.0,667.87,11.03,12.12
170.0,671.82,10.6,11.47
171.0,675.78,10.39,11.03
172.0,679.73,10.39,10.6
173.0,683.68,10.17,10.17
174.0,687.63,9.95,9.95
175.0,691.58,9.74,9.95
176.0,695.54,9.09,9.95
177.0,699.49,9.09,9.3
178.0,703.44,8.44,9.09
179.0,707.39,8.22,9.09
180.0,711.34,8.01,9.09
181.0,715.29,7.79,9.09
182.0,719.25,7.57,8.87
183.0,723.2,7.36,9.3
184.0,727.15,7.36,9.09
185.0,731.1,7.36,8.87
186.0,735.05,7.57,8.87
187.0,739.01,7.57,8.87
188.0,742.96,7.57,9.09
189.0,746.91,7.57,9.09
190.0,750.86,7.36,9.09
191.0,754.81,7.36,8.87
192.0,758.77,7.36,8.65
193.0,762.72,7.57,8.44
194.0,766.67,7.57,8.44
195.0,770.62,7.57,8.44
196.0,774.57,7.79,8.01
197.0,778.53,7.79,7.79
198.0,782.48,7.79,7.79
199.0,786.43,7.79,6.71
200.0,790.38,7.79,6.92
201.0,794.33,7.57,6.71
202.0,798.28,7.57,6.49
203.0,802.24,7.57,6.49
204.0,806.19,7.57,6.49
205.0,810.14,7.57,6.71
206.0,814.09,6.71,6.71
207.0,818.04,6.71,6.71
208.0,822.0,6.71,6.71
209.0,825.95,6.49,6.49
210.0,829.9,6.49,6.27
211.0,833.85,6.49,6.06
212.0,837.8,6.27,5.63
213.0,841.76,6.27,5.41
214.0,845.71,6.27,5.19
215.0,849.66,6.27,5.41
216.0,853.61,6.27,5.41
217.0,857.56,6.27,4.98
218.0,861.52,6.27,4.98
219.0,865.47,6.27,4.98
220.0,869.42,6.49,4.98
221.0,873.37,6.49,4.98
222.0,877.32,6.27,4.98
223.0,881.27,5.84,5.19
224.0,885.23,5.84,5.19
225.0,889.18,5.84,5.19
226.0,893.13,6.06,5.19
227.0,897.08,5.63,5.19
228.0,901.03,5.84,5.19
229.0,904.99,5.63,5.19
230.0,908.94,5.63,5.41
231.0,912.89,5.84,5.41
232.0,916.84,5.84,5.41
