Frame,ms,footscan Z_L,footscan Z_R
0.0,0.0,24.72,20.63
1.0,3.95,23.79,20.63
2.0,7.9,23.79,20.63
3.0,11.86,23.79,20.63
4.0,15.81,24.72,20.63
5.0,19.76,24.72,20.63
6.0,23.71,23.97,20.63
7.0,27.66,24.16,20.63
8.0,31.62,23.79,20.63
9.0,35.57,24.35,20.63
10.0,39.52,23.79,20.63
11.0,43.47,23.79,20.63
12.0,47.42,23.79,20.63
13.0,51.37,23.79,20.63
14.0,55.33,23.6,20.44
15.0,59.28,23.6,20.26
16.0,63.23,23.6,20.07
17.0,67.18,23.6,20.07
18.0,71.13,23.6,20.07
19.0,75.09,23.6,20.07
20.0,79.04,23.42,19.7
21.0,82.99,23.42,19.7
22.0,86.94,22.86,19.33
23.0,90.89,22.86,19.33
24.0,94.85,22.86,19.33
25.0,98.8,22.67,19.33
26.0,102.75,21.74,19.33
27.0,106.7,21.56,19.14
28.0,110.65,21.56,18.96
29.0,114.61,21.37,18.96
30.0,118.56,21.0,18.96
31.0,122.51,20.26,18.96
32.0,126.46,20.26,18.96
33.0,130.41,19.89,18.96
34.0,134.36,19.89,18.96
35.0,138.32,19.7,18.4
36.0,142.27,19.7,18.4
37.0,146.22,19.33,18.21
38.0,150.17,18.96,18.21
39.0,154.12,17.84,17.47
40.0,158.08,17.84,16.91
41.0,162.03,17.84,16.54
42.0,165.98,17.66,16.35
43.0,169.93,16.91,15.61
44.0,173.88,16.91,15.42
45.0,177.84,16.91,15.05
46.0,181.79,16.35,14.87
47.0,185.74,16.17,14.87
48.0,189.69,15.98,14.5
49.0,193.64,15.98,13.19
50.0,197.6,15.98,12.45
51.0,201.55,15.98,12.45
52.0,205.5,15.61,12.45
53.0,209.45,15.24,12.45
54.0,213.4,14.31,12.27
55.0,217.35,14.12,11.71
56.0,221.31,13.57,11.34
57.0,225.26,13.57,11.15
58.0,229.21,13.57,10.96
59.0,233.16,13.57,10.59
60.0,237.11,13.38,10.59
61.0,241.07,13.38,10.59
62.0,245.02,13.19,10.78
63.0,248.97,13.19,10.41
64.0,252.92,13.01,10.22
65.0,256.87,12.82,10.22
66.0,260.83,12.27,9.85
67.0,264.78,11.89,9.85
68.0,268.73,11.34,9.85
69.0,272.68,11.34,9.85
70.0,276.63,10.96,9.85
71.0,280.59,10.96,9.85
72.0,284.54,10.96,9.66
73.0,288.49,10.78,9.48
74.0,292.44,10.78,9.29
75.0,296.39,10.59,8.92
76.0,300.34,10.59,8.92
77.0,304.3,10.59,8.73
78.0,308.25,10.41,8.73
79.0,312.2,10.04,8.55
80.0,316.15,10.04,7.99
81.0,320.1,9.85,7.81
82.0,324.06,9.85,7.43
83.0,328.01,9.85,7.43
84.0,331.96,9.29,7.25
85.0,335.91,8.55,7.25
86.0,339.86,7.62,6.32
87.0,343.82,7.62,5.76
88.0,347.77,7.43,5.76
89.0,351.72,7.43,5.39
90.0,355.67,7.06,5.39
91.0,359.62,7.06,5.02
92.0,363.58,7.06,4.27
93.0,367.53,7.06,4.27
94.0,371.48,7.06,4.27
95.0,375.43,7.06,4.27
96.0,379.38,7.06,4.27
97.0,383.33,7.06,4.09
98.0,387.29,7.06,4.09
99.0,391.24,7.25,3.53
100.0,395.19,7.25,3.35
101.0,399.14,7.25,3.35
102.0,403.09,7.25,3.35
103.0,407.05,7.25,3.35
104.0,411.0,7.25,2.6
105.0,414.95,7.25,2.6
106.0,418.9,7.25,2.6
107.0,422.85,7.06,2.79
108.0,426.81,7.06,2.6
109.0,430.76,7.25,2.6
110.0,434.71,7.43,2.6
111.0,438.66,7.43,2.42
112.0,442.61,7.43,2.42
113.0,446.57,7.43,2.42
114.0,450.52,7.43,2.42
115.0,454.47,7.43,2.42
116.0,458.42,7.43,2.42
117.0,462.37,7.43,2.42
118.0,466.32,7.43,2.23
119.0,470.28,7.43,2.23
120.0,474.23,7.81,2.42
121.0,478.18,8.55,2.42
122.0,482.13,8.92,2.42
123.0,486.08,9.66,2.6
124.0,490.04,10.04,2.6
125.0,493.99,10.04,2.6
126.0,497.94,10.59,2.79
127.0,501.89,10.96,2.97
128.0,505.84,11.15,3.53
129.0,509.8,12.64,3.72
130.0,513.75,12.82,3.72
131.0,517.7,13.38,4.46
132.0,521.65,13.75,4.83
133.0,525.6,13.75,5.2
134.0,529.56,14.31,6.88
