Frame,ms,footscan Z_L,footscan Z_R
0.0,0.0,59.12,73.69
1.0,3.95,59.12,73.89
2.0,7.9,58.91,73.89
3.0,11.86,58.91,73.69
4.0,15.81,58.91,73.49
5.0,19.76,58.71,73.69
6.0,23.71,58.71,73.89
7.0,27.66,58.51,73.69
8.0,31.62,58.51,73.69
9.0,35.57,58.1,73.69
10.0,39.52,58.31,73.89
11.0,43.47,58.1,73.69
12.0,47.42,58.51,73.69
13.0,51.37,58.51,73.69
14.0,55.33,58.51,72.88
15.0,59.28,58.71,72.88
16.0,63.23,58.51,72.68
17.0,67.18,57.9,72.88
18.0,71.13,57.9,72.68
19.0,75.09,57.9,72.48
20.0,79.04,58.31,72.27
21.0,82.99,58.31,71.67
22.0,86.94,58.31,71.67
23.0,90.89,58.31,71.67
24.0,94.85,57.9,71.46
25.0,98.8,57.9,71.06
26.0,102.75,57.9,70.25
27.0,106.7,58.31,69.85
28.0,110.65,58.1,69.85
29.0,114.61,58.1,69.85
30.0,118.56,57.7,69.85
31.0,122.51,57.7,69.64
32.0,126.46,57.7,69.04
33.0,130.41,57.29,68.02
34.0,134.36,57.29,67.42
35.0,138.32,57.09,67.01
36.0,142.27,57.09,65.59
37.0,146.22,56.69,63.97
38.0,150.17,56.28,63.77
39.0,154.12,55.07,63.16
40.0,158.08,54.05,62.56
41.0,162.03,53.04,62.56
42.0,165.98,52.23,62.15
43.0,169.93,51.83,59.93
44.0,173.88,51.62,59.32
45.0,177.84,51.42,57.7
46.0,181.79,50.41,56.48
47.0,185.74,48.99,55.27
48.0,189.69,48.39,54.05
49.0,193.64,46.97,53.04
50.0,197.6,45.35,52.84
51.0,201.55,43.73,52.03
52.0,205.5,42.92,51.42
53.0,209.45,42.11,50.41
54.0,213.4,41.5,48.99
55.0,217.35,40.89,47.58
56.0,221.31,40.89,47.17
57.0,225.26,40.09,46.56
58.0,229.21,38.47,44.74
59.0,233.16,37.66,43.53
60.0,237.11,37.66,41.3
61.0,241.07,36.64,41.1
62.0,245.02,35.43,40.69
63.0,248.97,34.82,40.09
64.0,252.92,34.62,39.28
65.0,256.87,33.61,38.47
66.0,260.83,31.78,35.83
67.0,264.78,31.18,35.02
68.0,268.73,30.97,34.21
69.0,272.68,30.97,32.8
70.0,276.63,29.76,31.58
71.0,280.59,28.95,29.76
72.0,284.54,28.95,29.36
73.0,288.49,28.14,28.14
74.0,292.44,27.53,27.94
75.0,296.39,26.72,27.13
76.0,300.34,26.32,25.71
77.0,304.3,25.91,24.7
78.0,308.25,25.51,24.5
79.0,312.2,25.51,23.89
80.0,316.15,25.31,23.48
81.0,320.1,24.9,23.08
82.0,324.06,23.69,23.08
83.0,328.01,22.27,23.08
84.0,331.96,22.07,23.08
85.0,335.91,22.07,22.47
86.0,339.86,21.86,22.47
87.0,343.82,21.86,22.07
88.0,347.77,21.66,22.07
89.0,351.72,21.26,21.66
90.0,355.67,21.26,20.65
91.0,359.62,20.85,20.65
92.0,363.58,20.85,21.05
93.0,367.53,21.05,21.05
94.0,371.48,20.85,21.05
95.0,375.43,21.26,21.26
96.0,379.38,21.26,21.26
97.0,383.33,21.26,21.05
98.0,387.29,21.26,21.05
99.0,391.24,21.26,21.05
100.0,395.19,21.26,21.05
101.0,399.14,21.26,21.05
102.0,403.09,21.05,21.05
103.0,407.05,21.05,21.05
104.0,411.0,21.05,21.05
105.0,414.95,21.05,21.05
106.0,418.9,21.26,21.05
107.0,422.85,21.26,21.46
108.0,426.81,21.66,21.46
109.0,430.76,21.26,21.46
110.0,434.71,21.26,21.86
111.0,438.66,22.27,21.86
112.0,442.61,22.27,21.86
113.0,446.57,22.67,21.86
114.0,450.52,22.88,22.07
115.0,454.47,22.67,22.07
116.0,458.42,23.48,22.07
117.0,462.37,23.69,22.47
118.0,466.32,24.5,22.67
119.0,470.28,24.5,22.67
120.0,474.23,25.1,22.67
121.0,478.18,25.1,22.47
122.0,482.13,25.31,22.47
123.0,486.08,25.31,22.47
124.0,490.04,25.31,22.88
125.0,493.99,25.51,23.08
126.0,497.94,25.71,23.08
127.0,501.89,25.91,23.28
128.0,505.84,26.72,23.28
129.0,509.8,27.33,23.28
130.0,513.75,27.53,23.28
131.0,517.7,27.74,23.89
132.0,521.65,28.14,24.09
133.0,525.6,28.14,24.09
134.0,529.56,28.55,24.29
135.0,533.51,29.15,24.9
136.0,537.46,29.76,25.91
137.0,541.41,30.77,26.52
138.0,545.36,30.77,28.14
139.0,549.31,31.78,28.14
140.0,553.27,32.39,28.75
141.0,557.22,33.0,29.15
142.0,561.17,33.61,29.76
143.0,565.12,34.21,29.96
144.0,569.07,34.82,30.17
145.0,573.03,35.63,31.58
146.0,576.98,36.24,31.78
147.0,580.93,37.86,33.0
148.0,584.88,39.28,35.23
149.0,588.83,40.09,36.04
150.0,592.79,40.69,37.25
151.0,596.74,41.1,38.47
152.0,600.69,42.51,38.67
153.0,604.64,46.36,40.49
154.0,608.59,48.99,42.31
155.0,612.55,50.21,43.53
156.0,616.5,52.03,45.75
