Frame,ms,footscan Z_L,footscan Z_R
0.0,0.0,440.49,541.68
1.0,3.95,442.95,543.53
2.0,7.9,447.26,544.35
3.0,11.86,448.9,544.96
4.0,15.81,451.57,547.43
5.0,19.76,453.62,548.86
6.0,23.71,455.26,549.27
7.0,27.66,458.34,550.71
8.0,31.62,462.45,551.94
9.0,35.57,462.86,552.35
10.0,39.52,462.86,553.58
11.0,43.47,464.09,554.4
12.0,47.42,464.91,556.46
13.0,51.37,464.91,556.66
14.0,55.33,466.76,557.28
15.0,59.28,468.61,557.48
16.0,63.23,470.66,558.3
17.0,67.18,471.27,559.13
18.0,71.13,472.1,559.95
19.0,75.09,472.3,560.36
20.0,79.04,472.92,561.59
21.0,82.99,470.04,563.85
22.0,86.94,468.61,564.87
23.0,90.89,470.25,564.87
24.0,94.85,470.25,565.9
25.0,98.8,469.84,565.49
26.0,102.75,469.02,567.95
27.0,106.7,468.4,568.36
28.0,110.65,468.2,568.36
29.0,114.61,468.2,568.77
30.0,118.56,467.58,570.21
31.0,122.51,465.32,572.26
32.0,126.46,464.91,571.24
33.0,130.41,463.27,572.47
34.0,134.36,462.45,568.77
35.0,138.32,462.45,568.16
36.0,142.27,462.24,565.69
37.0,146.22,461.63,565.69
38.0,150.17,460.81,566.31
39.0,154.12,459.78,564.46
40.0,158.08,458.75,564.46
41.0,162.03,457.11,561.38
42.0,165.98,456.7,560.36
43.0,169.93,455.88,557.89
44.0,173.88,456.09,556.46
45.0,177.84,456.7,557.89
46.0,181.79,457.32,559.13
47.0,185.74,457.93,556.66
48.0,189.69,458.55,558.92
49.0,193.64,457.52,558.3
50.0,197.6,457.32,558.1
51.0,201.55,458.96,554.81
52.0,205.5,459.99,554.81
53.0,209.45,461.22,552.56
54.0,213.4,461.01,554.2
55.0,217.35,461.63,552.76
56.0,221.31,461.22,549.27
57.0,225.26,460.19,548.45
58.0,229.21,458.55,545.37
59.0,233.16,458.14,541.68
60.0,237.11,456.91,539.01
61.0,241.07,454.44,534.9
62.0,245.02,455.47,529.98
63.0,248.97,452.8,526.49
64.0,252.92,451.16,522.18
65.0,256.87,451.36,515.82
66.0,260.83,450.54,510.48
67.0,264.78,446.85,502.27
68.0,268.73,445.0,497.34
69.0,272.68,443.15,492.42
70.0,276.63,440.69,485.23
71.0,280.59,439.66,480.31
72.0,284.54,437.2,478.46
73.0,288.49,433.51,471.89
74.0,292.44,430.02,464.71
75.0,296.39,427.35,457.52
76.0,300.34,424.06,455.26
77.0,304.3,420.37,451.98
78.0,308.25,414.21,449.52
79.0,312.2,411.54,446.44
80.0,316.15,405.39,442.54
81.0,320.1,405.18,438.84
82.0,324.06,400.25,435.97
83.0,328.01,397.18,434.53
84.0,331.96,394.1,430.43
85.0,335.91,390.61,425.09
86.0,339.86,385.27,420.78
87.0,343.82,379.32,416.68
88.0,347.77,376.86,414.42
89.0,351.72,372.75,408.67
90.0,355.67,368.23,404.36
91.0,359.62,362.49,399.23
92.0,363.58,359.2,394.1
93.0,367.53,353.66,389.17
94.0,371.48,350.17,385.27
95.0,375.43,347.3,379.32
96.0,379.38,342.99,376.44
97.0,383.33,339.91,373.98
98.0,387.29,338.06,367.21
99.0,391.24,332.72,364.13
100.0,395.19,329.65,360.85
101.0,399.14,327.18,360.23
102.0,403.09,324.51,356.33
103.0,407.05,318.56,352.84
104.0,411.0,315.69,350.38
105.0,414.95,312.4,347.5
106.0,418.9,309.33,341.76
107.0,422.85,305.22,339.29
108.0,426.81,301.73,335.39
109.0,430.76,301.32,334.16
110.0,434.71,298.24,329.03
111.0,438.66,294.55,327.39
112.0,442.61,291.67,325.75
113.0,446.57,288.59,324.92
114.0,450.52,285.31,324.72
115.0,454.47,283.05,322.05
116.0,458.42,279.97,322.05
117.0,462.37,278.54,318.97
118.0,466.32,275.66,317.74
119.0,470.28,273.2,319.79
120.0,474.23,271.97,319.59
121.0,478.18,269.3,321.23
122.0,482.13,267.66,322.05
123.0,486.08,267.04,324.92
124.0,490.04,266.84,325.34
125.0,493.99,263.96,325.75
126.0,497.94,263.35,326.77
127.0,501.89,262.73,329.65
128.0,505.84,263.14,331.7
129.0,509.8,262.12,335.8
130.0,513.75,263.14,340.11
131.0,517.7,262.94,346.48
132.0,521.65,263.76,352.63
133.0,525.6,264.58,356.95
134.0,529.56,265.6,363.1
135.0,533.51,266.43,368.64
136.0,537.46,267.66,369.26
137.0,541.41,268.89,374.8
138.0,545.36,271.76,380.76
139.0,549.31,272.79,383.83
140.0,553.27,274.02,391.02
141.0,557.22,276.48,395.12
142.0,561.17,278.54,401.49
143.0,565.12,280.59,405.18
144.0,569.07,281.82,408.88
145.0,573.03,285.1,413.19
146.0,576.98,288.18,416.47
147.0,580.93,288.18,423.04
148.0,584.88,288.59,427.55
149.0,588.83,291.26,431.04
150.0,592.79,292.08,436.17
151.0,596.74,291.88,443.15
152.0,600.69,294.75,449.52
153.0,604.64,299.47,457.73
154.0,608.59,299.68,463.88
155.0,612.55,301.11,469.63
156.0,616.5,302.76,473.12
157.0,620.45,303.17,476.61
158.0,624.4,304.81,481.33
159.0,628.35,305.84,485.85
160.0,632.3,307.07,491.8
161.0,636.26,306.45,495.08
162.0,640.21,307.89,498.98
163.0,644.16,307.89,502.88
164.0,648.11,306.66,508.02
165.0,652.06,307.48,511.5
166.0,656.02,309.12,514.99
167.0,659.97,309.74,515.82
168.0,663.92,310.35,518.89
169.0,667.87,310.97,521.36
170.0,671.82,311.38,523.62
171.0,675.78,311.17,527.72
172.0,679.73,310.35,528.75
173.0,683.68,310.97,530.59
174.0,687.63,313.02,530.59
175.0,691.58,314.05,532.65
176.0,695.54,315.69,532.85
177.0,699.49,317.74,533.26
178.0,703.44,318.97,534.9
179.0,707.39,320.0,535.52
180.0,711.34,319.18,536.55
181.0,715.29,321.02,537.16
182.0,719.25,322.26,537.37
183.0,723.2,324.1,536.14
184.0,727.15,323.9,536.14
185.0,731.1,324.31,535.32
186.0,735.05,324.31,532.44
187.0,739.01,325.13,530.18
188.0,742.96,325.75,529.57
189.0,746.91,326.57,527.31
190.0,750.86,326.98,527.52
191.0,754.81,327.39,526.08
192.0,758.77,327.59,525.05
193.0,762.72,329.65,523.62
194.0,766.67,330.47,523.62
195.0,770.62,332.52,523.82
196.0,774.57,333.55,523.62
197.0,778.53,333.34,521.56
198.0,782.48,333.55,520.13
199.0,786.43,334.78,517.05
200.0,790.38,336.62,515.82
201.0,794.33,338.88,515.61
202.0,798.28,340.11,515.4
203.0,802.24,339.29,515.2
204.0,806.19,341.14,514.58
205.0,810.14,341.55,514.38
206.0,814.09,344.83,513.97
207.0,818.04,347.91,512.12
208.0,822.0,351.61,511.71
209.0,825.95,354.28,510.48
210.0,829.9,356.95,510.48
211.0,833.85,360.64,509.45
212.0,837.8,363.1,507.61
213.0,841.76,365.57,506.78
214.0,845.71,367.41,507.4
215.0,849.66,370.49,505.96
216.0,853.61,373.37,504.94
217.0,857.56,376.65,505.35
218.0,861.52,379.73,505.55
219.0,865.47,383.83,504.73
220.0,869.42,387.12,504.32
221.0,873.37,390.4,502.27
222.0,877.32,391.84,501.45
223.0,881.27,394.1,500.42
224.0,885.23,396.35,499.19
225.0,889.18,398.41,498.37
226.0,893.13,402.72,497.14
227.0,897.08,403.95,496.73
228.0,901.03,406.62,494.88
229.0,904.99,409.9,493.24
230.0,908.94,412.98,491.59
231.0,912.89,415.03,490.98
232.0,916.84,416.68,489.95
