Frame,ms,footscan Z_L,footscan Z_R
0.0,0.0,28.99,60.58
1.0,3.95,28.99,60.8
2.0,7.9,28.99,60.8
3.0,11.86,28.56,60.8
4.0,15.81,28.56,61.02
5.0,19.76,28.56,61.02
6.0,23.71,28.56,61.02
7.0,27.66,28.56,61.02
8.0,31.62,28.56,61.02
9.0,35.57,28.56,61.02
10.0,39.52,28.56,61.02
11.0,43.47,28.13,60.58
12.0,47.42,28.13,60.58
13.0,51.37,28.13,60.37
14.0,55.33,28.13,59.93
15.0,59.28,28.13,59.72
16.0,63.23,27.7,59.28
17.0,67.18,27.48,59.28
18.0,71.13,27.26,58.64
19.0,75.09,27.05,58.64
20.0,79.04,27.05,58.42
21.0,82.99,26.61,58.42
22.0,86.94,26.61,58.42
23.0,90.89,26.61,57.55
24.0,94.85,26.83,57.34
25.0,98.8,27.05,57.34
26.0,102.75,27.05,57.34
27.0,106.7,26.61,57.34
28.0,110.65,26.4,57.34
29.0,114.61,26.4,57.34
30.0,118.56,26.4,56.9
31.0,122.51,26.4,56.9
32.0,126.46,26.4,56.9
33.0,130.41,26.4,56.9
34.0,134.36,26.18,56.47
35.0,138.32,26.18,55.39
36.0,142.27,25.53,54.52
37.0,146.22,25.53,54.09
38.0,150.17,25.53,53.66
39.0,154.12,25.53,53.23
40.0,158.08,25.53,52.58
41.0,162.03,25.1,52.58
42.0,165.98,24.67,52.58
43.0,169.93,24.67,52.58
44.0,173.88,24.67,52.58
45.0,177.84,24.67,52.14
46.0,181.79,24.02,51.93
47.0,185.74,23.15,51.5
48.0,189.69,22.72,51.5
49.0,193.64,22.5,51.5
50.0,197.6,22.5,51.28
51.0,201.55,22.5,51.28
52.0,205.5,22.5,51.06
53.0,209.45,21.64,50.41
54.0,213.4,21.42,50.41
55.0,217.35,21.42,50.2
56.0,221.31,21.42,50.2
57.0,225.26,20.99,50.2
58.0,229.21,20.77,49.55
59.0,233.16,20.56,49.12
60.0,237.11,19.47,48.47
61.0,241.07,19.47,48.47
62.0,245.02,18.82,48.47
63.0,248.97,18.82,47.82
64.0,252.92,18.82,47.38
65.0,256.87,18.61,47.38
66.0,260.83,18.61,47.17
67.0,264.78,18.39,46.09
68.0,268.73,17.74,45.65
69.0,272.68,17.74,45.22
70.0,276.63,17.74,45.22
71.0,280.59,17.96,45.0
72.0,284.54,17.96,43.92
73.0,288.49,17.74,43.49
74.0,292.44,17.74,43.06
75.0,296.39,17.74,42.62
76.0,300.34,17.74,42.19
77.0,304.3,17.74,41.54
78.0,308.25,17.74,41.33
79.0,312.2,17.74,41.33
80.0,316.15,17.74,40.89
81.0,320.1,17.74,40.89
82.0,324.06,17.74,40.89
83.0,328.01,17.74,40.89
84.0,331.96,17.74,41.33
85.0,335.91,17.74,42.19
86.0,339.86,17.74,42.19
87.0,343.82,17.74,42.19
88.0,347.77,17.74,42.19
89.0,351.72,17.53,42.19
90.0,355.67,17.53,42.19
91.0,359.62,17.53,41.98
92.0,363.58,17.53,41.98
93.0,367.53,17.31,41.33
94.0,371.48,16.88,40.89
95.0,375.43,16.88,40.68
96.0,379.38,16.44,40.24
97.0,383.33,16.44,40.24
98.0,387.29,16.44,40.24
99.0,391.24,16.44,40.24
100.0,395.19,16.88,40.46
101.0,399.14,16.88,40.46
102.0,403.09,16.88,40.89
103.0,407.05,17.53,40.89
104.0,411.0,17.53,40.89
105.0,414.95,17.53,41.11
106.0,418.9,17.53,41.76
107.0,422.85,17.53,41.76
108.0,426.81,17.53,42.19
109.0,430.76,17.53,42.19
110.0,434.71,17.96,42.62
111.0,438.66,18.17,42.62
112.0,442.61,18.17,42.62
113.0,446.57,18.17,42.41
114.0,450.52,18.17,42.41
115.0,454.47,18.17,42.19
116.0,458.42,18.17,42.19
117.0,462.37,18.17,42.62
118.0,466.32,18.61,42.84
119.0,470.28,18.61,43.06
120.0,474.23,18.61,43.27
121.0,478.18,18.82,43.06
122.0,482.13,19.04,43.06
123.0,486.08,20.12,43.06
