Toe 1_L,Toe 2-5_L,Meta 1_L,Meta 2_L,Meta 3_L,Meta 4_L,Meta 5_L,Midfoot_L,Heel Medial_L,Heel Lateral_L,Sum_L,Calibration Factor_L,Toe 1_R,Toe 2-5_R,Meta 1_R,Meta 2_R,Meta 3_R,Meta 4_R,Meta 5_R,Midfoot_R,Heel Medial_R,Heel Lateral_R,Sum_R,Calibration Factor_R
4.976477,0.865474,0.000000,0.649106,0.216369,1.081843,0.000000,11.467534,0.000000,0.000000,19.256802,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216369,0.000000,0.000000,0.216369,1.000000
4.976477,0.865474,0.000000,0.649106,0.216369,1.081843,0.000000,11.467534,0.000000,0.000000,19.256802,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216369,0.000000,0.000000,0.216369,1.000000
4.976477,0.865474,0.000000,0.649106,0.432737,1.298211,0.000000,11.683902,0.000000,0.000000,19.905908,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216369,0.000000,0.000000,0.216369,1.000000
5.625583,1.298211,0.000000,0.649106,0.432737,1.298211,0.000000,11.900271,0.000000,0.000000,21.204119,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216369,0.000000,0.000000,0.216369,1.000000
5.625583,1.514580,0.000000,0.649106,0.432737,1.298211,0.000000,12.333008,0.000000,0.000000,21.853225,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216369,0.000000,0.000000,0.216369,1.000000
6.058320,1.514580,0.000000,0.649106,0.432737,1.298211,0.000000,12.549377,0.000000,0.000000,22.502331,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216369,0.000000,0.000000,0.216369,1.000000
6.274688,1.514580,0.000000,0.649106,0.432737,1.298211,0.000000,12.549377,0.000000,0.000000,22.718699,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216369,0.000000,0.000000,0.216369,1.000000
6.274688,1.514580,0.000000,0.649106,0.432737,1.298211,0.000000,12.765745,0.000000,0.000000,22.935068,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216369,0.000000,0.000000,0.216369,1.000000
6.274688,1.514580,0.000000,0.865474,0.432737,1.298211,0.000000,12.982114,0.000000,0.000000,23.367805,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216369,0.000000,0.000000,0.216369,1.000000
6.274688,1.514580,0.000000,0.865474,0.432737,1.298211,0.000000,13.631219,0.000000,0.000000,24.016910,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216369,0.000000,0.000000,0.216369,1.000000
6.274688,1.514580,0.000000,0.865474,0.865474,1.298211,0.000000,13.847588,0.000000,0.000000,24.666016,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216369,0.000000,0.000000,0.216369,1.000000
6.274688,1.514580,0.000000,0.865474,0.865474,1.298211,0.000000,14.063957,0.000000,0.000000,24.882385,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216369,0.000000,0.000000,0.216369,1.000000
