Toe 1_L,Toe 2-5_L,Meta 1_L,Meta 2_L,Meta 3_L,Meta 4_L,Meta 5_L,Midfoot_L,Heel Medial_L,Heel Lateral_L,Sum_L,Calibration Factor_L,Toe 1_R,Toe 2-5_R,Meta 1_R,Meta 2_R,Meta 3_R,Meta 4_R,Meta 5_R,Midfoot_R,Heel Medial_R,Heel Lateral_R,Sum_R,Calibration Factor_R
0.381996,0.572993,0.000000,1.718980,3.246962,8.594899,6.684921,0.000000,0.000000,0.000000,21.200750,1.000000,0.000000,0.000000,0.000000,1.527982,4.010953,8.403901,4.774944,0.000000,0.000000,0.000000,18.717780,1.000000
0.381996,0.572993,0.000000,1.718980,3.246962,8.594899,6.684921,0.000000,0.000000,0.000000,21.200750,1.000000,0.000000,0.000000,0.000000,1.909978,4.392948,8.976894,5.538935,0.000000,0.000000,0.000000,20.818755,1.000000
0.381996,0.572993,0.000000,1.718980,3.628957,8.594899,6.684921,0.000000,0.000000,0.000000,21.582746,1.000000,0.000000,0.000000,0.190998,2.100975,4.583946,9.167892,5.920930,0.000000,0.000000,0.000000,21.964741,1.000000
0.381996,0.572993,0.000000,1.718980,4.010953,8.785897,6.875919,0.000000,0.000000,0.000000,22.346737,1.000000,0.000000,0.000000,0.190998,2.100975,4.583946,9.549888,6.302926,0.000000,0.000000,0.000000,22.728732,1.000000
0.381996,0.572993,0.000000,1.718980,4.201951,8.785897,7.448912,0.000000,0.000000,0.000000,23.110728,1.000000,0.000000,0.000000,0.190998,2.291973,4.774944,9.549888,6.302926,0.000000,0.000000,0.000000,23.110728,1.000000
0.381996,0.572993,0.000000,1.718980,4.201951,8.976894,7.448912,0.000000,0.000000,0.000000,23.301726,1.000000,0.000000,0.000000,0.190998,2.673969,4.965942,9.740885,7.066917,0.000000,0.000000,0.000000,24.638710,1.000000
0.572993,0.572993,0.000000,2.100975,4.392948,9.167892,7.448912,0.000000,0.000000,0.000000,24.256714,1.000000,0.000000,0.000000,0.190998,2.673969,4.965942,10.122881,7.066917,0.000000,0.000000,0.000000,25.020705,1.000000
0.763991,0.572993,0.000000,2.100975,4.392948,9.549888,7.639910,0.000000,0.000000,0.000000,25.020705,1.000000,0.000000,0.000000,0.190998,3.246962,5.156939,10.313879,7.448912,0.000000,0.000000,0.000000,26.357690,1.000000
0.763991,0.572993,0.000000,2.291973,4.583946,9.549888,7.639910,0.000000,0.000000,0.000000,25.402701,1.000000,0.000000,0.000000,0.190998,3.246962,5.920930,11.841861,8.212903,0.000000,0.000000,0.000000,29.413654,1.000000
0.954989,0.572993,0.000000,2.673969,4.774944,10.122881,7.830908,0.000000,0.000000,0.000000,26.930683,1.000000,0.000000,0.000000,0.190998,3.246962,6.302926,12.414854,8.403901,0.000000,0.000000,0.000000,30.559640,1.000000
1.145987,0.572993,0.000000,2.864966,5.156939,10.313879,7.830908,0.000000,0.000000,0.000000,27.885672,1.000000,0.000000,0.000000,0.190998,3.628957,7.066917,12.414854,9.167892,0.000000,0.000000,0.000000,32.469618,1.000000
1.145987,0.572993,0.000000,3.437960,5.729933,10.504876,8.212903,0.000000,0.000000,0.000000,29.604651,1.000000,0.000000,0.000000,0.190998,4.201951,7.448912,12.605852,9.740885,0.000000,0.000000,0.000000,34.188597,1.000000
1.145987,0.572993,0.000000,3.437960,5.729933,10.504876,8.594899,0.000000,0.000000,0.000000,29.986647,1.000000,0.000000,0.000000,0.190998,4.201951,7.448912,12.796849,9.931883,0.000000,0.000000,0.000000,34.570593,1.000000
1.718980,0.572993,0.000000,3.437960,5.729933,10.886872,8.785897,0.000000,0.000000,0.000000,31.132633,1.000000,0.000000,0.000000,0.190998,4.201951,7.639910,12.987847,10.886872,0.000000,0.000000,0.000000,35.907577,1.000000
1.718980,0.572993,0.000000,3.628957,6.684921,11.841861,9.167892,0.000000,0.000000,0.000000,33.615604,1.000000,0.000000,0.000000,0.190998,4.392948,7.830908,13.560840,11.268867,0.000000,0.000000,0.000000,37.244561,1.000000
1.909978,1.336984,0.000000,4.010953,6.684921,12.223856,9.931883,0.000000,0.000000,0.000000,36.098575,1.000000,0.000000,0.190998,0.381996,5.347937,8.594899,14.515829,11.459865,0.000000,0.000000,0.000000,40.491523,1.000000
1.909978,1.336984,0.000000,4.010953,6.684921,12.605852,10.122881,0.000000,0.000000,0.000000,36.671568,1.000000,0.000000,0.190998,0.381996,5.920930,8.976894,15.852813,12.605852,0.000000,0.000000,0.000000,43.929483,1.000000
1.909978,1.336984,0.000000,4.201951,7.066917,12.987847,11.077870,0.000000,0.000000,0.000000,38.581546,1.000000,0.000000,0.190998,0.572993,6.493924,9.167892,16.043811,13.369843,0.000000,0.000000,0.000000,45.839460,1.000000
2.482971,1.336984,0.000000,4.583946,7.448912,13.560840,11.841861,0.000000,0.000000,0.000000,41.255514,1.000000,0.000000,0.190998,0.763991,6.684921,11.077870,17.189798,13.751838,0.000000,0.000000,0.000000,49.659415,1.000000
2.864966,1.336984,0.190998,5.538935,8.212903,13.751838,12.987847,0.000000,0.000000,0.000000,44.884471,1.000000,0.000000,0.190998,1.145987,7.066917,11.268867,18.335784,15.470818,0.000000,0.000000,0.000000,53.479370,1.000000
2.864966,1.336984,0.381996,5.729933,8.594899,14.515829,13.560840,0.000000,0.000000,0.000000,46.985447,1.000000,0.000000,0.190998,1.145987,7.448912,11.841861,20.436759,16.616804,0.000000,0.000000,0.000000,57.681321,1.000000
3.437960,1.336984,0.381996,6.111928,8.785897,14.706827,13.560840,0.000000,0.000000,0.000000,48.322431,1.000000,0.000000,0.190998,1.145987,8.212903,12.987847,21.391748,17.953789,0.000000,0.000000,0.000000,61.883271,1.000000
3.437960,1.527982,0.381996,6.302926,8.785897,16.043811,14.706827,0.000000,0.000000,0.000000,51.187397,1.000000,0.000000,0.190998,1.145987,8.976894,13.560840,23.110728,19.672768,0.000000,0.000000,0.000000,66.658215,1.000000
3.437960,1.718980,0.572993,6.684921,10.504876,17.953789,16.616804,0.000000,0.000000,0.000000,57.490323,1.000000,0.000000,0.381996,1.145987,9.167892,13.942836,24.065717,21.391748,0.000000,0.000000,0.000000,70.096174,1.000000
3.437960,1.718980,0.572993,8.021906,10.886872,19.099775,17.953789,0.000000,0.000000,0.000000,61.692273,1.000000,0.000000,0.381996,1.145987,9.931883,15.470818,25.402701,23.110728,0.000000,0.000000,0.000000,75.444111,1.000000
3.628957,1.718980,0.572993,8.976894,11.268867,20.054764,19.481771,0.000000,0.000000,0.000000,65.703226,1.000000,0.000000,0.381996,1.145987,10.695874,15.852813,27.503676,24.829708,0.000000,0.000000,0.000000,80.410053,1.000000
3.819955,1.909978,0.572993,9.549888,12.032858,21.582746,20.818755,0.000000,0.000000,0.000000,70.287172,1.000000,0.000000,0.381996,1.527982,12.032858,16.807802,29.222656,26.166692,0.000000,0.000000,0.000000,86.139986,1.000000
3.819955,1.909978,0.954989,9.931883,12.987847,22.728732,22.537735,0.190998,0.000000,0.000000,75.062116,1.000000,0.000000,0.763991,1.527982,12.223856,18.335784,30.177645,28.076669,0.000000,0.000000,0.000000,91.105927,1.000000
4.201951,2.291973,1.145987,10.695874,13.942836,23.683721,24.256714,0.381996,0.000000,0.000000,80.601051,1.000000,0.000000,0.954989,1.909978,12.987847,19.290773,32.851613,30.559640,0.000000,0.000000,0.000000,98.554839,1.000000
4.774944,2.291973,1.145987,11.650863,15.088822,25.593699,25.975694,0.572993,0.000000,0.000000,87.094974,1.000000,0.000000,1.145987,2.100975,14.133834,20.436759,34.570593,32.278620,0.000000,0.000000,0.000000,104.666767,1.000000
5.156939,2.291973,1.336984,11.841861,15.852813,26.739685,27.885672,1.145987,0.000000,0.000000,92.251914,1.000000,0.000000,1.145987,2.673969,14.897825,21.582746,36.289573,34.188597,0.000000,0.000000,0.000000,110.778695,1.000000
5.156939,2.673969,1.336984,12.605852,16.807802,27.885672,29.604651,1.336984,0.000000,0.000000,97.408853,1.000000,0.000000,1.145987,2.673969,15.088822,22.919730,38.772543,36.289573,0.000000,0.000000,0.000000,116.890623,1.000000
5.347937,2.864966,1.718980,13.178845,17.380795,29.604651,30.941636,2.100975,0.000000,0.000000,103.138785,1.000000,0.000000,1.145987,2.864966,15.661816,24.256714,41.255514,38.390548,0.000000,0.000000,0.000000,123.575545,1.000000
5.347937,2.864966,1.718980,13.751838,18.335784,31.514629,33.615604,2.864966,0.190998,0.000000,110.205702,1.000000,0.000000,1.336984,3.055964,16.807802,25.784696,42.783496,40.873519,0.381996,0.000000,0.000000,131.024457,1.000000
5.347937,2.864966,1.718980,14.324831,19.672768,32.851613,35.716579,4.201951,0.190998,0.000000,116.890623,1.000000,0.000000,1.527982,3.055964,17.380795,27.312678,45.648462,43.356489,0.572993,0.000000,0.000000,138.855365,1.000000
5.347937,2.864966,2.100975,15.279820,20.054764,34.952588,37.626557,5.347937,1.336984,0.381996,125.294524,1.000000,0.000000,1.909978,3.246962,17.953789,28.267667,46.412453,45.266467,0.763991,0.000000,0.000000,143.821306,1.000000
