Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
0.0,0.0,224.255,129.181,986.0,0.000,76.324,129.036,485.0,0.000,131.315,129.321,501.0,0.000,227.173,45.643,362.0,0.000,222.501,83.107,622.0,0.000,69.761,82.315,301.0,0.000,86.964,42.774,184.0,0.000,120.496,48.596,179.0,0.000,137.347,83.848,322.0,0.000
1.0,10.0,224.296,129.187,986.0,0.041,76.320,129.020,485.0,0.016,131.329,129.348,500.0,0.031,227.199,45.676,362.0,0.042,222.552,83.120,622.0,0.052,69.770,82.339,301.0,0.026,86.951,42.776,184.0,0.013,120.559,48.662,178.0,0.091,137.335,83.850,321.0,0.012
2.0,20.0,224.433,129.115,987.0,0.155,76.335,128.960,487.0,0.062,131.346,129.266,500.0,0.083,227.341,45.671,362.0,0.142,222.691,83.120,624.0,0.140,69.810,82.359,302.0,0.044,86.952,42.766,184.0,0.010,120.552,48.670,178.0,0.011,137.349,83.835,322.0,0.021
3.0,30.0,224.403,129.092,987.0,0.038,76.341,128.906,486.0,0.054,131.351,129.272,501.0,0.008,227.219,45.690,362.0,0.123,222.716,83.113,624.0,0.025,69.810,82.371,302.0,0.012,86.995,42.791,184.0,0.050,120.553,48.675,178.0,0.005,137.361,83.809,322.0,0.028
4.0,40.0,224.415,129.115,986.0,0.026,76.329,128.849,486.0,0.058,131.317,129.373,500.0,0.107,227.009,45.664,362.0,0.212,222.854,83.094,623.0,0.139,69.803,82.356,302.0,0.017,86.994,42.801,183.0,0.010,120.497,48.601,179.0,0.092,137.368,83.788,321.0,0.022
5.0,50.0,224.484,129.090,987.0,0.074,76.325,128.799,487.0,0.050,131.316,129.373,500.0,0.001,227.006,45.648,362.0,0.016,222.966,83.082,623.0,0.113,69.807,82.352,303.0,0.006,86.994,42.801,183.0,0.000,120.492,48.569,179.0,0.032,137.374,83.771,321.0,0.019
6.0,60.0,224.593,129.137,985.0,0.118,76.300,128.832,487.0,0.041,131.298,129.434,498.0,0.064,227.222,45.624,362.0,0.217,223.009,83.068,622.0,0.045,69.771,82.267,302.0,0.092,86.951,42.776,184.0,0.050,120.532,48.557,178.0,0.041,137.330,83.826,320.0,0.071
7.0,70.0,224.976,129.249,983.0,0.399,76.311,128.834,488.0,0.012,131.243,129.657,495.0,0.230,227.421,45.616,362.0,0.199,223.495,83.115,620.0,0.489,69.790,82.305,303.0,0.043,86.957,42.773,184.0,0.007,120.485,48.558,178.0,0.047,137.307,83.889,317.0,0.067
8.0,80.0,225.376,129.445,979.0,0.446,76.307,128.822,488.0,0.012,131.208,130.064,491.0,0.408,227.567,45.666,361.0,0.154,224.038,83.184,616.0,0.547,69.789,82.325,303.0,0.020,86.957,42.773,184.0,0.000,120.557,48.664,177.0,0.128,137.273,84.016,313.0,0.131
9.0,90.0,225.751,129.612,976.0,0.410,76.342,128.828,488.0,0.035,131.150,130.398,488.0,0.339,227.673,45.667,362.0,0.106,224.564,83.190,613.0,0.526,69.803,82.324,304.0,0.014,87.025,42.780,184.0,0.069,120.557,48.664,177.0,0.000,137.246,84.039,310.0,0.035
