Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
0.0,0.0,229.128,158.953,1849.0,0.000,61.118,170.201,930.0,0.000,152.486,147.584,920.0,0.000,239.510,62.901,904.0,0.000,219.443,95.071,941.0,0.000,48.479,94.714,412.0,0.000,71.156,67.822,517.0,0.000,138.697,56.330,387.0,0.000,162.734,95.349,529.0,0.000
1.0,10.0,229.248,158.761,1851.0,0.226,61.072,169.813,933.0,0.390,152.457,147.544,919.0,0.049,239.552,62.851,902.0,0.066,219.685,95.056,945.0,0.243,48.456,94.676,415.0,0.045,71.185,67.723,516.0,0.103,138.671,56.338,386.0,0.027,162.688,95.354,529.0,0.047
2.0,20.0,229.314,158.698,1852.0,0.092,61.067,169.760,933.0,0.054,152.461,147.452,918.0,0.092,239.582,62.832,902.0,0.036,219.777,95.002,945.0,0.107,48.465,94.646,416.0,0.031,71.185,67.735,516.0,0.012,138.611,56.269,386.0,0.091,162.725,95.282,529.0,0.081
3.0,30.0,229.359,158.569,1852.0,0.137,61.043,169.564,934.0,0.197,152.470,147.376,918.0,0.077,239.577,62.793,901.0,0.039,219.898,94.974,947.0,0.124,48.475,94.634,418.0,0.015,71.183,67.687,516.0,0.048,138.602,56.243,385.0,0.027,162.733,95.242,529.0,0.041
4.0,40.0,229.491,158.390,1855.0,0.223,60.966,169.215,938.0,0.357,152.455,147.317,917.0,0.060,239.594,62.803,901.0,0.020,220.180,94.884,950.0,0.296,48.427,94.487,421.0,0.155,71.175,67.730,516.0,0.044,138.557,56.202,385.0,0.061,162.734,95.201,529.0,0.041
5.0,50.0,229.485,158.281,1856.0,0.109,60.917,169.112,939.0,0.114,152.462,147.198,917.0,0.119,239.577,62.821,900.0,0.025,220.212,94.853,952.0,0.045,48.427,94.457,423.0,0.030,71.120,67.769,515.0,0.067,138.519,56.188,384.0,0.040,162.743,95.168,530.0,0.034
6.0,60.0,229.505,158.099,1859.0,0.184,60.820,168.864,941.0,0.267,152.470,147.064,918.0,0.134,239.529,62.844,898.0,0.054,220.351,94.833,956.0,0.140,48.426,94.416,425.0,0.041,71.024,67.833,515.0,0.115,138.486,56.153,384.0,0.049,162.740,95.168,531.0,0.003
7.0,70.0,229.555,157.894,1860.0,0.210,60.757,168.579,943.0,0.292,152.471,146.919,918.0,0.144,239.553,62.823,896.0,0.032,220.478,94.813,960.0,0.128,48.409,94.365,428.0,0.053,70.997,67.808,514.0,0.036,138.431,56.127,383.0,0.060,162.735,95.173,532.0,0.007
8.0,80.0,229.632,157.518,1864.0,0.384,60.650,168.097,946.0,0.493,152.544,146.623,918.0,0.305,239.544,62.746,894.0,0.077,220.697,94.738,966.0,0.232,48.356,94.304,432.0,0.081,70.965,67.760,513.0,0.058,138.417,56.009,381.0,0.119,162.803,95.090,534.0,0.108
9.0,90.0,229.654,157.364,1864.0,0.156,60.587,167.850,946.0,0.255,152.548,146.550,918.0,0.074,239.461,62.731,892.0,0.085,220.826,94.652,967.0,0.156,48.328,94.196,434.0,0.111,70.923,67.761,511.0,0.043,138.386,55.980,381.0,0.042,162.826,95.023,533.0,0.071
10.0,100.0,229.674,157.337,1864.0,0.033,60.545,167.807,947.0,0.060,152.542,146.527,917.0,0.023,239.475,62.749,892.0,0.023,220.855,94.608,967.0,0.053,48.280,94.126,434.0,0.085,70.895,67.797,511.0,0.045,138.372,55.968,381.0,0.019,162.824,95.000,533.0,0.023
11.0,110.0,229.722,157.283,1867.0,0.073,60.406,167.694,950.0,0.180,152.517,146.497,917.0,0.040,239.425,62.842,893.0,0.105,221.013,94.557,970.0,0.166,48.240,93.996,437.0,0.136,70.721,67.997,512.0,0.265,138.332,55.904,381.0,0.075,162.803,95.017,533.0,0.027
12.0,120.0,229.782,157.293,1867.0,0.061,60.242,167.656,952.0,0.168,152.493,146.513,915.0,0.029,239.452,62.920,893.0,0.083,221.122,94.482,970.0,0.132,48.109,93.802,438.0,0.234,70.555,68.164,513.0,0.235,138.293,55.841,380.0,0.074,162.799,95.041,532.0,0.025
13.0,130.0,229.838,157.180,1866.0,0.126,60.058,167.538,953.0,0.218,152.479,146.361,913.0,0.153,239.466,63.000,891.0,0.082,221.268,94.417,971.0,0.159,48.039,93.675,440.0,0.146,70.334,68.362,513.0,0.297,138.211,55.733,378.0,0.136,162.801,95.032,531.0,0.009
14.0,140.0,229.906,157.172,1863.0,0.068,59.889,167.408,954.0,0.213,152.424,146.429,909.0,0.088,239.490,63.057,889.0,0.061,221.329,94.308,969.0,0.125,47.825,93.349,440.0,0.390,70.188,68.477,512.0,0.186,138.159,55.688,377.0,0.068,162.759,95.108,529.0,0.086
15.0,150.0,229.821,157.038,1861.0,0.159,59.634,167.237,954.0,0.307,152.408,146.320,907.0,0.111,239.232,63.180,886.0,0.286,221.463,94.266,970.0,0.140,47.747,93.275,442.0,0.108,69.873,68.762,510.0,0.425,138.081,55.599,376.0,0.119,162.763,95.096,528.0,0.012
16.0,160.0,229.946,157.050,1861.0,0.125,59.421,167.074,957.0,0.269,152.342,146.440,904.0,0.137,239.220,63.347,885.0,0.168,221.764,94.237,971.0,0.303,47.629,93.091,445.0,0.219,69.669,69.066,511.0,0.366,138.049,55.559,375.0,0.051,162.697,95.207,526.0,0.129
17.0,170.0,230.081,157.025,1859.0,0.138,59.198,166.932,960.0,0.264,152.275,146.458,900.0,0.069,239.328,63.473,885.0,0.165,221.926,94.078,970.0,0.227,47.438,92.691,447.0,0.443,69.441,69.300,511.0,0.326,137.990,55.488,373.0,0.092,162.631,95.265,523.0,0.088
18.0,180.0,230.406,157.237,1860.0,0.388,59.040,166.956,965.0,0.159,152.168,146.745,894.0,0.306,239.495,63.630,887.0,0.229,222.360,94.043,968.0,0.435,47.368,92.526,450.0,0.179,69.220,69.541,514.0,0.327,137.965,55.472,373.0,0.029,162.548,95.360,518.0,0.126
19.0,190.0,230.934,157.509,1859.0,0.594,58.883,167.071,973.0,0.195,152.160,147.017,886.0,0.272,239.943,63.851,889.0,0.499,222.921,94.029,966.0,0.561,47.305,92.439,453.0,0.108,68.969,69.752,519.0,0.328,138.011,55.595,371.0,0.131,162.564,95.435,512.0,0.077
20.0,200.0,231.309,157.629,1860.0,0.393,58.750,167.120,979.0,0.141,152.105,147.083,881.0,0.086,240.223,63.958,891.0,0.300,223.375,93.918,964.0,0.467,47.191,92.277,456.0,0.199,68.814,69.993,522.0,0.286,137.905,55.434,369.0,0.193,162.616,95.391,508.0,0.068
21.0,210.0,231.548,157.675,1859.0,0.244,58.578,166.998,983.0,0.211,152.050,147.216,876.0,0.144,240.340,64.095,891.0,0.180,223.736,93.908,964.0,0.361,47.105,92.138,459.0,0.163,68.628,70.215,523.0,0.290,137.866,55.402,368.0,0.050,162.572,95.520,505.0,0.136
22.0,220.0,232.171,157.954,1856.0,0.683,58.446,166.945,991.0,0.142,151.938,147.666,866.0,0.463,240.645,64.259,892.0,0.347,224.611,93.926,960.0,0.875,47.085,92.087,464.0,0.055,68.445,70.470,526.0,0.314,137.839,55.346,366.0,0.062,162.539,95.647,496.0,0.132
23.0,230.0,232.680,158.012,1859.0,0.513,58.340,166.983,999.0,0.113,151.936,147.590,860.0,0.075,241.118,64.333,894.0,0.479,225.120,93.849,961.0,0.515,47.094,91.978,468.0,0.109,68.237,70.634,530.0,0.266,137.790,55.158,364.0,0.195,162.570,95.627,493.0,0.037
24.0,240.0,233.313,158.230,1859.0,0.669,58.195,166.745,1009.0,0.278,151.764,148.125,850.0,0.562,241.403,64.430,896.0,0.301,226.043,93.866,958.0,0.923,47.047,91.846,474.0,0.140,68.075,70.768,534.0,0.210,137.727,55.112,363.0,0.078,162.470,95.846,484.0,0.241
25.0,250.0,233.820,158.251,1862.0,0.507,58.070,166.593,1018.0,0.197,151.727,148.194,844.0,0.078,241.830,64.508,898.0,0.434,226.625,93.826,960.0,0.583,46.991,91.797,480.0,0.074,67.933,70.834,537.0,0.156,137.711,55.092,361.0,0.025,162.443,95.854,480.0,0.028
26.0,260.0,234.570,158.445,1861.0,0.774,58.035,166.634,1027.0,0.053,151.626,148.354,834.0,0.189,242.455,64.607,900.0,0.633,227.417,93.783,957.0,0.793,47.049,91.698,484.0,0.114,67.811,70.973,542.0,0.185,137.568,54.958,358.0,0.196,162.427,95.919,473.0,0.066
27.0,270.0,235.359,158.652,1860.0,0.816,57.911,166.496,1038.0,0.186,151.563,148.752,822.0,0.403,242.965,64.856,901.0,0.568,228.436,93.788,955.0,1.019,47.053,91.710,491.0,0.012,67.631,71.181,546.0,0.275,137.567,55.126,355.0,0.167,162.422,95.983,464.0,0.065
28.0,280.0,236.330,158.857,1854.0,0.992,57.787,166.172,1049.0,0.347,151.346,149.338,806.0,0.625,243.616,64.986,899.0,0.663,229.714,93.858,951.0,1.280,47.066,91.613,499.0,0.098,67.479,71.314,549.0,0.202,137.497,55.068,350.0,0.091,162.254,96.334,452.0,0.389
29.0,290.0,237.274,159.187,1849.0,1.000,57.655,166.016,1059.0,0.204,151.103,150.023,790.0,0.727,244.184,65.073,900.0,0.575,230.986,93.900,944.0,1.274,47.027,91.556,505.0,0.070,67.312,71.418,553.0,0.197,137.380,54.954,347.0,0.164,162.133,96.596,439.0,0.289
30.0,300.0,238.405,159.630,1839.0,1.215,57.514,165.760,1071.0,0.293,150.704,151.091,768.0,1.140,244.747,65.118,901.0,0.565,232.561,94.031,935.0,1.580,46.995,91.520,512.0,0.048,67.146,71.466,557.0,0.173,137.245,54.817,343.0,0.192,161.827,97.080,422.0,0.572
31.0,310.0,239.647,160.226,1832.0,1.377,57.402,165.564,1084.0,0.225,150.362,152.489,748.0,1.439,245.284,65.293,904.0,0.564,234.416,94.141,925.0,1.858,47.003,91.463,521.0,0.057,66.996,71.652,562.0,0.239,137.233,54.810,341.0,0.014,161.633,97.596,404.0,0.551
32.0,320.0,241.121,160.769,1822.0,1.570,57.263,165.256,1098.0,0.338,150.014,153.954,723.0,1.505,246.020,65.562,904.0,0.784,236.554,94.192,914.0,2.139,47.039,91.412,531.0,0.062,66.807,71.883,567.0,0.299,137.329,54.932,337.0,0.155,161.332,98.042,383.0,0.539
33.0,330.0,242.711,161.577,1812.0,1.783,57.160,165.042,1115.0,0.237,149.515,156.037,697.0,2.143,246.838,65.774,908.0,0.844,238.865,94.319,901.0,2.314,47.016,91.241,540.0,0.172,66.683,72.013,574.0,0.179,137.414,55.053,334.0,0.148,160.918,98.933,361.0,0.982
34.0,340.0,244.282,162.290,1800.0,1.726,57.050,164.865,1129.0,0.208,148.950,157.955,671.0,1.999,247.575,65.923,909.0,0.752,241.282,94.426,887.0,2.419,47.055,91.221,549.0,0.045,66.496,72.147,579.0,0.230,137.354,54.993,330.0,0.085,160.522,99.643,338.0,0.813
35.0,350.0,246.274,163.010,1781.0,2.118,56.948,164.644,1145.0,0.243,148.285,160.074,637.0,2.221,248.679,66.002,908.0,1.107,244.123,94.537,870.0,2.843,47.106,91.181,559.0,0.064,66.309,72.161,586.0,0.187,137.164,54.830,323.0,0.250,160.056,100.561,311.0,1.029
36.0,360.0,248.101,163.780,1767.0,1.982,56.831,164.311,1160.0,0.353,147.650,162.768,607.0,2.767,249.382,66.248,909.0,0.745,247.055,94.687,855.0,2.936,47.155,91.141,569.0,0.064,66.138,72.343,590.0,0.250,137.138,54.958,319.0,0.131,159.568,101.749,286.0,1.284
