Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
0.0,0.0,257.414,141.282,1511.0,0.000,111.289,138.789,767.0,0.000,156.628,143.854,744.0,0.000,245.974,44.145,653.0,0.000,266.022,91.311,856.0,0.000,102.429,94.721,471.0,0.000,125.334,46.577,294.0,0.000,144.719,42.147,358.0,0.000,167.758,87.135,385.0,0.000
1.0,10.0,257.669,141.465,1511.0,0.314,111.351,138.886,769.0,0.116,156.586,144.139,742.0,0.288,246.097,44.104,655.0,0.130,266.403,91.351,853.0,0.383,102.485,94.743,471.0,0.061,125.331,46.481,296.0,0.095,144.697,42.145,359.0,0.022,167.800,87.165,382.0,0.052
2.0,20.0,257.865,141.688,1505.0,0.297,111.386,139.049,767.0,0.167,156.549,144.434,737.0,0.298,246.163,44.082,654.0,0.069,266.750,91.479,848.0,0.370,102.515,94.875,470.0,0.136,125.331,46.481,296.0,0.000,144.701,42.103,358.0,0.042,167.826,87.259,378.0,0.097
3.0,30.0,258.249,141.813,1504.0,0.403,111.425,139.270,770.0,0.224,156.516,144.480,734.0,0.057,246.740,44.086,655.0,0.576,267.016,91.535,846.0,0.272,102.556,94.901,470.0,0.048,125.279,46.542,298.0,0.080,144.675,42.038,357.0,0.070,167.802,87.327,376.0,0.072
4.0,40.0,258.481,142.143,1499.0,0.403,111.517,139.531,769.0,0.276,156.462,144.893,730.0,0.417,246.879,44.088,656.0,0.139,267.396,91.702,840.0,0.415,102.666,95.033,468.0,0.172,125.249,46.540,299.0,0.030,144.675,42.038,357.0,0.000,167.821,87.509,372.0,0.183
5.0,50.0,258.874,142.510,1494.0,0.538,111.568,139.842,770.0,0.315,156.355,145.344,725.0,0.463,247.186,44.156,657.0,0.314,267.935,91.867,834.0,0.564,102.723,95.178,467.0,0.155,125.201,46.658,300.0,0.127,144.670,42.051,357.0,0.014,167.759,87.650,367.0,0.154
6.0,60.0,259.345,142.783,1489.0,0.544,111.611,139.982,770.0,0.147,156.236,145.787,718.0,0.459,247.340,44.121,657.0,0.158,268.764,92.125,829.0,0.868,102.833,95.429,468.0,0.275,125.176,46.684,301.0,0.037,144.600,41.958,356.0,0.117,167.748,87.841,361.0,0.191
7.0,70.0,259.815,143.064,1485.0,0.548,111.752,140.354,772.0,0.397,156.128,145.998,713.0,0.237,247.883,44.139,658.0,0.543,269.279,92.239,825.0,0.527,102.962,95.595,468.0,0.210,125.229,46.787,303.0,0.116,144.489,41.879,355.0,0.136,167.741,87.843,357.0,0.008
8.0,80.0,260.520,143.630,1480.0,0.904,111.903,140.897,774.0,0.564,155.991,146.630,705.0,0.646,248.642,44.215,661.0,0.763,270.052,92.432,816.0,0.797,103.075,95.726,466.0,0.173,125.215,46.900,307.0,0.114,144.476,41.893,354.0,0.020,167.689,88.045,350.0,0.209
9.0,90.0,260.830,143.941,1474.0,0.439,111.979,141.092,773.0,0.209,155.932,147.088,700.0,0.462,248.853,44.188,662.0,0.212,270.562,92.564,810.0,0.527,103.129,95.831,465.0,0.118,125.262,46.826,307.0,0.088,144.489,41.900,354.0,0.015,167.717,88.166,345.0,0.124
10.0,100.0,261.643,144.386,1468.0,0.927,112.103,141.437,776.0,0.367,155.852,147.694,692.0,0.611,249.461,44.161,664.0,0.608,271.677,92.721,802.0,1.126,103.232,96.033,465.0,0.227,125.302,46.785,310.0,0.057,144.497,41.860,354.0,0.041,167.802,88.158,337.0,0.086
11.0,110.0,262.187,144.887,1462.0,0.740,112.205,141.852,777.0,0.428,155.736,148.329,685.0,0.646,249.796,44.193,665.0,0.337,272.437,92.942,794.0,0.791,103.280,96.259,463.0,0.231,125.324,46.843,312.0,0.062,144.493,41.855,354.0,0.007,167.806,88.296,331.0,0.138
12.0,120.0,262.907,145.711,1453.0,1.094,112.402,142.556,778.0,0.731,155.485,149.342,676.0,1.045,250.470,44.249,670.0,0.676,273.439,93.213,781.0,1.038,103.455,96.436,460.0,0.249,125.285,46.937,316.0,0.102,144.479,41.848,354.0,0.015,167.659,88.598,321.0,0.335
13.0,130.0,263.544,146.293,1447.0,0.863,112.512,143.041,779.0,0.497,155.348,150.084,668.0,0.754,251.058,44.304,673.0,0.590,274.324,93.410,771.0,0.907,103.508,96.602,458.0,0.174,125.306,47.001,319.0,0.067,144.484,41.869,354.0,0.022,167.655,88.747,314.0,0.149
14.0,140.0,264.488,147.127,1435.0,1.260,112.639,143.600,779.0,0.573,155.107,151.320,656.0,1.260,251.525,44.384,675.0,0.474,276.009,93.728,757.0,1.715,103.698,96.902,456.0,0.355,125.225,47.139,322.0,0.161,144.497,41.876,353.0,0.015,167.619,88.919,301.0,0.176
