Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
0.0,0.0,243.559,126.514,1377.0,0.000,85.423,132.819,868.0,0.000,97.588,115.774,509.0,0.000,269.324,74.421,302.0,0.000,236.188,95.436,1074.0,0.000,79.074,99.158,654.0,0.000,104.804,73.737,212.0,0.000,80.817,76.049,89.0,0.000,101.155,89.642,420.0,0.000
1.0,10.0,244.312,126.628,1373.0,0.761,85.429,132.850,869.0,0.031,97.701,115.890,504.0,0.162,270.061,74.505,302.0,0.742,236.923,95.466,1070.0,0.736,79.074,99.145,655.0,0.013,104.804,73.770,213.0,0.033,81.100,76.272,89.0,0.360,101.243,89.661,415.0,0.090
2.0,20.0,244.978,126.781,1368.0,0.683,85.425,132.815,870.0,0.035,97.798,116.245,498.0,0.368,270.229,74.562,301.0,0.177,237.700,95.516,1065.0,0.778,79.070,99.139,656.0,0.007,104.816,73.718,213.0,0.053,81.311,76.596,88.0,0.386,101.356,89.719,410.0,0.127
3.0,30.0,245.528,126.827,1366.0,0.552,85.400,132.716,872.0,0.102,97.831,116.436,494.0,0.194,270.353,74.623,301.0,0.138,238.371,95.556,1064.0,0.672,79.076,99.128,658.0,0.013,104.769,73.746,213.0,0.054,81.316,76.741,88.0,0.146,101.416,89.770,406.0,0.078
4.0,40.0,245.939,126.742,1365.0,0.420,85.387,132.574,873.0,0.143,97.985,116.382,491.0,0.163,270.906,74.742,299.0,0.566,238.781,95.581,1064.0,0.411,79.106,99.135,660.0,0.031,104.736,73.742,212.0,0.034,81.823,77.176,87.0,0.667,101.470,89.782,404.0,0.056
5.0,50.0,246.410,126.822,1363.0,0.477,85.393,132.575,875.0,0.007,98.044,116.516,488.0,0.146,271.186,74.678,300.0,0.287,239.300,95.608,1062.0,0.520,79.120,99.137,661.0,0.015,104.725,73.660,213.0,0.083,81.915,77.168,87.0,0.093,101.542,89.798,401.0,0.073
6.0,60.0,247.074,126.783,1360.0,0.666,85.389,132.481,876.0,0.095,98.234,116.459,484.0,0.199,272.004,74.757,299.0,0.821,239.941,95.620,1061.0,0.641,79.123,99.131,663.0,0.007,104.768,73.662,213.0,0.043,82.377,77.468,86.0,0.550,101.659,89.771,398.0,0.120
7.0,70.0,247.338,126.684,1360.0,0.281,85.368,132.326,878.0,0.156,98.345,116.416,482.0,0.119,272.272,74.829,298.0,0.278,240.233,95.606,1061.0,0.293,79.122,99.102,664.0,0.028,104.790,73.688,212.0,0.035,82.773,77.661,85.0,0.441,101.699,89.751,397.0,0.045
8.0,80.0,247.643,126.776,1361.0,0.319,85.364,132.390,880.0,0.064,98.482,116.508,481.0,0.165,272.531,74.893,298.0,0.267,240.543,95.665,1061.0,0.316,79.132,99.150,666.0,0.048,104.729,73.718,213.0,0.069,82.925,77.822,85.0,0.221,101.836,89.802,396.0,0.146
9.0,90.0,247.957,126.629,1360.0,0.346,85.343,132.291,881.0,0.101,98.610,116.220,479.0,0.315,273.379,74.894,297.0,0.848,240.749,95.661,1063.0,0.206,79.119,99.143,668.0,0.015,104.744,73.675,213.0,0.046,83.196,77.978,84.0,0.313,101.888,89.780,395.0,0.056
10.0,100.0,248.272,126.528,1358.0,0.331,85.343,132.180,881.0,0.111,98.717,116.080,477.0,0.177,273.856,74.800,295.0,0.486,241.045,95.665,1062.0,0.295,79.127,99.156,668.0,0.015,104.790,73.523,212.0,0.159,83.405,78.052,83.0,0.222,101.957,89.737,394.0,0.081
11.0,110.0,248.632,126.591,1357.0,0.365,85.368,132.188,883.0,0.026,98.796,116.182,475.0,0.129,273.977,74.816,295.0,0.122,241.470,95.735,1061.0,0.431,79.171,99.229,670.0,0.085,104.790,73.523,212.0,0.000,83.476,78.113,83.0,0.094,102.048,89.761,392.0,0.094
12.0,120.0,249.107,126.590,1356.0,0.475,85.376,132.158,884.0,0.031,98.959,116.153,472.0,0.165,274.352,74.826,295.0,0.376,241.966,95.699,1060.0,0.497,79.179,99.213,671.0,0.017,104.810,73.512,212.0,0.023,83.762,78.197,83.0,0.299,102.193,89.638,389.0,0.190
13.0,130.0,249.276,126.638,1356.0,0.176,85.451,132.234,884.0,0.106,99.133,116.136,471.0,0.175,274.913,74.839,296.0,0.561,242.011,95.692,1059.0,0.046,79.234,99.211,670.0,0.055,104.866,73.408,213.0,0.118,84.341,78.533,82.0,0.668,102.272,89.626,389.0,0.080
14.0,140.0,249.917,126.622,1351.0,0.640,85.456,132.159,884.0,0.075,99.339,116.117,466.0,0.206,275.893,74.829,294.0,0.980,242.568,95.721,1056.0,0.557,79.233,99.193,671.0,0.018,104.915,73.279,213.0,0.138,84.965,78.892,81.0,0.720,102.371,89.674,385.0,0.111
15.0,150.0,250.190,126.598,1350.0,0.275,85.496,132.115,885.0,0.060,99.442,116.089,465.0,0.107,276.220,74.701,294.0,0.351,242.850,95.751,1055.0,0.284,79.277,99.235,671.0,0.061,104.999,73.107,213.0,0.191,85.191,78.892,81.0,0.226,102.447,89.656,384.0,0.078
16.0,160.0,250.580,126.700,1347.0,0.403,85.576,132.238,885.0,0.147,99.558,116.091,462.0,0.116,276.913,74.517,294.0,0.717,243.130,95.768,1051.0,0.281,79.320,99.240,670.0,0.043,105.080,72.904,214.0,0.219,85.406,78.809,80.0,0.231,102.543,89.668,381.0,0.097
17.0,170.0,251.088,126.808,1346.0,0.519,85.619,132.281,887.0,0.061,99.637,116.232,459.0,0.161,277.306,74.463,295.0,0.397,243.639,95.788,1050.0,0.509,79.342,99.237,671.0,0.022,105.137,72.807,215.0,0.112,85.484,78.893,80.0,0.114,102.638,89.676,379.0,0.096
18.0,180.0,251.353,126.843,1343.0,0.268,85.624,132.225,886.0,0.056,99.710,116.394,457.0,0.178,277.246,74.481,295.0,0.063,243.991,95.808,1047.0,0.353,79.352,99.241,671.0,0.012,105.167,72.789,214.0,0.035,85.602,79.002,80.0,0.161,102.721,89.684,376.0,0.083
19.0,190.0,251.815,126.657,1341.0,0.498,85.685,131.974,887.0,0.258,99.828,116.258,454.0,0.180,277.997,74.441,293.0,0.753,244.426,95.812,1047.0,0.435,79.397,99.216,673.0,0.051,105.433,72.644,213.0,0.303,86.004,79.282,79.0,0.489,102.752,89.692,374.0,0.032
20.0,200.0,251.901,126.676,1339.0,0.088,85.762,131.870,886.0,0.130,99.882,116.515,453.0,0.263,277.559,74.381,292.0,0.443,244.653,95.828,1046.0,0.227,79.468,99.241,673.0,0.076,105.597,72.485,213.0,0.228,86.166,79.427,80.0,0.218,102.816,89.674,373.0,0.066
21.0,210.0,251.882,126.605,1341.0,0.074,85.824,131.747,887.0,0.138,99.885,116.556,454.0,0.041,277.428,74.275,292.0,0.168,244.646,95.809,1048.0,0.021,79.497,99.212,674.0,0.041,105.781,72.330,212.0,0.241,86.231,79.425,80.0,0.065,102.811,89.675,374.0,0.005
22.0,220.0,252.269,126.529,1341.0,0.394,85.899,131.688,889.0,0.095,100.012,116.390,452.0,0.210,278.265,74.156,292.0,0.845,244.925,95.816,1048.0,0.279,79.519,99.218,675.0,0.023,106.045,72.183,212.0,0.303,86.570,79.436,79.0,0.340,102.873,89.655,373.0,0.065
23.0,230.0,252.215,126.498,1341.0,0.062,85.973,131.699,888.0,0.075,100.050,116.299,453.0,0.098,278.457,73.954,292.0,0.279,244.801,95.828,1048.0,0.124,79.582,99.250,674.0,0.071,106.113,71.909,213.0,0.282,86.576,79.443,79.0,0.008,102.907,89.652,374.0,0.034
24.0,240.0,252.140,126.396,1341.0,0.126,86.013,131.575,887.0,0.131,100.093,116.265,454.0,0.055,278.368,73.985,291.0,0.094,244.762,95.824,1049.0,0.039,79.624,99.253,675.0,0.042,106.252,71.905,212.0,0.138,86.726,79.543,79.0,0.181,102.921,89.645,374.0,0.016
25.0,250.0,251.983,126.258,1342.0,0.209,86.063,131.523,887.0,0.071,100.189,116.000,455.0,0.282,278.875,73.951,290.0,0.508,244.461,95.819,1051.0,0.301,79.651,99.249,675.0,0.028,106.398,71.831,211.0,0.164,86.962,79.651,79.0,0.259,102.948,89.678,377.0,0.042
26.0,260.0,251.479,125.905,1344.0,0.616,86.178,131.245,885.0,0.301,100.156,115.616,459.0,0.386,278.748,73.591,288.0,0.382,243.936,95.809,1055.0,0.525,79.754,99.351,674.0,0.145,106.743,71.302,209.0,0.631,87.044,79.698,78.0,0.095,102.856,89.538,381.0,0.167
27.0,270.0,251.458,125.762,1344.0,0.144,86.235,131.184,884.0,0.085,100.271,115.336,460.0,0.303,279.401,73.473,287.0,0.664,243.770,95.810,1056.0,0.166,79.789,99.367,674.0,0.038,106.903,71.120,209.0,0.243,87.384,79.805,78.0,0.356,102.889,89.534,382.0,0.033
28.0,280.0,250.612,125.811,1338.0,0.848,86.291,131.360,875.0,0.184,100.284,115.322,463.0,0.019,278.756,73.421,286.0,0.648,242.851,95.821,1051.0,0.919,79.794,99.464,667.0,0.097,107.019,71.070,208.0,0.127,87.539,79.654,78.0,0.216,102.876,89.510,385.0,0.028
29.0,290.0,250.038,126.022,1332.0,0.611,86.404,131.835,867.0,0.489,100.351,115.173,465.0,0.163,279.169,73.345,286.0,0.420,241.944,95.868,1045.0,0.908,79.814,99.615,658.0,0.152,107.098,70.948,208.0,0.146,87.882,79.733,78.0,0.352,102.870,89.492,387.0,0.018
30.0,300.0,249.045,126.288,1320.0,1.028,86.663,132.517,853.0,0.730,100.445,114.923,468.0,0.267,279.657,73.270,286.0,0.493,240.448,95.890,1033.0,1.496,79.949,99.773,643.0,0.208,107.246,70.823,208.0,0.194,88.220,79.829,78.0,0.352,102.885,89.481,390.0,0.019
31.0,310.0,248.400,126.344,1316.0,0.647,86.780,132.758,846.0,0.268,100.421,114.799,470.0,0.127,279.706,73.204,286.0,0.082,239.575,95.858,1028.0,0.873,79.996,99.785,636.0,0.049,107.367,70.731,208.0,0.152,88.220,79.829,78.0,0.000,102.841,89.485,392.0,0.044
32.0,320.0,247.168,126.448,1313.0,1.237,86.854,133.100,836.0,0.350,100.433,114.761,476.0,0.040,278.931,73.256,287.0,0.776,238.149,95.813,1025.0,1.427,79.975,99.902,627.0,0.118,107.472,70.641,208.0,0.138,88.356,80.141,79.0,0.341,102.831,89.354,397.0,0.131
33.0,330.0,245.948,126.651,1301.0,1.237,87.027,133.587,822.0,0.517,100.415,114.764,480.0,0.018,278.320,73.270,286.0,0.612,236.669,95.778,1014.0,1.480,80.072,99.967,614.0,0.117,107.511,70.655,207.0,0.040,88.410,80.070,80.0,0.089,102.801,89.351,400.0,0.030
34.0,340.0,245.220,126.685,1294.0,0.728,87.139,133.736,812.0,0.186,100.401,114.779,481.0,0.021,277.917,73.038,285.0,0.465,235.822,95.800,1007.0,0.847,80.104,100.074,606.0,0.112,107.731,70.303,205.0,0.415,88.437,80.075,80.0,0.027,102.781,89.348,401.0,0.021
35.0,350.0,244.443,126.937,1285.0,0.818,87.330,134.193,802.0,0.496,100.421,114.889,483.0,0.111,277.664,72.921,286.0,0.278,234.789,95.816,998.0,1.033,80.166,100.196,595.0,0.138,107.953,70.089,205.0,0.308,88.594,80.143,80.0,0.171,102.786,89.336,402.0,0.013
