Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
0.0,0.0,245.713,226.020,663.0,0.000,109.313,220.365,381.0,0.000,100.331,233.671,282.0,0.000,242.428,74.623,603.0,0.000,277.413,113.070,59.0,0.000,98.835,117.080,42.0,0.000,110.589,70.896,338.0,0.000,99.574,79.375,265.0,0.000,112.310,102.927,17.0,0.000
1.0,10.0,245.776,225.966,663.0,0.083,109.309,220.289,381.0,0.076,100.325,233.655,282.0,0.017,242.454,74.616,603.0,0.027,277.705,113.033,59.0,0.294,98.859,117.004,43.0,0.079,110.589,70.896,338.0,0.000,99.567,79.362,265.0,0.015,112.310,102.927,17.0,0.000
2.0,20.0,245.832,225.990,663.0,0.061,109.323,220.334,382.0,0.047,100.325,233.657,281.0,0.002,242.534,74.609,603.0,0.080,277.599,113.110,59.0,0.131,98.903,117.124,42.0,0.128,110.594,70.883,338.0,0.014,99.567,79.368,265.0,0.006,112.310,102.927,17.0,0.000
3.0,30.0,245.956,226.012,663.0,0.125,109.318,220.385,382.0,0.052,100.287,233.657,281.0,0.039,242.670,74.633,603.0,0.138,277.599,113.110,59.0,0.000,98.903,117.124,42.0,0.000,110.587,70.927,339.0,0.044,99.525,79.380,264.0,0.044,112.310,102.927,17.0,0.000
4.0,40.0,246.042,226.028,662.0,0.088,109.307,220.396,381.0,0.016,100.307,233.691,280.0,0.040,242.757,74.674,602.0,0.097,277.599,113.110,59.0,0.000,98.903,117.124,42.0,0.000,110.576,70.958,338.0,0.034,99.544,79.440,264.0,0.063,112.310,102.927,17.0,0.000
5.0,50.0,246.139,226.102,661.0,0.122,109.307,220.396,381.0,0.000,100.275,233.880,280.0,0.191,242.784,74.672,602.0,0.027,278.607,113.270,59.0,1.020,98.903,117.124,42.0,0.000,110.576,70.958,338.0,0.000,99.537,79.436,263.0,0.008,112.148,103.267,16.0,0.377
6.0,60.0,246.223,226.108,662.0,0.085,109.306,220.387,382.0,0.009,100.285,233.918,280.0,0.040,242.853,74.686,602.0,0.070,278.808,113.364,59.0,0.222,98.993,117.242,43.0,0.149,110.566,70.957,338.0,0.010,99.548,79.477,263.0,0.042,112.148,103.267,16.0,0.000
7.0,70.0,246.423,226.119,662.0,0.200,109.313,220.322,382.0,0.065,100.278,234.057,279.0,0.139,243.017,74.695,602.0,0.164,279.357,113.439,59.0,0.554,99.038,117.330,43.0,0.099,110.572,70.901,339.0,0.056,99.538,79.583,263.0,0.106,112.248,103.202,16.0,0.120
8.0,80.0,246.712,226.222,661.0,0.307,109.317,220.382,383.0,0.061,100.309,234.255,278.0,0.200,243.250,74.741,602.0,0.237,280.445,113.417,59.0,1.089,99.038,117.330,43.0,0.000,110.574,70.950,339.0,0.049,99.583,79.640,262.0,0.072,112.320,102.880,16.0,0.330
9.0,90.0,247.043,226.509,660.0,0.438,109.450,220.645,383.0,0.295,100.269,234.610,277.0,0.357,243.569,74.747,602.0,0.320,281.724,113.879,57.0,1.359,99.400,117.672,42.0,0.498,110.654,70.943,340.0,0.080,99.569,79.685,262.0,0.047,112.301,103.432,15.0,0.552
