Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
0.0,0.0,151.302,209.680,1296.0,0.000,62.785,243.846,318.0,0.000,100.735,198.557,977.0,0.000,165.314,76.940,1000.0,0.000,104.302,107.870,291.0,0.000,,,0.0,0.000,62.785,81.286,318.0,0.000,99.382,74.912,682.0,0.000,104.302,107.870,291.0,0.000
1.0,10.0,154.280,209.854,1300.0,2.983,63.530,243.289,336.0,0.930,100.875,198.190,964.0,0.393,168.894,76.843,1007.0,3.581,104.580,107.451,288.0,0.503,,,0.0,,63.530,80.729,336.0,0.930,99.468,74.895,671.0,0.088,104.580,107.451,288.0,0.503
2.0,20.0,157.451,209.778,1305.0,3.172,64.216,242.652,356.0,0.936,100.869,197.427,948.0,0.763,172.673,76.486,1014.0,3.796,104.850,107.038,287.0,0.493,,,0.0,,64.216,80.092,356.0,0.936,99.293,74.532,657.0,0.403,104.850,107.038,287.0,0.493
3.0,30.0,160.781,209.786,1308.0,3.330,64.860,241.752,376.0,1.107,101.087,196.886,932.0,0.584,176.576,76.225,1020.0,3.911,105.399,106.416,284.0,0.830,,,0.0,,64.860,79.192,376.0,1.107,99.360,74.490,644.0,0.079,105.399,106.416,284.0,0.830
4.0,40.0,164.345,209.641,1311.0,3.567,65.482,241.149,397.0,0.866,101.386,195.957,914.0,0.975,180.823,76.062,1024.0,4.250,105.999,105.569,284.0,1.038,,,0.0,,65.482,78.589,397.0,0.866,99.455,74.462,627.0,0.099,105.999,105.569,284.0,1.038
5.0,50.0,167.681,209.496,1317.0,3.339,66.036,240.525,417.0,0.834,101.743,195.107,900.0,0.922,184.704,75.893,1031.0,3.885,106.714,104.479,283.0,1.304,,,0.0,,66.036,77.965,417.0,0.834,99.594,74.484,614.0,0.141,106.714,104.479,283.0,1.304
6.0,60.0,170.620,209.103,1330.0,2.965,66.578,239.766,437.0,0.933,102.134,194.082,893.0,1.098,188.197,75.633,1041.0,3.503,107.562,103.355,285.0,1.408,,,0.0,,66.578,77.206,437.0,0.933,99.732,74.495,604.0,0.138,107.562,103.355,285.0,1.408
7.0,70.0,172.650,208.825,1341.0,2.049,66.995,239.359,451.0,0.583,102.481,193.320,889.0,0.837,190.701,75.556,1049.0,2.505,108.011,102.651,288.0,0.835,,,0.0,,66.995,76.799,451.0,0.583,99.960,74.618,598.0,0.259,108.011,102.651,288.0,0.835
8.0,80.0,174.667,208.439,1356.0,2.053,67.396,238.933,467.0,0.586,102.850,192.403,888.0,0.989,193.232,75.479,1059.0,2.532,108.591,101.885,293.0,0.961,,,0.0,,67.396,76.373,467.0,0.586,100.151,74.774,592.0,0.247,108.591,101.885,293.0,0.961
9.0,90.0,176.453,208.436,1368.0,1.787,67.456,238.864,482.0,0.091,103.064,191.876,886.0,0.569,195.359,75.513,1070.0,2.128,108.879,101.387,295.0,0.575,,,0.0,,67.456,76.304,482.0,0.091,100.280,74.865,588.0,0.158,108.879,101.387,295.0,0.575
10.0,100.0,177.865,208.049,1374.0,1.464,67.656,238.589,492.0,0.340,103.359,191.021,882.0,0.904,197.170,75.436,1073.0,1.812,109.396,100.580,298.0,0.958,,,0.0,,67.656,76.029,492.0,0.340,100.415,74.935,581.0,0.152,109.396,100.580,298.0,0.958
11.0,110.0,178.903,207.616,1384.0,1.124,67.778,238.399,501.0,0.225,103.696,190.172,883.0,0.914,198.566,75.410,1078.0,1.396,109.854,99.864,303.0,0.850,,,0.0,,67.778,75.839,501.0,0.225,100.609,75.039,578.0,0.220,109.854,99.864,303.0,0.850
12.0,120.0,179.767,206.998,1390.0,1.062,67.898,238.335,507.0,0.136,103.942,188.993,883.0,1.204,199.922,75.305,1079.0,1.360,110.249,99.311,308.0,0.679,,,0.0,,67.898,75.775,507.0,0.136,100.696,74.889,572.0,0.173,110.249,99.311,308.0,0.679
13.0,130.0,180.285,206.449,1396.0,0.755,67.942,238.356,511.0,0.049,104.281,188.007,885.0,1.043,200.860,75.392,1079.0,0.942,110.647,98.655,314.0,0.768,,,0.0,,67.942,75.796,511.0,0.049,100.913,75.028,568.0,0.258,110.647,98.655,314.0,0.768
14.0,140.0,180.615,205.805,1402.0,0.723,68.037,238.250,514.0,0.142,104.587,187.013,887.0,1.040,201.515,75.360,1079.0,0.655,111.176,97.904,320.0,0.918,,,0.0,,68.037,75.690,514.0,0.142,101.027,75.060,565.0,0.118,111.176,97.904,320.0,0.918
15.0,150.0,181.126,204.930,1407.0,1.013,68.220,238.166,518.0,0.202,104.980,185.602,890.0,1.465,202.544,75.339,1077.0,1.029,111.678,97.028,328.0,1.010,,,0.0,,68.220,75.606,518.0,0.202,101.204,75.092,559.0,0.181,111.678,97.028,328.0,1.010
16.0,160.0,181.075,203.945,1412.0,0.987,68.395,238.061,517.0,0.203,105.287,184.231,895.0,1.406,202.971,75.271,1073.0,0.433,112.131,96.347,337.0,0.818,,,0.0,,68.395,75.501,517.0,0.203,101.273,75.056,556.0,0.078,112.131,96.347,337.0,0.818
17.0,170.0,180.648,202.882,1417.0,1.146,68.585,237.993,514.0,0.203,105.604,182.887,903.0,1.380,203.011,75.287,1068.0,0.044,112.562,95.546,347.0,0.910,,,0.0,,68.585,75.433,514.0,0.203,101.382,75.151,554.0,0.144,112.562,95.546,347.0,0.910
18.0,180.0,180.263,202.044,1421.0,0.922,68.615,238.128,512.0,0.139,105.872,181.737,910.0,1.181,203.080,75.379,1063.0,0.115,112.855,95.049,356.0,0.577,,,0.0,,68.615,75.568,512.0,0.139,101.520,75.203,551.0,0.148,112.855,95.049,356.0,0.577
19.0,190.0,179.792,201.139,1423.0,1.020,68.944,237.998,507.0,0.354,106.175,180.736,916.0,1.046,202.965,75.357,1057.0,0.117,113.139,94.511,364.0,0.608,,,0.0,,68.944,75.438,507.0,0.354,101.703,75.282,550.0,0.199,113.139,94.511,364.0,0.608
20.0,200.0,179.043,200.252,1428.0,1.161,68.895,238.242,503.0,0.249,106.429,179.617,926.0,1.147,202.505,75.450,1053.0,0.469,113.492,93.923,373.0,0.686,,,0.0,,68.895,75.682,503.0,0.249,101.775,75.237,550.0,0.085,113.492,93.923,373.0,0.686
21.0,210.0,178.057,199.188,1428.0,1.451,69.368,238.047,494.0,0.512,106.643,178.655,934.0,0.986,201.758,75.316,1044.0,0.759,113.793,93.456,381.0,0.555,,,0.0,,69.368,75.487,494.0,0.512,101.826,75.163,551.0,0.089,113.793,93.456,381.0,0.555
22.0,220.0,176.922,198.120,1432.0,1.559,69.372,238.364,486.0,0.317,106.845,177.428,945.0,1.244,200.979,75.438,1037.0,0.789,114.013,93.023,393.0,0.486,,,0.0,,69.372,75.804,486.0,0.317,101.869,75.115,551.0,0.065,114.013,93.023,393.0,0.486
23.0,230.0,175.552,196.914,1428.0,1.825,69.553,238.418,474.0,0.190,107.105,176.304,954.0,1.153,199.864,75.477,1024.0,1.116,114.279,92.449,402.0,0.633,,,0.0,,69.553,75.858,474.0,0.190,101.999,75.149,550.0,0.134,114.279,92.449,402.0,0.633
24.0,240.0,174.170,195.691,1427.0,1.845,69.441,238.870,463.0,0.466,107.313,174.938,964.0,1.382,198.755,75.585,1011.0,1.115,114.582,91.962,413.0,0.573,,,0.0,,69.441,76.310,463.0,0.466,101.983,74.973,548.0,0.176,114.582,91.962,413.0,0.573
25.0,250.0,172.572,194.338,1427.0,2.093,69.684,238.848,450.0,0.244,107.558,173.808,976.0,1.157,197.340,75.581,1000.0,1.415,114.856,91.447,425.0,0.584,,,0.0,,69.684,76.288,450.0,0.244,102.063,75.001,549.0,0.085,114.856,91.447,425.0,0.584
26.0,260.0,170.500,192.850,1424.0,2.552,69.456,239.269,435.0,0.479,107.798,172.467,990.0,1.362,195.434,75.742,984.0,1.913,115.058,90.977,438.0,0.511,,,0.0,,69.456,76.709,435.0,0.479,102.155,74.977,549.0,0.095,115.058,90.977,438.0,0.511
27.0,270.0,168.935,191.517,1431.0,2.056,69.310,239.615,425.0,0.375,108.043,171.209,1006.0,1.282,194.053,75.904,975.0,1.391,115.328,90.523,453.0,0.528,,,0.0,,69.310,77.055,425.0,0.375,102.206,75.016,551.0,0.064,115.328,90.523,453.0,0.528
28.0,280.0,167.174,190.144,1431.0,2.233,69.418,239.690,411.0,0.132,108.275,170.168,1020.0,1.066,192.340,75.961,964.0,1.714,115.528,90.070,465.0,0.495,,,0.0,,69.418,77.130,411.0,0.132,102.320,75.090,552.0,0.136,115.528,90.070,465.0,0.495
29.0,290.0,165.023,188.481,1429.0,2.719,69.499,239.948,394.0,0.271,108.493,168.865,1035.0,1.321,190.176,75.946,948.0,2.164,115.738,89.673,479.0,0.449,,,0.0,,69.499,77.388,394.0,0.271,102.370,74.917,553.0,0.179,115.738,89.673,479.0,0.449
30.0,300.0,162.868,187.005,1429.0,2.612,69.600,240.045,379.0,0.139,108.628,167.898,1051.0,0.976,187.799,75.889,935.0,2.378,115.909,89.362,492.0,0.355,,,0.0,,69.600,77.485,379.0,0.139,102.336,74.803,557.0,0.119,115.909,89.362,492.0,0.355
31.0,310.0,160.561,185.782,1429.0,2.612,69.793,239.988,361.0,0.201,108.892,167.485,1069.0,0.491,185.081,76.085,923.0,2.725,116.042,89.060,504.0,0.330,,,0.0,,69.793,77.428,361.0,0.201,102.630,75.223,562.0,0.513,116.042,89.060,504.0,0.330
32.0,320.0,158.545,184.414,1425.0,2.436,69.810,240.309,344.0,0.322,109.087,166.590,1080.0,0.915,182.770,76.156,908.0,2.312,116.224,88.796,515.0,0.321,,,0.0,,69.810,77.749,344.0,0.322,102.707,75.182,563.0,0.087,116.224,88.796,515.0,0.321
