Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
0.0,0.0,243.892,220.378,982.0,0.000,111.233,228.760,552.0,0.000,101.327,209.629,430.0,0.000,249.661,76.981,849.0,0.000,206.136,97.859,132.0,0.000,108.968,116.824,51.0,0.000,111.430,77.608,500.0,0.000,97.985,76.081,348.0,0.000,115.553,86.146,82.0,0.000
1.0,10.0,244.357,220.829,979.0,0.648,111.230,228.993,552.0,0.233,101.350,210.283,427.0,0.654,249.942,77.077,848.0,0.296,207.001,98.023,130.0,0.880,109.116,117.334,50.0,0.530,111.410,77.660,501.0,0.056,98.099,76.237,347.0,0.193,115.528,85.921,80.0,0.227
2.0,20.0,244.607,221.025,979.0,0.318,111.239,229.000,552.0,0.011,101.394,210.687,426.0,0.406,250.071,77.147,849.0,0.147,207.742,98.040,129.0,0.742,109.116,117.334,50.0,0.000,111.419,77.650,502.0,0.014,98.164,76.422,347.0,0.196,115.648,85.805,79.0,0.168
3.0,30.0,245.167,221.344,977.0,0.645,111.286,229.137,554.0,0.145,101.492,211.162,424.0,0.486,250.528,77.226,850.0,0.463,208.484,98.261,127.0,0.774,109.180,117.593,50.0,0.267,111.463,77.674,503.0,0.050,98.313,76.574,346.0,0.213,115.735,85.856,77.0,0.101
4.0,40.0,245.987,221.826,974.0,0.951,111.327,229.362,555.0,0.229,101.568,211.857,419.0,0.698,251.223,77.256,850.0,0.696,209.401,98.614,124.0,0.982,109.367,118.126,49.0,0.565,111.494,77.630,505.0,0.054,98.485,76.708,344.0,0.218,115.732,85.904,75.0,0.048
5.0,50.0,247.033,222.559,968.0,1.277,111.393,229.935,555.0,0.576,101.604,212.646,413.0,0.790,252.073,77.221,850.0,0.851,210.076,98.885,118.0,0.727,109.902,119.380,47.0,1.363,111.508,77.607,508.0,0.027,98.557,76.647,342.0,0.094,116.188,85.491,71.0,0.616
6.0,60.0,247.714,223.282,964.0,0.993,111.480,230.479,555.0,0.551,101.617,213.510,409.0,0.864,252.601,77.313,850.0,0.536,209.940,99.032,113.0,0.200,110.731,120.435,44.0,1.342,111.514,77.641,509.0,0.034,98.685,76.822,340.0,0.217,116.162,85.154,69.0,0.338
7.0,70.0,249.161,224.164,958.0,1.694,111.577,231.115,557.0,0.644,101.580,214.509,401.0,0.999,253.929,77.206,851.0,1.332,209.792,99.431,106.0,0.426,111.281,121.690,41.0,1.370,111.571,77.500,514.0,0.151,98.755,76.756,336.0,0.097,116.316,85.115,64.0,0.159
8.0,80.0,249.971,225.219,953.0,1.330,111.606,231.948,557.0,0.834,101.523,215.747,396.0,1.240,254.642,77.241,853.0,0.714,208.650,99.748,99.0,1.185,111.854,123.133,38.0,1.552,111.560,77.478,518.0,0.024,98.797,76.874,335.0,0.126,116.559,85.103,61.0,0.243
9.0,90.0,251.313,226.289,946.0,1.716,111.833,233.043,558.0,1.118,101.518,216.595,389.0,0.847,256.063,77.226,855.0,1.421,205.609,99.956,91.0,3.049,113.095,125.630,34.0,2.788,111.725,77.491,523.0,0.165,98.891,76.807,331.0,0.116,116.715,84.875,57.0,0.277
10.0,100.0,252.134,227.518,940.0,1.478,111.937,234.236,557.0,1.197,101.476,217.753,383.0,1.159,256.901,77.291,857.0,0.840,202.017,100.041,83.0,3.593,114.423,128.147,29.0,2.846,111.782,77.597,527.0,0.120,98.948,76.801,329.0,0.057,117.041,84.756,54.0,0.347
11.0,110.0,253.110,228.618,931.0,1.471,112.010,235.243,555.0,1.010,101.395,218.835,376.0,1.086,257.862,77.324,856.0,0.962,197.848,99.853,75.0,4.172,115.786,130.035,25.0,2.329,111.815,77.687,530.0,0.096,99.020,76.734,326.0,0.098,116.960,84.763,50.0,0.081
12.0,120.0,254.513,229.689,926.0,1.766,112.135,236.097,557.0,0.863,101.374,220.019,369.0,1.184,259.097,77.376,858.0,1.236,195.509,100.118,68.0,2.354,117.151,132.994,22.0,3.258,111.914,77.794,535.0,0.145,99.156,76.685,323.0,0.145,117.005,84.522,46.0,0.244
13.0,130.0,255.656,230.594,920.0,1.457,112.123,236.847,558.0,0.751,101.297,220.971,362.0,0.955,260.132,77.393,858.0,1.035,192.284,100.501,62.0,3.248,118.999,136.440,19.0,3.911,111.866,77.852,539.0,0.075,99.157,76.620,320.0,0.064,117.315,84.704,43.0,0.359
14.0,140.0,256.374,231.358,916.0,1.048,112.163,237.812,558.0,0.966,101.428,221.320,359.0,0.373,261.176,77.520,859.0,1.052,181.843,99.074,56.0,10.538,120.623,140.078,15.0,3.984,111.914,77.987,542.0,0.143,99.342,76.722,317.0,0.211,117.308,84.584,42.0,0.120
15.0,150.0,257.970,232.004,910.0,1.722,112.226,238.079,560.0,0.275,101.411,222.309,351.0,0.989,262.478,77.493,858.0,1.303,181.936,99.559,52.0,0.494,121.831,142.417,13.0,2.633,111.969,77.964,545.0,0.060,99.442,76.671,312.0,0.112,117.441,84.515,38.0,0.150
