PersonId,RörelseId,PhaseId,StartTid,SlutTid,Avg_Gem_Avvikelse,Avg_Gem_Säker
fp1,2a_1,f1,0.0,0.02,0.83,1.66
fp1,2a_1,f2,0.02,0.02,1.67,2.0
fp1,2a_1,f3,0.02,1.87,0.93,1.9
fp2,2a_1,f1,0.0,0.16,1.4,1.46
fp2,2a_1,f2,0.16,0.16,1.33,1.67
fp2,2a_1,f3,0.16,1.44,1.27,1.87
fp3,2a_1,f1,0.0,0.23,1.04,1.66
fp3,2a_1,f2,0.23,0.25,1.0,2.0
fp3,2a_1,f3,0.25,2.46,0.93,1.73
fp4,2a_1,f1,0.0,0.26,1.14,1.62
fp4,2a_1,f2,0.26,0.28,1.67,1.67
fp4,2a_1,f3,0.28,1.2,1.13,1.7
fp5,2a_1,f1,0.0,0.16,1.43,1.47
fp5,2a_1,f2,0.16,0.21,1.67,1.67
fp5,2a_1,f3,0.21,1.22,1.15,1.78
fp1,2a_2,f1,0.0,0.01,0.66,1.5
fp1,2a_2,f2,0.01,0.03,0.0,2.0
fp1,2a_2,f3,0.03,1.0,0.5,2.0
fp2,2a_2,f1,0.0,3.98,1.53,1.8
fp2,2a_2,f2,3.98,4.0,0.33,2.0
fp2,2a_2,f3,4.0,4.97,0.83,1.83
fp3,2a_2,f1,0.0,0.04,0.73,1.53
fp3,2a_2,f2,0.04,0.06,0.0,2.0
fp3,2a_2,f3,0.06,1.95,0.53,1.87
fp4,2a_2,f1,0.0,0.19,0.66,1.5
fp4,2a_2,f2,0.19,0.23,0.67,1.67
fp4,2a_2,f3,0.23,0.93,0.67,1.8
fp5,2a_2,f1,0.0,0.15,0.75,1.42
fp5,2a_2,f2,0.15,0.2,0.33,1.67
fp5,2a_2,f3,0.2,0.61,0.6,1.8
