PersonId,RörelseId,PhaseId,StartTid,SlutTid,AspektId,Gem_Avvikelse,Gem_Säker
fp1,2a_1,f1,0.0,0.02,1,0.0,1.33
fp1,2a_1,f1,0.0,0.02,2,0.0,2.0
fp1,2a_1,f1,0.0,0.02,3,0.33,1.33
fp1,2a_1,f1,0.0,0.02,4,2.0,2.0
fp1,2a_1,f1,0.0,0.02,5,,
fp1,2a_1,f1,0.0,0.02,6,,
fp1,2a_1,f1,0.0,0.02,7,,
fp1,2a_1,f1,0.0,0.02,8,2.0,2.0
fp1,2a_1,f1,0.0,0.02,9,2.0,2.0
fp1,2a_1,f1,0.0,0.02,10,0.33,1.33
fp1,2a_1,f1,0.0,0.02,11,0.0,1.33
fp1,2a_1,f2,0.02,0.02,1,1.67,2.0
fp1,2a_1,f3,0.02,1.87,1,0.33,2.0
fp1,2a_1,f3,0.02,1.87,2,0.33,1.67
fp1,2a_1,f3,0.02,1.87,3,1.0,1.67
fp1,2a_1,f3,0.02,1.87,4,2.0,2.0
fp1,2a_1,f3,0.02,1.87,5,0.33,2.0
fp1,2a_1,f3,0.02,1.87,6,1.0,1.67
fp1,2a_1,f3,0.02,1.87,7,0.33,2.0
fp1,2a_1,f3,0.02,1.87,8,0.33,2.0
fp1,2a_1,f3,0.02,1.87,9,1.67,2.0
fp1,2a_1,f3,0.02,1.87,10,2.0,2.0
fp2,2a_1,f1,0.0,0.16,1,1.0,1.0
fp2,2a_1,f1,0.0,0.16,2,0.33,2.0
fp2,2a_1,f1,0.0,0.16,3,1.33,1.33
fp2,2a_1,f1,0.0,0.16,4,1.67,1.33
fp2,2a_1,f1,0.0,0.16,5,,
fp2,2a_1,f1,0.0,0.16,6,,
fp2,2a_1,f1,0.0,0.16,7,,
fp2,2a_1,f1,0.0,0.16,8,2.0,1.67
fp2,2a_1,f1,0.0,0.16,9,2.0,2.0
fp2,2a_1,f1,0.0,0.16,10,1.33,1.33
fp2,2a_1,f1,0.0,0.16,11,1.5,1.0
fp2,2a_1,f2,0.16,0.16,1,1.33,1.67
fp2,2a_1,f3,0.16,1.44,1,0.67,2.0
