PersonId,RörelseId,PhaseId,StartTid,SlutTid,AspektId,Gem_Avvikelse
fp1,2a_1,f1,0.0,0.45,1,0
fp1,2a_1,f1,0.0,0.45,2,0
fp1,2a_1,f1,0.0,0.45,3,0
fp1,2a_1,f1,0.0,0.45,4,0
fp1,2a_1,f1,0.0,0.45,5,
fp1,2a_1,f1,0.0,0.45,6,
fp1,2a_1,f1,0.0,0.45,7,0
fp1,2a_1,f1,0.0,0.45,8,0
fp1,2a_1,f1,0.0,0.45,9,1
fp1,2a_1,f1,0.0,0.45,10,0
fp1,2a_1,f1,0.0,0.45,11,0
fp1,2a_1,f2,0.45,0.52,1,0
fp1,2a_1,f3,0.52,1.83,1,0
fp1,2a_1,f3,0.52,1.83,2,0
fp1,2a_1,f3,0.52,1.83,3,0
fp1,2a_1,f3,0.52,1.83,4,0
fp1,2a_1,f3,0.52,1.83,5,0
fp1,2a_1,f3,0.52,1.83,6,0
fp1,2a_1,f3,0.52,1.83,7,0
fp1,2a_1,f3,0.52,1.83,8,0
fp1,2a_1,f3,0.52,1.83,9,0
fp1,2a_1,f3,0.52,1.83,10,0
fp2,2a_1,f1,0.0,0.38,1,1
fp2,2a_1,f1,0.0,0.38,2,0
fp2,2a_1,f1,0.0,0.38,3,0
fp2,2a_1,f1,0.0,0.38,4,1
fp2,2a_1,f1,0.0,0.38,5,
fp2,2a_1,f1,0.0,0.38,6,1
fp2,2a_1,f1,0.0,0.38,7,1
fp2,2a_1,f1,0.0,0.38,8,0
fp2,2a_1,f1,0.0,0.38,9,1
fp2,2a_1,f1,0.0,0.38,10,1
fp2,2a_1,f1,0.0,0.38,11,1
fp2,2a_1,f2,0.38,0.46,1,0
fp2,2a_1,f3,0.46,1.88,1,0
fp2,2a_1,f3,0.46,1.88,2,0
fp2,2a_1,f3,0.46,1.88,3,0
fp2,2a_1,f3,0.46,1.88,4,1
fp2,2a_1,f3,0.46,1.88,5,0
fp2,2a_1,f3,0.46,1.88,6,1
fp2,2a_1,f3,0.46,1.88,7,0
fp2,2a_1,f3,0.46,1.88,8,0
fp2,2a_1,f3,0.46,1.88,9,1
fp2,2a_1,f3,0.46,1.88,10,1
fp3,2a_1,f1,0.0,0.27,1,1
fp3,2a_1,f1,0.0,0.27,2,0
fp3,2a_1,f1,0.0,0.27,3,0
fp3,2a_1,f1,0.0,0.27,4,0
fp3,2a_1,f1,0.0,0.27,5,
fp3,2a_1,f1,0.0,0.27,6,
fp3,2a_1,f1,0.0,0.27,7,0
fp3,2a_1,f1,0.0,0.27,8,0
fp3,2a_1,f1,0.0,0.27,9,1
fp3,2a_1,f1,0.0,0.27,10,1
fp3,2a_1,f1,0.0,0.27,11,0
fp3,2a_1,f2,0.27,0.3,1,0
fp3,2a_1,f3,0.3,2.52,1,0
fp3,2a_1,f3,0.3,2.52,2,0
fp3,2a_1,f3,0.3,2.52,3,0
fp3,2a_1,f3,0.3,2.52,4,0
fp3,2a_1,f3,0.3,2.52,5,0
fp3,2a_1,f3,0.3,2.52,6,1
fp3,2a_1,f3,0.3,2.52,7,0
fp3,2a_1,f3,0.3,2.52,8,0
fp3,2a_1,f3,0.3,2.52,9,0
fp3,2a_1,f3,0.3,2.52,10,0
fp4,2a_1,f1,0.0,0.26,1,0
fp4,2a_1,f1,0.0,0.26,2,0
fp4,2a_1,f1,0.0,0.26,3,0
fp4,2a_1,f1,0.0,0.26,4,0
fp4,2a_1,f1,0.0,0.26,5,
fp4,2a_1,f1,0.0,0.26,6,1
fp4,2a_1,f1,0.0,0.26,7,0
fp4,2a_1,f1,0.0,0.26,8,0
fp4,2a_1,f1,0.0,0.26,9,0
fp4,2a_1,f1,0.0,0.26,10,0
fp4,2a_1,f1,0.0,0.26,11,0
fp4,2a_1,f2,0.26,0.28,1,0
fp4,2a_1,f3,0.28,1.2,1,0
fp4,2a_1,f3,0.28,1.2,2,0
fp4,2a_1,f3,0.28,1.2,3,1
fp4,2a_1,f3,0.28,1.2,4,1
fp4,2a_1,f3,0.28,1.2,5,0
fp4,2a_1,f3,0.28,1.2,6,1
fp4,2a_1,f3,0.28,1.2,7,1
fp4,2a_1,f3,0.28,1.2,8,1
fp4,2a_1,f3,0.28,1.2,9,0
fp4,2a_1,f3,0.28,1.2,10,0
fp5,2a_1,f1,0.0,0.06,1,1
fp5,2a_1,f1,0.0,0.06,2,0
fp5,2a_1,f1,0.0,0.06,3,1
fp5,2a_1,f1,0.0,0.06,4,0
fp5,2a_1,f1,0.0,0.06,5,
fp5,2a_1,f1,0.0,0.06,6,
fp5,2a_1,f1,0.0,0.06,7,0
fp5,2a_1,f1,0.0,0.06,8,0
fp5,2a_1,f1,0.0,0.06,9,1
fp5,2a_1,f1,0.0,0.06,10,1
fp5,2a_1,f1,0.0,0.06,11,0
fp5,2a_1,f2,0.06,0.34,1,1
fp5,2a_1,f3,0.34,1.81,1,0
fp5,2a_1,f3,0.34,1.81,2,0
fp5,2a_1,f3,0.34,1.81,3,0
fp5,2a_1,f3,0.34,1.81,4,1
fp5,2a_1,f3,0.34,1.81,5,0
fp5,2a_1,f3,0.34,1.81,6,1
fp5,2a_1,f3,0.34,1.81,7,1
fp5,2a_1,f3,0.34,1.81,8,0
fp5,2a_1,f3,0.34,1.81,9,0
fp5,2a_1,f3,0.34,1.81,10,0
fp1,2a_2,f1,0.0,1.75,1,0
fp1,2a_2,f1,0.0,1.75,2,0
fp1,2a_2,f1,0.0,1.75,3,0
fp1,2a_2,f1,0.0,1.75,4,0
fp1,2a_2,f1,0.0,1.75,5,0
fp1,2a_2,f1,0.0,1.75,6,0
fp1,2a_2,f1,0.0,1.75,7,
fp1,2a_2,f1,0.0,1.75,8,
fp1,2a_2,f1,0.0,1.75,9,0
fp1,2a_2,f1,0.0,1.75,10,
fp1,2a_2,f1,0.0,1.75,11,0
fp1,2a_2,f1,0.0,1.75,12,0
fp1,2a_2,f1,0.0,1.75,13,
fp1,2a_2,f1,0.0,1.75,14,0
fp1,2a_2,f1,0.0,1.75,15,0
fp1,2a_2,f2,1.75,1.86,1,0
fp1,2a_2,f3,1.86,3.49,1,0
fp1,2a_2,f3,1.86,3.49,2,0
fp1,2a_2,f3,1.86,3.49,3,0
fp1,2a_2,f3,1.86,3.49,4,0
fp1,2a_2,f3,1.86,3.49,5,0
fp1,2a_2,f3,1.86,3.49,6,0
fp1,2a_2,f3,1.86,3.49,7,2
fp2,2a_2,f1,0.0,1.46,1,0
fp2,2a_2,f1,0.0,1.46,2,0
fp2,2a_2,f1,0.0,1.46,3,1
fp2,2a_2,f1,0.0,1.46,4,1
fp2,2a_2,f1,0.0,1.46,5,0
fp2,2a_2,f1,0.0,1.46,6,0
fp2,2a_2,f1,0.0,1.46,7,
fp2,2a_2,f1,0.0,1.46,8,
fp2,2a_2,f1,0.0,1.46,9,0
fp2,2a_2,f1,0.0,1.46,10,
fp2,2a_2,f1,0.0,1.46,11,1
fp2,2a_2,f1,0.0,1.46,12,1
fp2,2a_2,f1,0.0,1.46,13,0
fp2,2a_2,f1,0.0,1.46,14,1
fp2,2a_2,f1,0.0,1.46,15,1
fp2,2a_2,f2,1.46,1.49,1,0
fp2,2a_2,f3,1.49,3.57,1,0
fp2,2a_2,f3,1.49,3.57,2,0
fp2,2a_2,f3,1.49,3.57,3,1
fp2,2a_2,f3,1.49,3.57,4,0
fp2,2a_2,f3,1.49,3.57,5,0
fp2,2a_2,f3,1.49,3.57,6,1
fp2,2a_2,f3,1.49,3.57,7,1
fp3,2a_2,f1,0.0,0.04,1,0
fp3,2a_2,f1,0.0,0.04,2,0
fp3,2a_2,f1,0.0,0.04,3,0
fp3,2a_2,f1,0.0,0.04,4,1
fp3,2a_2,f1,0.0,0.04,5,1
fp3,2a_2,f1,0.0,0.04,6,
fp3,2a_2,f1,0.0,0.04,7,
fp3,2a_2,f1,0.0,0.04,8,
fp3,2a_2,f1,0.0,0.04,9,0
fp3,2a_2,f1,0.0,0.04,10,
fp3,2a_2,f1,0.0,0.04,11,0
fp3,2a_2,f1,0.0,0.04,12,0
fp3,2a_2,f1,0.0,0.04,13,
fp3,2a_2,f1,0.0,0.04,14,0
fp3,2a_2,f1,0.0,0.04,15,0
fp3,2a_2,f2,0.04,0.49,1,0
fp3,2a_2,f3,0.49,2.84,1,0
fp3,2a_2,f3,0.49,2.84,2,0
fp3,2a_2,f3,0.49,2.84,3,1
fp3,2a_2,f3,0.49,2.84,4,0
fp3,2a_2,f3,0.49,2.84,5,0
fp3,2a_2,f3,0.49,2.84,6,0
fp3,2a_2,f3,0.49,2.84,7,0
fp4,2a_2,f1,0.0,0.02,1,1
fp4,2a_2,f1,0.0,0.02,2,0
fp4,2a_2,f1,0.0,0.02,3,0
fp4,2a_2,f1,0.0,0.02,4,1
fp4,2a_2,f1,0.0,0.02,5,1
fp4,2a_2,f1,0.0,0.02,6,
fp4,2a_2,f1,0.0,0.02,7,
fp4,2a_2,f1,0.0,0.02,8,1
fp4,2a_2,f1,0.0,0.02,9,1
fp4,2a_2,f1,0.0,0.02,10,
fp4,2a_2,f1,0.0,0.02,11,0
fp4,2a_2,f1,0.0,0.02,12,0
fp4,2a_2,f1,0.0,0.02,13,
fp4,2a_2,f1,0.0,0.02,14,
fp4,2a_2,f1,0.0,0.02,15,1
fp4,2a_2,f2,0.02,0.03,1,1
fp4,2a_2,f3,0.03,2.57,1,0
fp4,2a_2,f3,0.03,2.57,2,0
fp4,2a_2,f3,0.03,2.57,3,1
fp4,2a_2,f3,0.03,2.57,4,0
fp4,2a_2,f3,0.03,2.57,5,0
fp4,2a_2,f3,0.03,2.57,6,1
fp4,2a_2,f3,0.03,2.57,7,2
fp5,2a_2,f1,0.0,1.4,1,1
fp5,2a_2,f1,0.0,1.4,2,1
fp5,2a_2,f1,0.0,1.4,3,1
fp5,2a_2,f1,0.0,1.4,4,1
fp5,2a_2,f1,0.0,1.4,5,1
fp5,2a_2,f1,0.0,1.4,6,1
fp5,2a_2,f1,0.0,1.4,7,
fp5,2a_2,f1,0.0,1.4,8,
fp5,2a_2,f1,0.0,1.4,9,1
fp5,2a_2,f1,0.0,1.4,10,
fp5,2a_2,f1,0.0,1.4,11,1
fp5,2a_2,f1,0.0,1.4,12,1
fp5,2a_2,f1,0.0,1.4,13,
fp5,2a_2,f1,0.0,1.4,14,
fp5,2a_2,f1,0.0,1.4,15,0
fp5,2a_2,f2,1.4,1.51,1,0
fp5,2a_2,f3,1.51,3.4,1,0
fp5,2a_2,f3,1.51,3.4,2,0
fp5,2a_2,f3,1.51,3.4,3,1
fp5,2a_2,f3,1.51,3.4,4,0
fp5,2a_2,f3,1.51,3.4,5,0
fp5,2a_2,f3,1.51,3.4,6,0
fp5,2a_2,f3,1.51,3.4,7,2
