phase,feature_set,model,Accuracy,F1,AUC
utgångsposition,pose,LogisticRegression,0.7,0.769,0.792
utgångsposition,molab,RandomForest,0.8,0.833,0.875
utgångsposition,combined,RandomForest,0.8,0.833,0.875
rörelsestart,pose,LogisticRegression,0.9,0.909,0.917
rörelsestart,molab,LogisticRegression,0.8,0.833,0.833
rörelsestart,combined,LogisticRegression,0.9,0.909,0.875
rörelseutförande,pose,LogisticRegression,1.0,1.0,1.0
rörelseutförande,molab,LogisticRegression,1.0,1.0,1.0
rörelseutförande,combined,LogisticRegression,1.0,1.0,1.0
total,pose,RandomForest,0.8,0.833,0.958
total,molab,LogisticRegression,0.7,0.769,0.833
total,combined,LogisticRegression,0.9,0.909,0.875
