phase,model,feature_set,Accuracy,F1,Precision,Recall,AUC
utg,LogisticRegression,pose,1.0,1.0,1.0,1.0,
utg,RandomForest,pose,1.0,1.0,1.0,1.0,
utg,XGBoost,pose,1.0,1.0,1.0,1.0,
utg,LogisticRegression,molab,1.0,1.0,1.0,1.0,
utg,RandomForest,molab,1.0,1.0,1.0,1.0,
utg,XGBoost,molab,1.0,1.0,1.0,1.0,
utg,LogisticRegression,combined,1.0,1.0,1.0,1.0,
utg,RandomForest,combined,1.0,1.0,1.0,1.0,
utg,XGBoost,combined,1.0,1.0,1.0,1.0,
forb,LogisticRegression,pose,0.5,0.6666666666666666,0.625,0.7142857142857143,0.4761904761904762
forb,RandomForest,pose,0.3,0.46153846153846156,0.5,0.42857142857142855,0.28571428571428575
forb,XGBoost,pose,0.5,0.6666666666666666,0.625,0.7142857142857143,0.23809523809523814
forb,LogisticRegression,molab,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9047619047619048
forb,RandomForest,molab,0.7,0.8,0.75,0.8571428571428571,0.9047619047619048
forb,XGBoost,molab,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5714285714285715
forb,LogisticRegression,combined,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
forb,RandomForest,combined,0.7,0.8,0.75,0.8571428571428571,0.8095238095238095
forb,XGBoost,combined,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5714285714285715
uppr,LogisticRegression,pose,1.0,1.0,1.0,1.0,
uppr,RandomForest,pose,1.0,1.0,1.0,1.0,
uppr,XGBoost,pose,1.0,1.0,1.0,1.0,
uppr,LogisticRegression,molab,0.8888888888888888,0.9411764705882353,1.0,0.8888888888888888,
uppr,RandomForest,molab,1.0,1.0,1.0,1.0,
uppr,XGBoost,molab,1.0,1.0,1.0,1.0,
uppr,LogisticRegression,combined,0.8888888888888888,0.9411764705882353,1.0,0.8888888888888888,
uppr,RandomForest,combined,1.0,1.0,1.0,1.0,
uppr,XGBoost,combined,1.0,1.0,1.0,1.0,
total,LogisticRegression,pose,1.0,1.0,1.0,1.0,
total,RandomForest,pose,1.0,1.0,1.0,1.0,
total,XGBoost,pose,1.0,1.0,1.0,1.0,
total,LogisticRegression,molab,1.0,1.0,1.0,1.0,
total,RandomForest,molab,1.0,1.0,1.0,1.0,
total,XGBoost,molab,1.0,1.0,1.0,1.0,
total,LogisticRegression,combined,1.0,1.0,1.0,1.0,
total,RandomForest,combined,1.0,1.0,1.0,1.0,
total,XGBoost,combined,1.0,1.0,1.0,1.0,
