phase,feature_set,model,Accuracy,F1,AUC
utgångsposition,pose,LogisticRegression,0.9,0.889,1.0
utgångsposition,molab,LogisticRegression,0.8,0.8,0.76
utgångsposition,combined,RandomForest,1.0,1.0,1.0
rörelsestart,pose,RandomForest,0.8,0.667,0.952
rörelsestart,molab,LogisticRegression,0.9,0.8,0.81
rörelsestart,combined,LogisticRegression,0.9,0.8,0.952
rörelseutförande,pose,RandomForest,0.8,0.75,0.917
rörelseutförande,molab,LogisticRegression,0.5,0.286,0.708
rörelseutförande,combined,LogisticRegression,0.7,0.571,0.917
total,pose,RandomForest,0.556,0.0,0.833
total,molab,LogisticRegression,0.667,0.4,0.833
total,combined,RandomForest,0.667,0.4,0.833
