feature,iraf_score,spearman_rho,p_value,source
mean_pelvis_lateral,iraf_rörelsestart,-0.620862786805697,0.055415959756752,MoLab
forb_peak_pelvis_gyro,iraf_rörelsestart,0.6018567831279716,0.0656287994542614,MoLab
peak_pelvis_gyro,iraf_rörelsestart,0.6018567831279716,0.0656287994542614,MoLab
forb_trunk_hip_correlation,iraf_rörelsestart,0.7792461507867422,0.0078827422970041,Pose
rms_angular_acceleration,iraf_rörelsestart,0.4878207610616191,0.1526273899916203,Pose
delta_trunk_flexion,iraf_rörelsestart,-0.4688147573838936,0.1716982334741985,Pose
peak_pelvis_gyro,iraf_rörelseutförande,0.6848484848484848,0.0288827975067327,MoLab
forb_peak_pelvis_gyro,iraf_rörelseutförande,0.6848484848484848,0.0288827975067327,MoLab
uppr_total_knee_extension,iraf_rörelseutförande,-0.6242424242424242,0.0537177672171674,MoLab
forb_rms_trunk_acceleration,iraf_rörelseutförande,0.6727272727272726,0.0330412225454377,Pose
forb_max_trunk_angular_velocity,iraf_rörelseutförande,0.6242424242424242,0.0537177672171674,Pose
mean_left_knee_angle,iraf_rörelseutförande,-0.5878787878787878,0.073877706888658,Pose
forb_peak_pelvis_gyro,iraf_total,0.6606060606060605,0.0375883775714093,MoLab
uppr_total_knee_extension,iraf_total,-0.6606060606060605,0.0375883775714093,MoLab
peak_pelvis_gyro,iraf_total,0.6606060606060605,0.0375883775714093,MoLab
delta_pelvis_tilt,iraf_total,0.6484848484848483,0.0425401276844894,MoLab
forb_trunk_hip_correlation,iraf_total,0.7696969696969697,0.0092219527222159,Pose
mean_left_hip_angle,iraf_total,-0.5272727272727272,0.1173080655502023,Pose
rms_angular_acceleration,iraf_total,0.5151515151515151,0.1275528697032343,Pose
mean_R_knee_flexion,iraf_utgångsposition,-0.7454545454545454,0.01333014631544,MoLab
delta_pelvis_tilt,iraf_utgångsposition,0.709090909090909,0.0216659233675324,MoLab
peak_pelvis_gyro,iraf_utgångsposition,0.6727272727272726,0.0330412225454377,MoLab
forb_peak_pelvis_gyro,iraf_utgångsposition,0.6727272727272726,0.0330412225454377,MoLab
uppr_total_knee_extension,iraf_utgångsposition,-0.6484848484848483,0.0425401276844894,MoLab
forb_trunk_hip_correlation,iraf_utgångsposition,0.7212121212121211,0.0185731550894602,Pose
initial_trunk_angle,iraf_utgångsposition,0.5151515151515151,0.1275528697032343,Pose
mean_left_hip_angle,iraf_utgångsposition,-0.4787878787878787,0.1615229280174559,Pose
