feature,iraf_score,spearman_rho,p_value,source
peak_pelvis_gyro,iraf_total,0.8571468165888911,0.0015278398373375,MoLab
forb_peak_pelvis_gyro,iraf_total,0.8571468165888911,0.0015278398373375,MoLab
delta_pelvis_tilt,iraf_total,0.772040040473682,0.0088795368296157,MoLab
mean_L_hip_flexion,iraf_total,-0.6808542089216724,0.0302111706883683,MoLab
rms_pelvis_acc,iraf_total,0.6504589317376691,0.041705451082804,MoLab
mean_trunk_angle,iraf_total,0.8085143730944859,0.0046352809644627,Pose
initial_trunk_angle,iraf_total,0.8085143730944859,0.0046352809644627,Pose
forb_delta_trunk_flexion,iraf_total,-0.7469512195121952,0.0130451615396485,Pose
rms_angular_acceleration,iraf_total,0.686933264358473,0.0282055607712552,Pose
mean_head_trunk_angle,iraf_total,-0.6383008208640678,0.0470244525285979,Pose
