feature,iraf_score,spearman_rho,p_value
forb_peak_pelvis_gyro,iraf_total,0.8060606060606059,0.004862061101964607
forb_mean_pelvis_gyro,iraf_total,0.7818181818181817,0.0075470077810678785
forb_rms_pelvis_acc,iraf_total,0.7696969696969697,0.009221952722215994
uppr_total_hip_extension,iraf_forb,-0.7631672440718629,0.010225241489068842
utg_mean_R_knee_flexion,iraf_utg,-0.7454545454545454,0.013330146315440054
forb_hip_flexion_range,iraf_total,0.7212121212121211,0.01857315508946023
forb_delta_pelvis_tilt,iraf_total,0.7212121212121211,0.01857315508946023
uppr_total_knee_extension,iraf_forb,-0.69546692403323,0.025546427528976127
uppr_rms_pelvis_acc,iraf_total,0.6848484848484848,0.028882797506732765
utg_mean_R_knee_flexion,iraf_total,-0.6727272727272726,0.03304122254543772
forb_peak_pelvis_gyro,iraf_utg,0.6727272727272726,0.03304122254543772
forb_mean_pelvis_gyro,iraf_uppr,0.6707441766510146,0.03375813699265277
forb_peak_pelvis_gyro,iraf_forb,0.6646940512883968,0.036010369082368904
forb_mean_pelvis_gyro,iraf_utg,0.6242424242424242,0.053717767217167436
forb_rms_pelvis_acc,iraf_utg,0.6242424242424242,0.053717767217167436
uppr_total_knee_extension,iraf_total,-0.6242424242424242,0.053717767217167436
uppr_delta_pelvis_tilt,iraf_forb,-0.6154574548966636,0.058205202603733616
utg_mean_L_knee_flexion,iraf_utg,-0.6121212121212121,0.05997214247725527
utg_mean_L_hip_flexion,iraf_total,-0.5757575757575757,0.08155281477260244
utg_mean_R_hip_flexion,iraf_total,-0.5636363636363636,0.0897240283170912
forb_rms_pelvis_acc,iraf_uppr,0.5548883643203848,0.09593507402230049
utg_mean_pelvis_tilt,iraf_total,-0.5515151515151515,0.09840117666963498
forb_hip_flexion_range,iraf_utg,0.5515151515151515,0.09840117666963498
forb_delta_pelvis_tilt,iraf_utg,0.5515151515151515,0.09840117666963498
forb_initial_pelvis_tilt,iraf_total,-0.5515151515151515,0.09840117666963498
forb_rms_pelvis_acc,iraf_forb,0.5477571348580306,0.10119557407952667
forb_hip_flexion_range,iraf_forb,0.5169842621131974,0.12596958117783405
forb_delta_pelvis_tilt,iraf_forb,0.5169842621131974,0.12596958117783405
uppr_total_knee_extension,iraf_uppr,-0.5061069696548565,0.13554619432794096
uppr_rms_pelvis_acc,iraf_forb,0.4923659639173309,0.1482661041688235
forb_max_pelvis_tilt,iraf_forb,-0.4800568148193976,0.16025492314552428
utg_mean_L_hip_flexion,iraf_forb,-0.4800568148193976,0.16025492314552428
uppr_rms_pelvis_acc,iraf_utg,0.4787878787878787,0.16152292801745594
uppr_total_hip_extension,iraf_total,-0.4787878787878787,0.16152292801745594
utg_mean_pelvis_tilt,iraf_uppr,-0.47561859798890127,0.16471614517440153
forb_initial_pelvis_tilt,iraf_uppr,-0.47561859798890127,0.16471614517440153
forb_peak_pelvis_gyro,iraf_uppr,0.47561859798890127,0.16471614517440153
forb_hip_flexion_range,iraf_uppr,0.4695209236557102,0.17096550855966192
forb_delta_pelvis_tilt,iraf_uppr,0.4695209236557102,0.17096550855966192
utg_mean_L_hip_flexion,iraf_utg,-0.4666666666666666,0.17393859716506654
utg_mean_R_hip_flexion,iraf_uppr,-0.4634232493225192,0.17735410872485313
utg_mean_pelvis_tilt,iraf_forb,-0.4615930911724977,0.1792987846010558
forb_initial_pelvis_tilt,iraf_forb,-0.4615930911724977,0.1792987846010558
uppr_rms_pelvis_acc,iraf_uppr,0.4573255749893281,0.1838821504940722
uppr_total_hip_extension,iraf_uppr,-0.4573255749893281,0.1838821504940722
utg_mean_L_knee_flexion,iraf_total,-0.4545454545454545,0.18690481034933196
forb_mean_pelvis_gyro,iraf_forb,0.44312936752559784,0.19962119460714345
uppr_peak_pelvis_gyro,iraf_forb,-0.44312936752559784,0.19962119460714345
utg_mean_R_hip_flexion,iraf_forb,-0.43697479297663117,0.20667987308962532
uppr_total_knee_extension,iraf_utg,-0.41818181818181815,0.22911284098281892
uppr_peak_shank_gyro,iraf_uppr,0.4146418546569909,0.23348639656960046
utg_mean_R_knee_flexion,iraf_forb,-0.4123564947807646,0.2363347580283991
utg_mean_pelvis_lateral,iraf_utg,-0.3939393939393939,0.25999776683488757
uppr_delta_pelvis_tilt,iraf_uppr,-0.3719581343246535,0.2898765820773254
uppr_peak_shank_gyro,iraf_total,0.3696969696969697,0.29305007529282234
uppr_initial_pelvis_tilt,iraf_forb,-0.36927447293799814,0.29364509142295697
uppr_delta_pelvis_tilt,iraf_total,-0.35757575757575755,0.31037609170568026
uppr_peak_shank_gyro,iraf_utg,0.35757575757575755,0.31037609170568026
utg_mean_R_hip_flexion,iraf_utg,-0.34545454545454546,0.3282265114713672
utg_delta_knee_asymmetry,iraf_utg,-0.33333333333333326,0.3465935070873343
forb_initial_pelvis_tilt,iraf_utg,-0.33333333333333326,0.3465935070873343
utg_mean_pelvis_tilt,iraf_utg,-0.33333333333333326,0.3465935070873343
uppr_mean_pelvis_gyro,iraf_forb,-0.3015741528993652,0.3971006216841521
utg_mean_L_hip_flexion,iraf_uppr,-0.298786042326361,0.40169500159656035
utg_mean_R_knee_flexion,iraf_uppr,-0.28659069365997897,0.42208631336590574
uppr_peak_pelvis_gyro,iraf_utg,0.24848484848484845,0.4887763045192432
utg_delta_knee_asymmetry,iraf_forb,0.20310096011589898,0.5735942072694422
uppr_mean_pelvis_gyro,iraf_utg,0.19999999999999998,0.5795840000000002
uppr_total_hip_extension,iraf_utg,-0.19999999999999998,0.5795840000000002
utg_mean_pelvis_lateral,iraf_forb,0.19694638556693236,0.585505074276392
uppr_peak_pelvis_gyro,iraf_uppr,-0.17073488132934914,0.6372155152698102
utg_mean_L_knee_flexion,iraf_forb,-0.16001893827313254,0.6587848870210906
utg_delta_knee_asymmetry,iraf_uppr,0.146344183996585,0.6866405042968726
utg_mean_pelvis_lateral,iraf_total,-0.13939393939393938,0.7009318849100584
forb_max_pelvis_tilt,iraf_total,-0.12727272727272726,0.7260570147627894
uppr_mean_pelvis_gyro,iraf_total,0.11515151515151514,0.7514196523258485
uppr_initial_pelvis_tilt,iraf_utg,0.10303030303030303,0.7769984634438898
utg_mean_L_knee_flexion,iraf_uppr,-0.09756278933105667,0.7886012474690365
forb_max_pelvis_tilt,iraf_uppr,-0.09146511499786562,0.801585518004463
uppr_delta_pelvis_tilt,iraf_utg,-0.09090909090909088,0.8027717312071619
utg_mean_pelvis_lateral,iraf_uppr,-0.06707441766510146,0.8539330451371616
uppr_peak_shank_gyro,iraf_forb,0.06154574548966636,0.86587749088509
utg_delta_knee_asymmetry,iraf_total,-0.05454545454545454,0.8810361811618526
uppr_peak_pelvis_gyro,iraf_total,0.05454545454545454,0.8810361811618526
uppr_mean_pelvis_gyro,iraf_uppr,-0.042683720332337284,0.9067992878615369
forb_max_pelvis_tilt,iraf_utg,0.01818181818181818,0.9602404181286242
uppr_initial_pelvis_tilt,iraf_total,-0.01818181818181818,0.9602404181286242
uppr_initial_pelvis_tilt,iraf_uppr,0.012195348666382083,0.9733266420642306
