video,forb_delta_pelvis_tilt,forb_peak_pelvis_gyro,forb_rms_pelvis_acc,uppr_total_knee_extension,uppr_peak_shank_gyro,uppr_total_hip_extension
028,46.727000000000004,234.166,0.3725857912951056,82.365,39.426,96.053
030,21.224999999999994,115.887,0.1179037743246585,96.114,34.061,117.97050000000002
045,46.677,283.583,0.24163515886559223,58.880500000000005,33.662,74.86
047,20.663,130.836,0.16919869975859744,78.6565,38.884,111.6735
059,43.161,137.801,0.21443297321074478,80.1545,35.105,75.2515
061,19.661,79.799,0.11971607825993713,75.59,31.952,73.707
074,35.455,406.097,0.272794336451474,78.848,109.407,67.459
076,23.608999999999998,96.185,0.23240937814042498,87.41,45.478,110.2045
091,53.046,226.988,0.2980587190471032,77.654,89.881,94.017
093,15.478000000000002,97.228,0.06774536724093166,95.488,66.229,114.57300000000001
