feature,rho,p
forb_trunk_hip_correlation,0.5723754330538972,0.08378246323351383
forb_rms_trunk_acceleration,0.4185110693297313,0.2287084369360759
forb_initial_trunk_angle,-0.36927447293799814,0.29364509142295697
forb_delta_trunk_flexion,0.3508107492910983,0.3202744607874329
forb_mean_trunk_angular_velocity,0.3200378765462651,0.3673234380775168
forb_max_trunk_angle,-0.23387383286073218,0.5154775174534142
forb_max_trunk_angular_velocity,-0.19694638556693236,0.585505074276392
forb_phase_duration,0.17285267941367816,0.6329810244022377
forb_rms_wrist_acceleration,0.135400640077266,0.7091817589716367
forb_mean_head_trunk_angle,0.006154574548966636,0.98653737812966
